1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#NULL
15#NULL
16#NULL
17#NULL
18#NULL
19#NULL
20#NULL
21#NULL
22#NULL
23#614.6,599.8;594.2,521.1;544.6,483.3;498.0,486.2;454.3,454.1;492.2,529.9;521.3,486.2;538.8,381.3;541.7,372.5;537.3,315.7;640.8,372.5;629.1,404.6;579.6,381.3;503.8,381.3;489.3,410.4;515.5,419.2
24#607.6,600.3;593.3,517.4;541.9,474.5;490.4,474.5;453.2,465.9;493.2,537.4;519.0,474.5;530.4,374.4;530.4,365.9;531.8,313.0;639.1,388.7;616.2,411.6;570.4,380.2;487.5,371.6;487.5,400.2;510.4,408.7
25#583.7,583.1;596.8,501.8;539.1,475.6;486.6,473.0;460.4,475.6;494.5,549.0;510.2,475.6;523.3,370.7;526.0,357.6;527.3,314.3;638.7,399.5;609.9,412.6;562.7,375.9;489.2,365.4;476.1,394.3;510.2,407.4
26#565.1,547.3;605.7,481.6;543.2,469.1;483.8,469.1;474.4,497.2;493.2,569.1;515.0,469.1;521.3,365.9;524.4,356.5;530.7,300.2;640.1,409.7;602.6,415.9;561.9,372.2;486.9,356.5;446.2,328.4;468.1,294.0
27#557.4,517.9;607.0,456.6;545.7,468.3;490.3,471.2;481.5,515.0;496.1,585.0;513.6,471.2;528.2,360.3;531.1,354.5;542.8,299.1;642.0,421.6;604.1,415.8;566.1,374.9;487.3,345.7;452.3,322.4;452.3,278.6
28#572.3,504.9;590.1,442.5;548.5,463.3;501.0,463.3;492.1,525.7;495.0,600.0;527.7,463.3;539.6,362.3;542.6,353.4;560.4,299.9;640.6,436.6;605.0,418.7;578.2,377.1;498.0,344.5;456.4,311.8;449.0,277.6
29#631.9,485.0;580.2,497.9;557.6,475.3;512.4,475.3;496.3,539.8;489.8,607.6;535.0,475.3;554.4,365.5;560.8,355.8;580.2,300.9;644.8,452.7;612.5,426.8;593.1,381.6;518.9,352.6;470.4,362.3;564.1,413.9
30#587.9,499.3;578.6,493.1;572.3,474.5;522.7,468.2;500.9,530.4;491.6,608.0;547.5,471.3;569.2,372.0;572.3,362.7;589.4,308.3;650.0,462.0;625.1,434.1;606.5,384.4;532.0,362.7;469.9,356.4;452.8,308.3
31#588.0,518.9;620.6,453.8;585.1,462.7;528.9,459.7;505.3,527.8;502.3,604.6;561.4,462.7;582.1,371.0;585.1,359.2;598.4,307.5;659.0,474.5;641.3,439.0;620.6,382.9;540.7,359.2;478.6,365.1;463.9,338.5
32#584.7,538.5;619.7,462.8;599.3,459.9;549.7,454.0;508.9,521.1;506.0,599.7;573.0,459.9;593.4,369.5;596.3,357.9;603.6,306.9;666.3,451.1;663.4,436.6;631.3,381.2;552.6,357.9;503.1,392.8;471.0,357.9
33#591.7,551.7;548.0,510.7;613.5,461.5;564.4,450.6;512.5,510.7;509.7,592.6;589.0,458.8;599.9,368.6;602.6,357.7;612.2,307.1;635.4,423.2;679.1,423.2;643.6,379.5;558.9,357.7;512.5,385.0;476.9,365.9
34#592.6,566.2;573.5,514.9;618.1,462.2;569.4,451.9;513.9,494.0;528.0,569.5;593.8,459.4;603.1,364.3;603.9,355.1;607.8,302.9;646.7,389.8;688.8,398.7;645.2,370.6;561.8,358.1;515.9,385.2;505.1,370.5
35#593.6,580.7;598.9,519.2;622.8,462.8;574.5,453.3;515.3,477.2;546.3,546.5;598.7,459.9;606.2,360.1;605.1,352.4;603.4,298.7;658.0,356.3;698.5,374.3;646.7,361.7;564.7,358.4;519.3,385.5;533.4,375.2
36#594.5,595.2;624.4,523.4;627.4,463.5;579.5,454.6;516.7,460.5;564.6,523.4;603.5,460.5;609.4,355.8;606.4,349.8;599.0,294.5;669.3,322.9;708.2,349.8;648.3,352.8;567.6,358.8;522.7,385.7;561.6,379.8
37#601.4,605.2;627.1,534.5;636.8,460.6;595.0,457.4;527.5,441.3;585.3,495.9;614.3,457.4;604.6,351.3;604.6,344.8;590.1,285.4;668.9,293.4;697.8,325.6;643.2,344.8;566.0,351.3;524.2,377.0;540.3,335.2
38#618.9,607.6;642.0,530.6;645.9,457.5;603.5,457.5;545.8,434.4;599.7,488.3;622.8,457.5;607.4,345.9;607.4,342.0;588.1,288.1;669.0,257.3;684.4,303.5;642.0,338.2;576.6,353.6;565.0,353.6;565.0,326.6
39#632.9,594.7;659.2,515.8;647.9,455.7;602.9,455.7;561.5,440.7;602.9,485.8;629.1,455.7;610.4,346.8;610.4,343.0;591.6,290.5;681.7,252.9;670.5,298.0;644.2,339.3;572.8,361.8;550.3,399.4;576.6,373.1
40#643.3,566.4;670.3,492.1;650.5,457.7;604.4,458.6;579.6,463.8;612.9,511.8;630.4,457.7;614.1,352.9;613.2,348.5;597.8,296.4;686.3,267.6;679.7,311.8;647.1,345.0;577.7,366.7;556.1,406.9;576.4,382.7
41#653.7,538.2;681.4,468.3;653.0,459.6;605.8,461.5;597.8,486.8;622.9,537.8;631.6,459.6;617.8,358.9;615.9,353.9;604.0,302.3;690.8,282.2;689.0,325.7;649.9,350.8;582.6,371.5;561.8,414.3;576.3,392.4
42#664.1,509.9;692.5,444.6;655.6,461.6;607.3,464.4;615.9,509.9;632.9,563.8;632.9,461.6;621.5,365.0;618.7,359.4;610.2,308.2;695.4,296.9;698.2,339.5;652.8,356.5;587.5,376.4;567.6,421.8;576.1,402.0
43#667.9,520.4;693.9,452.1;654.5,463.5;608.1,466.0;621.6,505.6;635.8,559.2;632.3,464.2;624.7,371.5;622.8,363.5;615.0,313.8;697.3,316.2;700.5,355.2;657.5,363.7;590.0,381.2;568.2,427.7;587.3,410.3
44#671.7,530.9;695.3,459.7;653.3,465.3;609.0,467.7;627.4,501.2;638.7,554.5;631.6,466.7;627.8,378.0;626.9,367.6;619.8,319.5;699.1,335.5;702.9,370.9;662.3,370.9;592.4,386.0;568.9,433.7;598.6,418.6
45#675.5,541.4;696.7,467.2;652.2,467.2;609.8,469.3;633.1,496.9;641.6,549.9;631.0,469.3;631.0,384.5;631.0,371.7;624.6,325.1;701.0,354.8;705.2,386.6;667.0,378.1;594.9,390.8;569.5,439.6;609.8,426.9
46#688.0,576.1;700.3,494.0;653.1,477.6;612.0,477.6;649.0,496.1;640.8,535.1;632.6,477.6;632.6,391.4;630.5,374.9;629.5,353.4;706.5,379.0;702.3,397.5;667.4,385.2;597.7,395.5;566.9,442.7;593.5,459.1
47#691.2,595.4;693.8,510.9;650.3,480.1;606.8,480.1;650.3,505.7;604.2,513.4;627.2,480.1;634.9,393.1;634.9,380.3;628.5,327.8;704.1,393.1;706.6,413.6;673.3,390.5;599.1,395.6;565.8,441.7;593.9,457.1
48#692.1,612.6;689.4,529.9;654.7,481.8;612.0,481.8;633.3,519.2;601.3,537.9;633.3,481.8;638.7,396.4;636.0,383.0;626.6,333.6;702.7,415.1;705.4,431.1;678.7,393.7;598.6,399.0;558.6,436.4;585.3,457.8
49#691.6,620.5;680.1,551.5;654.2,479.6;613.9,479.6;611.1,542.9;605.3,560.1;636.9,479.6;639.8,396.3;636.9,381.9;622.6,333.0;703.1,433.6;705.9,439.4;680.1,396.3;599.6,396.3;550.7,427.9;588.1,425.0
50#686.2,621.2;686.2,558.6;663.5,490.4;626.5,487.5;623.7,535.9;612.3,572.8;640.7,487.5;637.9,396.5;637.9,388.0;626.5,336.8;691.9,453.4;711.8,447.7;680.5,399.4;598.1,396.5;552.6,419.3;586.7,419.3
51#674.0,607.4;688.0,531.8;671.2,489.9;629.2,492.7;634.8,529.1;620.8,582.2;648.8,489.9;643.2,400.4;640.4,383.6;629.2,333.3;718.7,470.3;713.1,459.1;685.2,403.2;609.6,397.6;567.7,408.8;581.7,366.8
52#664.4,586.1;672.0,568.4;682.1,492.6;639.1,492.6;636.6,543.1;629.0,586.1;659.3,492.6;651.7,401.6;649.2,391.5;632.8,339.7;720.0,482.5;714.9,459.7;689.6,404.1;618.9,399.1;581.0,409.2;583.5,371.3
53#669.3,566.9;715.9,528.1;684.8,504.8;643.4,504.8;635.7,541.0;638.2,600.6;664.1,504.8;658.9,406.5;656.4,396.1;642.1,348.2;715.9,502.2;721.1,463.4;700.3,411.7;622.7,403.9;596.8,424.6;594.2,388.4
54#718.7,547.9;681.9,545.3;695.0,495.2;652.9,497.8;631.8,545.3;639.7,616.4;674.0,497.8;666.0,410.9;663.4,400.4;648.9,351.6;697.7,447.8;737.2,458.3;702.9,408.3;629.2,410.9;605.4,439.9;600.2,403.0
55#709.2,567.1;688.3,558.2;700.2,501.7;658.6,501.7;637.8,564.1;643.8,629.5;679.4,501.7;673.5,412.5;670.5,403.6;660.1,348.6;718.1,454.1;753.7,448.2;712.1,412.5;637.8,415.5;617.0,448.2;655.7,454.1
56#714.2,585.8;701.7,560.7;704.9,504.4;667.3,510.7;651.7,576.4;648.5,645.2;689.2,507.5;679.8,413.7;676.7,410.5;659.5,355.8;726.8,445.0;761.2,429.3;714.2,407.4;645.4,416.8;626.6,460.6;664.2,460.6
57#725.5,589.9;697.4,546.2;709.9,499.3;669.3,508.7;656.8,571.2;666.2,649.2;691.2,502.5;681.8,411.9;681.8,415.0;667.8,354.1;741.1,371.3;759.9,405.6;713.0,405.6;647.5,418.1;622.5,461.9;606.9,455.6
58#723.1,599.8;703.0,546.4;719.7,493.0;679.7,503.0;656.3,559.8;683.0,629.9;696.3,499.6;679.7,412.8;679.7,406.1;666.3,356.0;746.4,339.3;753.1,379.4;716.4,402.8;646.3,422.8;622.9,469.6;609.5,476.3
59#721.8,603.6;712.4,540.4;715.5,499.4;680.8,505.7;652.4,543.6;693.4,613.1;699.7,502.5;677.6,414.1;677.6,407.8;658.7,360.4;737.6,338.3;744.0,373.0;715.5,398.3;646.0,426.7;630.3,480.4;623.9,496.2
60#728.1,625.0;722.2,553.8;716.3,509.4;677.7,518.3;642.2,521.2;695.5,580.5;692.6,512.3;671.8,417.4;668.8,411.5;651.0,364.1;754.8,367.0;748.9,381.9;704.4,405.6;639.2,432.3;624.4,482.7;615.5,506.4
61#727.8,636.6;730.6,569.8;713.9,511.4;666.6,511.4;619.2,511.4;688.8,569.8;688.8,511.4;666.6,422.3;663.8,419.5;637.3,365.2;758.4,394.5;741.7,411.2;697.2,405.6;633.2,436.2;616.5,491.9;619.2,530.9
62#738.8,663.4;733.0,574.0;707.1,501.9;661.0,510.6;655.2,550.9;655.2,571.1;684.0,507.7;658.1,427.0;655.2,418.3;633.6,373.6;761.9,406.8;727.3,432.7;689.8,409.7;626.4,441.4;617.7,493.3;617.7,530.8
63#740.4,651.0;723.5,583.5;701.0,501.9;653.2,507.6;650.4,555.4;656.0,589.1;675.7,504.8;653.2,420.4;647.6,411.9;632.1,379.6;762.9,420.4;732.0,426.0;684.2,406.3;619.5,437.3;613.8,493.5;619.5,535.7
64#732.6,643.5;724.7,569.4;698.3,506.0;655.9,511.3;674.5,569.4;658.6,590.6;677.1,508.6;650.7,421.3;648.0,408.1;630.8,375.1;756.4,431.9;730.0,431.9;685.0,405.5;616.3,431.9;611.0,492.7;632.1,495.4
65#724.7,632.3;729.7,548.8;686.7,503.3;651.3,508.3;676.6,531.1;666.5,604.5;669.0,505.8;651.3,417.3;648.8,402.1;637.4,375.5;752.5,440.0;724.7,440.0;689.3,407.2;615.9,424.9;593.2,470.4;626.0,467.9
66#720.6,612.0;740.2,538.5;688.8,506.6;652.0,514.0;698.6,541.0;671.6,616.9;669.2,509.1;654.5,415.9;652.0,401.2;645.9,378.0;762.3,462.5;723.1,447.8;691.2,411.0;617.7,423.3;580.9,455.2;612.8,447.8
67#723.9,593.8;752.7,524.1;692.6,504.8;656.5,521.7;685.4,545.7;680.6,617.8;673.4,512.0;654.1,413.5;654.1,401.5;645.7,366.6;762.3,483.2;728.7,456.8;695.0,413.5;618.1,415.9;579.6,420.7;608.5,394.2
68#725.7,572.5;763.7,501.5;690.2,499.0;649.7,506.6;677.5,559.8;682.6,633.2;669.9,504.1;657.3,410.3;654.7,402.7;648.4,353.3;748.5,473.7;730.7,455.9;692.7,412.9;619.3,407.8;586.3,387.5;623.1,358.4
69#727.7,546.2;770.4,482.1;701.0,503.5;658.3,519.5;671.6,572.9;685.0,647.7;682.3,511.5;658.3,404.7;658.3,396.7;650.3,346.0;717.0,447.4;738.4,455.4;695.7,410.1;620.9,396.7;596.9,367.3;611.6,336.6
70#731.0,551.5;769.7,485.6;701.8,503.3;658.0,517.8;667.0,572.3;681.1,646.8;681.7,511.4;662.5,403.9;662.0,396.9;653.6,345.9;715.7,430.7;740.2,440.0;699.2,407.7;625.3,397.5;599.3,375.7;613.3,343.2
71#734.4,556.9;769.0,489.1;702.6,503.0;657.7,516.0;662.3,571.8;677.2,646.0;681.2,511.2;666.8,403.1;665.7,397.2;656.9,345.9;714.4,414.0;741.9,424.5;702.7,405.2;629.7,398.3;601.7,384.1;615.0,349.8
72#737.7,562.2;768.4,492.5;703.3,502.8;657.5,514.3;657.7,571.2;673.2,645.1;680.6,511.1;671.0,402.3;669.3,397.4;660.2,345.8;713.1,397.4;743.7,409.1;706.3,402.8;634.0,399.1;604.1,392.4;616.8,356.5
73#741.1,567.6;767.7,496.0;704.1,502.5;657.2,512.5;653.0,570.7;669.3,644.3;680.1,510.9;675.3,401.5;673.0,397.7;663.5,345.8;711.8,380.7;745.4,393.6;709.8,400.3;638.4,399.9;606.5,400.8;618.5,363.1
74#744.4,572.9;767.0,499.5;704.9,502.3;656.9,510.8;648.4,570.1;665.4,643.4;679.5,510.8;679.5,400.7;676.7,397.9;666.8,345.7;710.5,364.0;747.2,378.2;713.3,397.9;642.8,400.7;608.9,409.2;620.2,369.7
75#742.7,588.0;767.3,517.3;708.9,511.1;659.7,511.1;629.0,557.3;650.5,631.0;684.3,514.2;675.1,406.6;675.1,394.3;656.6,348.2;687.4,339.0;730.4,366.7;708.9,400.5;647.4,406.6;730.4,369.7;622.8,388.2
76#747.9,608.2;765.8,531.0;709.3,510.2;661.8,510.2;614.2,545.8;623.2,623.1;685.5,510.2;670.7,409.2;670.7,400.3;649.9,352.7;679.6,326.0;709.3,358.7;703.4,403.2;638.0,415.1;623.2,453.7;626.1,409.2
77#749.9,624.6;756.1,550.6;706.7,513.6;657.4,513.6;598.8,529.0;595.7,606.1;682.0,513.6;666.6,411.8;660.5,399.5;638.9,353.2;672.8,319.3;694.4,353.2;694.4,399.5;635.8,418.0;632.7,470.4;657.4,455.0
78#748.8,637.6;742.3,560.7;707.1,519.0;646.2,519.0;585.3,509.4;572.5,583.1;675.0,519.0;655.8,410.1;652.6,400.4;630.2,355.6;665.4,317.1;684.7,352.4;687.9,400.4;623.8,416.5;594.9,438.9;578.9,438.9
79#749.9,642.6;726.4,572.1;689.5,511.7;642.5,515.1;572.1,491.6;565.4,558.7;666.0,511.7;649.3,407.7;645.9,401.0;619.1,354.0;669.4,323.8;682.8,357.4;679.5,390.9;615.7,421.1;609.0,471.5;598.9,464.8
80#731.4,630.8;719.4,562.4;681.8,515.6;635.1,518.5;567.8,496.7;563.2,564.5;659.0,515.3;645.4,411.3;642.9,404.6;622.4,357.6;661.8,343.6;676.2,374.4;675.3,398.0;612.4,421.8;602.3,453.9;602.4,461.1
81#712.9,619.1;712.4,552.6;674.1,519.6;627.6,521.8;563.4,501.8;561.1,570.4;652.0,518.8;641.6,414.9;640.0,408.3;625.7,361.1;654.2,363.3;669.7,391.5;671.1,405.2;609.1,422.4;595.6,436.2;605.8,457.3
82#694.5,607.3;705.4,542.9;666.5,523.5;620.2,525.2;559.1,507.0;558.9,576.2;644.9,522.4;637.7,418.5;637.0,411.9;629.1,364.6;646.7,383.1;663.1,408.5;666.8,412.3;605.7,423.1;588.9,418.6;609.2,453.6
83#676.0,595.5;698.4,533.2;658.8,527.4;612.8,528.6;554.8,512.1;556.8,582.0;637.9,526.0;633.8,422.1;634.1,415.6;632.4,368.2;639.1,402.8;656.5,425.5;662.6,419.4;602.4,423.7;582.2,400.9;612.7,449.8
84#657.5,583.8;691.4,523.4;651.1,531.4;605.3,531.9;550.4,517.2;554.6,587.9;630.9,529.5;630.0,425.7;631.1,419.2;635.7,371.8;631.5,422.6;650.0,442.6;658.4,426.6;599.1,424.4;575.5,383.2;616.1,446.1
85#639.0,572.0;684.4,513.7;643.4,535.3;597.9,535.3;546.1,522.3;552.5,593.7;623.9,533.1;626.1,429.3;628.2,422.9;639.0,375.3;623.9,442.3;643.4,459.6;654.2,433.7;595.8,425.0;568.8,365.6;619.6,442.3
86#613.1,569.4;595.9,528.7;643.1,528.7;600.2,528.7;548.8,535.1;555.2,607.9;623.8,528.7;630.2,436.5;634.5,428.0;647.4,385.1;623.8,453.7;651.6,470.8;662.4,443.0;600.2,430.1;591.6,453.7;580.9,413.0
87#630.2,564.8;588.0,558.1;645.8,531.5;612.4,527.0;559.2,547.0;559.2,620.3;630.2,527.0;639.1,440.4;641.3,431.6;654.6,387.1;692.4,471.5;670.2,491.5;668.0,447.1;610.2,433.8;596.9,464.9;574.7,429.3
88#656.3,569.3;630.0,551.8;654.1,523.4;612.5,521.2;573.2,556.2;564.4,628.4;632.2,523.4;647.5,444.6;649.7,431.5;661.8,399.8;700.0,481.8;689.1,486.2;680.3,451.2;614.7,435.9;588.5,457.8;568.8,442.5
89#660.9,587.8;642.9,559.5;659.8,526.0;618.7,523.1;580.7,551.1;572.5,611.2;638.7,524.8;652.1,445.7;654.4,433.4;663.5,397.9;707.8,480.2;702.1,482.5;684.9,450.9;619.3,438.7;590.0,464.6;580.2,456.5
90#665.5,606.4;655.7,567.2;665.4,528.7;624.9,525.0;588.2,546.0;580.6,594.0;645.1,526.3;656.7,446.7;659.2,435.3;665.3,396.0;715.6,478.6;715.1,478.9;689.5,450.7;623.9,441.5;591.4,471.4;591.6,470.6
91#670.2,624.9;668.6,574.9;671.1,531.3;631.2,526.8;595.7,540.8;588.6,576.9;651.6,527.7;661.3,447.8;663.9,437.2;667.0,394.0;723.5,477.0;728.1,475.2;694.1,450.4;628.4,444.3;592.9,478.2;602.9,484.6
92#674.8,643.5;681.4,582.6;676.7,534.0;637.4,528.7;603.2,535.7;596.7,559.7;658.0,529.2;665.9,448.8;668.7,439.1;668.8,392.1;731.3,475.4;741.1,471.6;698.7,450.2;633.0,447.1;594.3,485.0;614.3,498.7
93#679.4,662.0;694.3,590.3;682.4,536.6;643.6,530.6;610.7,530.6;604.8,542.5;664.5,530.6;670.5,449.9;673.4,441.0;670.5,390.2;739.1,473.8;754.1,467.9;703.3,449.9;637.6,449.9;595.8,491.8;625.7,512.7
94#684.4,681.6;696.8,603.7;684.4,535.1;647.0,535.1;678.1,588.1;612.7,560.0;665.7,535.1;675.0,447.8;675.0,444.7;678.1,391.7;743.6,410.4;759.2,447.8;709.3,444.7;640.7,450.9;600.2,488.3;609.6,503.9
95#696.1,684.2;696.1,619.1;687.2,533.1;648.7,527.2;633.9,580.5;610.2,583.5;666.5,533.1;678.3,450.2;678.3,438.3;682.8,413.1;736.1,419.1;749.4,438.3;710.9,450.2;645.7,453.1;595.4,482.8;616.1,497.6
96#699.4,673.6;705.2,609.6;690.6,539.7;649.9,530.9;670.2,589.2;614.9,597.9;670.2,533.8;679.0,452.3;679.0,440.7;683.4,413.0;757.6,434.8;757.6,464.0;711.0,449.4;647.0,452.3;600.4,472.7;623.7,475.6
97#702.9,658.3;727.9,591.7;689.1,530.6;655.8,530.6;708.5,597.2;725.1,644.4;669.6,530.6;683.5,450.1;683.5,444.6;684.9,393.2;761.2,447.4;752.9,469.6;714.0,450.1;653.0,450.1;647.4,477.9;672.4,480.7
98#727.3,655.0;740.4,576.0;690.4,534.0;658.9,534.0;706.2,581.3;711.5,649.7;672.0,534.0;685.2,452.4;685.2,447.1;686.5,395.8;764.1,462.9;753.6,478.7;716.7,455.0;653.6,449.8;656.2,476.1;682.5,484.0
99#729.8,621.5;749.2,555.0;696.6,532.9;666.2,535.7;707.7,580.0;721.5,674.1;680.0,535.7;688.3,452.6;688.3,449.8;686.9,398.6;768.6,477.5;754.8,488.6;718.8,455.3;657.8,449.8;671.7,474.7;707.7,488.6
100#736.4,603.8;751.7,555.4;707.1,532.2;674.1,535.0;704.5,585.1;715.5,674.7;689.6,534.3;695.8,451.5;695.0,447.9;692.2,396.7;767.7,487.7;762.5,487.2;726.7,453.5;664.1,448.6;668.0,476.8;691.3,483.6
101#743.0,586.0;754.2,555.7;717.7,531.4;682.0,534.3;701.2,590.1;709.6,675.3;699.1,532.9;703.3,450.3;701.8,445.9;697.4,394.8;766.9,497.9;770.2,485.9;734.6,451.7;670.4,447.4;664.2,478.9;674.9,478.6
102#749.7,568.2;756.8,556.0;728.2,530.7;689.8,533.6;698.0,595.2;703.6,675.9;708.7,531.4;710.8,449.2;708.5,444.0;702.7,392.8;766.0,508.1;777.9,484.5;742.6,449.8;676.8,446.3;660.5,481.0;658.5,473.5
103#756.3,550.5;759.3,556.4;738.8,530.0;697.7,532.9;694.8,600.3;697.7,676.5;718.3,530.0;718.3,448.0;715.3,442.1;708.0,390.9;765.1,518.3;785.6,483.1;750.5,448.0;683.1,445.1;656.7,483.1;642.1,468.5
104#758.7,577.4;732.8,570.9;745.7,522.3;710.1,525.6;687.5,593.5;694.0,661.5;726.3,522.3;719.9,444.7;719.9,438.2;713.4,389.7;771.6,470.6;807.2,470.6;755.5,444.7;687.5,444.7;658.4,477.0;648.7,467.3
105#751.4,588.6;734.1,566.6;748.9,521.9;711.9,524.1;686.3,583.5;694.2,649.9;729.8,521.9;728.1,444.7;729.0,439.5;724.7,391.3;776.7,451.4;807.5,462.0;762.4,444.7;697.7,443.8;660.8,471.5;663.1,463.3
106#744.0,599.7;735.4,562.4;752.0,521.6;713.8,522.7;685.1,573.4;694.3,638.3;733.2,521.6;736.4,444.7;738.2,440.7;736.0,392.9;781.7,432.2;807.7,453.3;769.4,444.7;708.0,442.9;663.1,466.0;677.4,459.2
107#736.7,610.9;736.7,558.1;755.2,521.2;715.6,521.2;683.9,563.4;694.5,626.7;736.7,521.2;744.6,444.7;747.3,442.0;747.3,394.5;786.8,413.0;808.0,444.7;776.3,444.7;718.2,442.0;665.5,460.5;691.8,455.2
108#739.0,626.5;740.5,570.1;760.4,528.8;721.9,525.8;684.9,549.4;701.0,612.0;742.0,526.6;750.3,448.3;751.4,443.5;748.7,402.4;785.3,437.0;808.5,459.7;782.0,449.1;722.9,446.5;690.0,468.7;713.6,465.2
109#741.3,642.0;744.3,582.1;765.6,536.5;728.2,530.5;685.9,535.4;707.6,597.4;747.4,531.9;756.1,452.0;755.4,445.0;750.1,410.3;783.7,461.1;808.9,474.7;787.8,453.5;727.5,451.1;714.6,476.9;735.4,475.1
110#743.6,657.6;748.1,594.1;770.8,544.1;734.5,535.1;686.9,521.4;714.1,582.7;752.7,537.3;761.8,455.6;759.5,446.5;751.5,418.2;782.2,485.1;809.4,489.7;793.5,457.9;732.2,455.6;739.1,485.1;757.2,485.1
111#748.4,668.2;756.6,605.3;775.8,539.5;734.7,528.6;693.6,506.7;671.7,577.9;753.8,539.5;764.8,451.9;762.1,449.2;747.0,401.3;789.4,490.3;816.8,495.7;797.7,454.7;731.9,451.9;699.1,465.6;712.8,443.7
112#751.9,679.8;762.9,602.6;779.4,547.5;740.9,530.9;732.6,577.8;674.7,594.3;760.2,539.2;760.2,453.8;757.4,445.5;745.0,402.8;790.5,503.4;823.5,497.9;798.7,453.8;727.1,451.0;702.3,486.8;721.6,506.1
