1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#501.4,440.5;549.9,343.4;511.1,288.4;446.4,288.4;362.2,259.2;404.3,343.4;482.0,288.4;469.0,162.1;465.8,155.7;446.4,84.5;501.4,90.9;549.9,126.5;511.1,155.7;420.5,162.1;359.0,146.0;362.2,84.5
15#445.8,415.0;486.0,323.7;470.9,286.3;442.1,300.9;359.2,281.6;374.3,343.5;461.9,300.3;455.3,176.9;452.9,169.5;435.8,101.5;466.8,112.0;496.8,150.8;478.6,170.8;427.8,178.2;354.3,165.5;363.7,107.2
16#390.2,389.6;422.1,304.0;430.8,284.1;437.9,313.5;356.3,304.0;344.2,343.5;441.7,312.2;441.6,191.7;440.0,183.4;425.2,118.5;432.3,133.2;443.8,175.2;446.1,185.9;435.1,194.2;349.6,184.9;365.2,129.9
17#334.7,364.1;358.3,284.4;390.6,282.0;433.6,326.0;353.3,326.4;314.2,343.6;421.6,324.1;427.9,206.5;427.1,197.2;414.6,135.5;397.8,154.3;390.8,199.6;413.5,201.1;442.5,210.3;344.9,204.4;366.8,152.7
18#279.1,338.6;294.4,264.7;350.4,279.9;429.4,338.6;350.4,348.8;284.2,343.7;401.4,336.0;414.2,221.3;414.2,211.1;404.0,152.5;363.2,175.4;337.7,223.9;381.0,216.2;449.8,226.4;340.2,223.9;368.3,175.4
19#258.0,344.4;268.6,281.0;397.9,376.0;339.8,368.1;329.3,368.1;255.4,347.0;374.2,357.6;397.9,244.1;397.9,228.3;384.7,170.2;450.7,157.0;463.9,215.1;440.1,244.1;358.3,238.8;461.2,217.7;440.1,164.9
20#433.7,489.2;455.3,398.9;396.8,381.1;318.0,381.1;244.3,299.7;246.8,381.1;356.2,376.0;374.0,261.6;376.5,241.3;379.0,185.3;447.7,192.9;455.3,238.7;419.7,264.1;330.7,259.1;340.9,297.2;361.2,284.5
21#439.7,525.9;442.8,416.6;380.4,401.0;314.8,391.7;224.3,335.5;255.5,426.0;349.2,397.9;364.8,276.2;364.8,260.6;369.5,193.5;374.1,316.7;399.1,319.9;408.5,276.2;321.1,273.1;321.1,316.7;361.7,316.7
22#440.5,541.7;422.2,431.6;361.0,407.2;299.9,398.0;208.2,364.4;260.2,456.1;327.4,398.0;348.8,281.9;348.8,263.5;356.5,200.9;455.8,257.4;443.6,303.2;394.7,284.9;296.8,278.8;299.9,318.5;336.6,315.5
23#438.0,553.7;413.3,445.5;373.1,414.6;295.8,405.3;212.3,389.8;258.7,488.8;339.1,414.6;336.0,284.7;339.1,272.3;346.8,205.9;456.6,297.1;431.8,324.9;385.5,287.8;283.4,281.6;289.6,324.9;329.8,321.8
24#422.2,541.4;420.6,444.2;366.0,427.7;293.0,420.7;225.6,430.7;261.4,527.5;333.0,428.6;341.0,299.1;346.2,287.0;362.3,221.2;457.8,332.0;430.8,350.0;388.5,306.2;292.1,291.2;285.5,317.1;303.4,309.1
25#406.4,529.1;427.9,442.9;358.9,440.7;290.2,436.1;239.0,471.6;264.1,566.3;326.9,442.6;346.0,313.6;353.2,301.8;377.8,236.6;459.0,366.9;429.7,375.1;391.4,324.6;300.9,300.8;281.4,309.2;277.0,296.4
26#390.6,516.8;435.3,441.7;351.8,453.8;287.3,451.4;252.3,512.5;266.7,605.0;320.7,456.6;351.0,328.0;360.2,316.5;393.2,251.9;460.2,401.8;428.7,400.3;394.4,343.0;309.6,310.3;277.3,301.4;250.6,283.7
27#374.8,504.5;442.6,440.4;344.7,466.8;284.5,466.8;265.6,553.4;269.4,643.8;314.6,470.6;356.0,342.5;367.3,331.2;408.7,267.2;461.4,436.7;427.6,425.4;397.4,361.4;318.4,319.9;273.2,293.6;224.2,271.0
28#279.4,681.2;413.7,423.1;353.6,476.2;297.1,472.6;282.9,589.3;261.7,677.7;325.3,476.2;378.4,363.0;385.4,348.9;415.5,280.0;470.3,483.2;445.5,444.4;413.7,380.7;346.6,334.8;302.4,280.0;374.8,444.4
29#404.2,530.2;433.9,459.7;367.1,493.1;311.5,489.4;289.3,604.4;270.7,689.7;341.2,489.4;393.1,370.7;400.5,363.3;433.9,300.2;474.7,485.7;463.6,474.5;430.2,400.4;359.7,341.0;331.9,283.5;369.0,276.1
30#396.6,602.3;451.3,513.4;324.7,509.9;321.3,499.7;304.2,609.2;396.6,605.7;355.5,509.9;400.0,393.6;417.1,373.1;456.4,330.3;471.8,492.8;482.1,465.4;441.0,403.9;441.0,407.3;475.3,472.3;475.3,482.6
31#400.1,645.8;449.1,555.1;364.7,527.6;339.8,518.3;307.1,613.9;386.3,640.5;375.2,525.1;411.1,403.6;422.5,389.9;456.3,338.8;438.3,438.9;431.9,436.4;423.4,405.4;452.3,416.5;499.0,464.9;476.4,457.9
32#403.5,689.2;446.9,596.8;404.7,545.4;358.4,536.9;309.9,618.7;375.9,675.3;394.9,540.3;422.3,413.6;428.0,406.8;456.1,347.2;404.7,385.1;381.8,407.4;405.8,407.0;463.6,425.7;522.8,457.4;477.6,433.2
33#407.0,732.7;444.7,638.5;444.7,563.1;376.9,555.5;312.8,623.4;365.6,710.1;414.6,555.5;433.4,423.6;433.4,423.6;456.0,355.7;371.2,331.2;331.6,378.4;388.2,408.5;474.9,434.9;546.5,450.0;478.7,408.5
34#414.4,761.3;449.4,679.5;461.1,585.9;387.1,582.0;316.9,605.4;387.1,683.4;422.2,585.9;433.8,437.7;429.9,433.9;441.6,367.6;488.4,383.2;543.0,433.9;472.8,449.4;391.0,430.0;340.3,414.4;371.5,371.5
35#430.8,788.9;461.3,684.5;474.3,588.8;417.8,584.5;326.4,584.5;413.4,662.8;443.9,588.8;439.5,445.3;435.2,440.9;430.8,375.7;487.4,367.0;504.8,410.5;478.7,449.6;391.7,440.9;352.5,454.0;378.6,410.5
36#453.5,791.5;480.2,685.0;484.6,600.6;422.5,600.6;347.0,569.6;431.3,645.0;453.5,600.6;440.2,449.7;440.2,449.7;418.0,383.1;497.9,352.0;511.3,409.7;480.2,449.7;395.8,454.1;360.3,485.2;386.9,436.4
37#476.1,765.2;514.9,664.2;499.4,602.1;437.3,598.2;363.5,563.3;452.8,644.8;468.4,602.1;437.3,462.3;437.3,458.4;421.8,388.6;509.1,363.3;507.2,411.9;483.9,450.7;394.6,470.1;375.2,508.9;406.2,493.4
38#511.0,731.1;529.0,630.3;500.2,587.1;442.6,597.9;385.0,576.3;467.8,659.1;471.4,590.7;446.2,475.4;442.6,464.6;428.2,399.8;536.2,367.4;514.6,421.4;493.0,461.0;395.8,482.6;377.8,547.4;392.2,507.8
39#536.9,695.8;565.8,609.2;502.2,586.1;441.6,594.7;409.8,597.6;470.4,690.1;473.3,591.9;447.3,485.0;447.3,467.6;441.6,407.0;479.1,531.2;508.0,528.3;496.4,476.3;401.1,493.6;386.7,554.3;380.9,554.3
40#527.6,674.9;521.7,580.5;515.8,592.3;459.7,601.1;421.4,621.8;468.6,716.1;489.2,595.2;456.8,492.0;456.8,474.3;455.3,410.9;489.2,539.2;515.8,533.3;506.9,483.2;409.6,497.9;391.9,565.7;380.1,580.5
41#531.0,665.3;515.8,677.4;524.9,592.7;464.4,598.7;431.1,629.0;473.5,719.8;491.6,595.7;464.4,495.8;461.3,480.6;459.8,415.6;485.6,538.2;518.9,538.2;512.8,483.7;412.9,504.9;391.7,574.5;409.9,547.2
42#528.6,684.4;573.9,605.0;511.6,590.8;449.2,599.3;443.6,624.9;480.4,712.7;483.3,593.7;466.2,494.5;463.4,474.7;462.0,419.4;497.4,539.8;525.8,539.8;514.4,486.0;415.2,503.0;389.7,571.0;418.1,559.7
43#549.2,723.8;562.9,616.9;510.8,589.5;442.2,597.7;450.5,605.9;483.4,688.2;477.9,592.2;472.4,490.7;469.7,471.5;460.1,423.6;568.4,474.3;584.8,512.7;530.0,482.5;417.6,499.0;387.4,570.3;431.3,573.0
44#552.2,757.9;568.4,641.6;503.8,602.8;439.2,599.6;400.4,586.7;406.9,657.7;468.2,602.8;477.9,496.2;471.5,476.8;460.2,417.1;561.9,483.3;571.6,528.5;536.1,489.7;416.5,499.4;384.2,564.0;413.3,580.2
45#552.4,777.0;555.8,680.7;515.9,607.6;446.1,604.3;482.7,640.8;412.9,680.7;476.0,601.0;476.0,494.6;472.7,474.7;454.4,419.9;539.1,541.2;569.0,531.2;535.8,491.3;419.5,494.6;373.0,554.4;409.6,557.8
46#558.4,786.3;544.6,696.8;524.0,600.3;455.1,607.2;430.9,686.4;410.3,707.1;492.9,603.7;479.2,493.5;468.8,472.8;453.3,416.0;534.3,541.7;565.3,545.2;534.3,490.0;417.2,493.5;362.0,538.3;399.9,531.4
47#562.9,784.3;537.7,690.6;516.1,582.4;451.2,586.0;469.2,668.9;411.5,730.2;483.6,586.0;476.4,485.1;469.2,477.9;449.4,411.2;537.7,550.0;562.9,539.1;530.5,481.5;422.3,485.1;361.0,521.1;400.7,506.7
48#543.8,784.2;543.8,675.7;529.8,581.1;452.7,577.6;435.2,584.6;452.7,693.2;487.8,581.1;480.8,483.1;477.3,476.1;444.0,407.8;536.8,563.6;571.8,549.6;536.8,483.1;421.2,479.6;365.2,500.6;386.2,448.0
49#516.6,739.4;533.7,647.4;537.1,589.4;465.5,589.4;434.8,606.4;462.1,715.6;499.6,589.4;482.5,480.3;475.7,466.6;446.7,406.9;530.3,558.7;578.0,551.9;537.1,480.3;421.1,476.8;370.0,490.5;373.4,442.7
50#502.3,702.3;515.0,622.6;527.7,578.0;464.0,581.2;435.4,619.4;460.9,727.7;492.7,581.2;483.1,472.9;476.8,460.2;452.9,407.6;530.9,546.2;559.6,539.8;530.9,476.1;429.0,463.3;381.2,504.7;384.4,460.2
51#508.5,664.1;491.2,612.0;543.3,584.2;470.3,591.2;435.6,639.8;459.9,744.0;501.6,591.2;484.2,469.5;477.3,455.6;451.2,398.3;519.0,525.1;574.6,532.1;539.8,473.0;428.6,469.5;383.4,511.2;383.4,469.5
52#539.7,680.2;472.7,666.1;536.1,581.5;469.2,588.6;430.4,662.6;455.1,757.7;504.4,585.1;483.3,465.3;476.2,447.6;449.8,396.6;543.2,525.2;592.5,511.1;539.7,461.7;426.9,465.3;388.2,518.1;377.6,489.9
53#542.1,676.7;504.5,616.5;523.3,578.9;466.8,586.4;448.0,673.0;448.0,763.3;496.9,582.6;478.1,458.4;474.4,443.4;449.9,385.0;545.9,522.4;587.3,481.0;530.8,450.9;425.4,462.2;395.3,518.6;380.3,496.1
54#530.0,688.3;503.5,601.5;530.0,559.9;469.6,571.3;443.1,658.1;465.8,748.7;499.8,567.5;473.3,450.4;473.3,439.1;448.8,384.4;499.8,518.4;530.0,507.1;522.4,442.9;420.5,461.8;394.1,522.2;375.2,510.8
55#526.1,693.8;497.6,594.0;526.1,551.2;469.1,554.8;422.8,622.5;472.7,729.4;497.6,554.8;465.5,447.8;462.0,433.6;444.1,376.5;527.9,353.4;519.0,479.9;515.4,433.6;415.6,458.5;387.1,522.7;369.3,529.8
