1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#769.2,701.4;759.1,620.4;779.3,590.1;728.7,590.1;688.2,677.8;774.2,784.0;752.3,590.1;755.7,458.5;755.7,441.7;760.7,365.8;772.6,458.5;799.5,458.5;809.7,458.5;698.3,451.8;681.5,472.0;711.8,458.5
7#766.1,701.0;755.9,605.8;766.1,565.0;715.1,568.4;643.7,633.0;738.9,721.4;742.3,565.0;738.9,435.8;735.5,415.4;733.8,352.5;779.7,466.4;827.3,469.8;793.3,432.4;684.5,432.4;674.3,466.4;711.7,452.8
8#764.7,708.2;757.7,613.9;754.2,554.6;698.3,551.1;586.6,568.5;687.8,655.8;726.2,551.1;715.8,414.9;712.3,393.9;700.0,329.3;785.6,418.4;831.0,453.3;771.6,411.4;656.4,414.9;649.4,449.8;677.3,432.3
9#764.7,718.3;753.9,621.0;735.8,534.5;678.1,527.3;559.2,512.8;652.9,606.6;707.0,530.9;692.6,397.5;689.0,372.2;672.7,319.9;804.3,444.3;807.9,447.9;750.3,386.6;638.5,404.7;598.8,426.3;620.5,393.9
10#761.4,716.6;738.4,620.5;715.3,516.7;657.6,512.8;527.0,466.7;615.4,555.1;688.4,516.7;669.2,382.2;665.3,359.1;644.2,299.5;822.9,401.4;788.3,405.2;726.8,366.8;611.5,389.8;557.7,389.8;607.7,539.8
11#741.0,709.5;724.2,608.2;698.9,502.8;635.6,502.8;517.5,439.5;585.0,540.7;665.1,502.8;648.2,359.3;648.2,355.1;612.4,272.8;817.0,397.3;783.2,393.1;707.3,355.1;593.4,367.8;530.1,346.7;576.5,304.5
12#707.1,699.8;711.3,595.3;686.2,503.3;615.1,490.8;514.7,436.4;564.9,540.9;652.7,494.9;631.8,348.6;631.8,352.8;594.2,269.1;782.4,377.8;765.6,369.5;686.2,344.4;577.5,356.9;518.9,327.7;525.2,254.5
13#663.6,671.1;698.2,551.9;655.9,498.1;586.7,498.1;498.2,440.4;548.2,544.2;625.2,498.1;617.5,351.9;617.5,355.8;588.6,273.1;675.1,313.5;744.4,351.9;671.3,351.9;563.6,355.8;502.1,321.2;496.3,265.4
14#609.1,642.5;637.6,544.9;616.6,500.1;577.4,504.5;498.3,464.4;530.8,549.2;601.2,502.6;600.5,370.8;599.9,369.2;576.3,293.3;630.4,328.6;674.8,368.9;631.3,368.9;569.0,375.6;526.0,354.7;508.4,311.6
15#554.6,614.0;577.0,537.9;577.4,502.1;568.2,511.0;498.5,488.4;513.4,554.3;577.2,507.2;583.5,389.6;582.2,382.7;564.0,313.5;585.7,343.8;605.1,385.8;591.4,385.8;574.4,395.4;550.0,388.2;520.4,357.8
16#500.0,585.4;516.3,530.8;538.1,504.1;558.9,517.4;498.6,512.5;495.9,559.4;553.3,511.7;566.6,408.5;564.6,396.1;551.7,333.6;541.0,358.9;535.4,402.8;551.4,402.8;579.7,415.2;573.9,421.8;532.5,404.0
17#445.5,556.8;455.7,523.8;498.8,506.1;549.6,523.8;498.8,536.5;478.5,564.4;529.3,516.2;549.6,427.4;547.0,409.6;539.4,353.8;496.3,374.1;465.8,419.8;511.5,419.8;585.1,435.0;597.8,455.3;544.5,450.2
18#387.6,549.8;417.0,541.8;467.9,531.1;473.3,533.8;451.9,576.6;465.3,571.3;510.8,563.2;526.9,445.3;524.2,423.9;516.2,362.3;585.8,348.9;593.9,356.9;572.4,448.0;484.0,442.6;473.3,488.2;521.5,488.2
19#427.4,575.1;595.5,572.5;521.7,572.5;458.0,559.8;396.9,544.5;379.0,559.8;488.6,572.5;508.9,452.8;506.4,429.9;503.8,371.3;582.8,358.6;598.1,409.5;554.8,455.3;463.1,447.7;447.8,493.6;486.0,491.0
20#406.0,573.0;557.1,589.8;497.2,558.6;432.4,556.2;427.6,525.0;377.3,592.2;463.6,561.0;490.0,448.3;490.0,426.7;490.0,371.5;497.2,467.4;538.0,486.6;530.8,448.3;444.4,448.3;420.4,493.8;451.6,491.4
21#542.2,709.4;542.2,598.4;473.9,575.7;397.0,567.1;348.7,538.7;360.1,601.3;439.7,567.1;471.0,447.6;473.9,422.0;478.1,380.7;553.6,427.7;545.0,464.7;522.3,447.6;419.8,441.9;408.4,496.0;451.1,481.8
22#551.9,710.4;525.7,602.1;453.5,562.7;387.9,556.2;292.7,523.3;355.0,611.9;420.7,556.2;460.0,434.7;463.3,415.1;468.2,364.2;581.5,431.5;571.6,470.8;512.5,441.3;407.5,428.2;404.3,480.7;446.9,474.1
23#540.0,701.5;526.6,594.5;453.0,554.4;379.5,541.0;299.2,534.3;356.1,634.6;416.3,551.0;453.0,420.6;456.4,407.2;464.8,338.7;573.4,434.0;560.0,470.8;509.9,427.3;399.5,413.9;396.2,464.1;443.0,460.7
24#506.3,679.6;529.5,576.5;446.4,529.9;383.2,526.6;313.3,543.2;359.9,653.0;419.8,529.9;453.0,410.2;456.4,393.5;474.7,328.7;576.1,450.1;549.5,476.7;506.3,420.1;403.1,396.9;389.8,450.1;426.4,450.1
25#478.0,640.8;534.2,544.9;454.8,525.0;385.4,515.1;335.8,554.8;362.2,673.8;425.1,521.7;454.8,399.4;461.4,382.9;492.8,318.4;563.9,501.9;537.5,482.1;507.7,415.9;408.5,382.9;392.0,435.8;428.4,432.5
26#463.2,599.0;493.6,507.9;449.7,518.0;385.5,507.9;351.7,585.5;361.9,690.2;415.9,514.6;463.2,389.7;469.9,372.8;508.8,303.6;574.6,470.7;534.1,470.7;513.8,406.6;415.9,372.8;388.9,426.8;422.7,423.4
27#456.0,557.5;497.1,483.4;451.9,508.1;398.4,508.1;361.3,606.9;361.3,701.5;423.1,508.1;476.6,376.4;480.7,368.2;525.9,298.2;579.4,487.5;542.4,475.2;525.9,401.1;431.3,359.9;406.6,409.3;410.7,450.5
28#400.7,716.9;527.5,447.4;468.1,502.9;404.6,495.0;376.9,609.9;345.2,716.9;440.3,498.9;495.8,368.2;495.8,356.3;537.4,298.8;598.8,502.9;559.2,471.2;535.4,391.9;448.2,340.4;424.5,407.8;452.2,459.3
29#427.6,711.3;458.5,618.6;476.2,490.5;418.8,490.5;383.4,605.3;352.5,720.2;445.3,490.5;502.7,357.9;502.7,357.9;553.5,285.0;595.5,490.5;582.2,468.4;551.3,388.8;463.0,322.6;438.7,285.0;449.7,455.1
