1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#NULL
15#NULL
16#NULL
17#684.8,624.8;658.0,544.1;694.9,497.1;641.2,503.8;647.9,560.9;694.9,634.9;668.0,500.4;671.4,372.7;671.4,366.0;683.2,300.4;671.4,409.7;701.7,409.7;715.1,376.0;627.7,362.6;617.6,339.1;661.3,305.5
18#652.8,532.2;695.5,466.5;682.4,505.9;619.9,512.4;633.1,568.3;672.5,650.4;649.5,509.2;672.5,384.3;669.2,384.3;687.3,317.0;695.5,466.5;718.5,430.3;715.2,387.6;629.8,374.5;610.1,427.0;639.6,436.9
19#680.2,509.9;680.2,486.9;668.7,524.3;608.2,518.6;602.5,547.4;642.8,639.6;637.0,521.4;665.8,394.7;668.7,386.0;684.6,332.8;694.7,463.8;714.8,443.7;709.1,403.3;625.5,383.2;608.2,429.3;637.0,429.3
20#669.8,524.0;667.2,513.3;653.9,521.3;595.6,508.0;579.7,526.6;616.8,608.8;624.8,518.7;661.9,402.0;664.5,386.0;684.4,339.6;688.4,449.7;712.3,455.0;704.3,412.6;616.8,386.0;606.2,428.5;632.7,428.5
21#623.8,543.2;667.1,504.7;645.4,511.9;582.9,502.3;561.2,507.1;585.3,548.0;614.1,507.1;657.5,403.7;664.7,384.4;680.3,337.5;686.3,447.0;708.0,466.2;705.6,418.1;616.5,386.8;599.7,430.1;626.2,437.3
22#633.0,557.1;666.2,533.6;640.8,508.2;574.4,492.6;541.2,494.6;586.1,547.3;613.5,502.4;658.4,406.7;664.3,383.2;673.1,351.0;703.3,463.3;705.3,478.9;705.3,422.3;617.4,385.2;607.6,430.1;635.0,430.1
23#623.0,571.8;682.2,499.0;634.4,526.3;579.8,505.8;538.8,480.8;554.8,469.4;609.4,517.2;661.7,405.7;668.5,385.2;685.6,340.9;693.6,462.6;702.7,485.3;705.0,423.9;620.8,385.2;602.6,423.9;625.3,435.3
24#611.4,599.4;683.5,517.3;631.3,517.3;579.0,497.4;626.3,497.4;626.3,559.6;601.4,509.8;661.1,407.8;668.6,392.9;694.7,346.9;703.4,460.1;703.4,492.4;703.4,427.7;621.3,382.9;574.0,417.8;551.6,460.1
25#613.8,621.4;679.0,535.4;621.7,519.7;577.3,498.9;626.9,511.9;624.3,561.4;598.2,506.7;663.4,407.6;671.2,394.6;703.8,354.1;699.9,470.2;705.1,498.9;702.5,431.1;629.5,381.5;574.7,371.1;624.3,423.2
26#614.8,641.0;665.2,555.0;623.7,513.4;576.2,492.7;632.6,519.4;620.7,560.9;599.9,501.6;662.3,403.7;671.2,391.8;705.3,336.9;700.8,495.6;706.8,504.5;700.8,430.4;623.7,377.0;570.3,353.2;623.7,350.3
27#624.5,660.2;659.9,573.3;634.2,518.6;582.7,496.0;647.0,534.7;624.5,570.1;608.4,505.7;663.1,396.3;669.6,386.6;709.8,336.7;705.0,518.6;711.4,486.4;701.8,418.8;621.3,367.3;568.2,336.7;621.3,492.8
