1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#NULL
15#NULL
16#NULL
17#NULL
18#NULL
19#NULL
20#NULL
21#NULL
22#NULL
23#NULL
24#NULL
25#NULL
26#NULL
27#NULL
28#NULL
29#NULL
30#NULL
31#NULL
32#NULL
33#NULL
34#569.6,624.8;596.3,541.7;572.6,500.2;513.2,482.4;587.4,523.9;557.7,607.0;539.9,491.3;593.4,384.5;599.3,369.7;609.7,302.9;652.7,464.6;655.7,467.6;643.8,405.3;548.8,357.8;507.3,411.2;542.9,405.3
35#583.5,639.2;598.8,562.9;580.5,498.9;522.5,486.7;577.4,556.8;565.2,630.0;550.0,492.8;595.7,373.8;598.8,361.6;618.6,308.2;644.5,489.7;662.8,459.2;644.5,398.2;556.1,352.4;528.6,328.0;574.4,340.2
36#594.2,627.4;611.2,549.8;586.9,496.2;529.1,485.8;576.7,556.9;565.0,630.1;556.8,491.0;597.0,370.9;599.8,359.8;616.5,305.2;646.4,467.9;667.3,443.5;646.0,392.4;556.7,352.1;530.0,327.6;572.0,334.3
37#605.0,615.7;623.5,536.6;593.2,493.6;535.8,484.9;576.0,556.9;564.7,630.1;563.6,489.2;598.3,367.9;600.9,357.9;614.4,302.3;648.2,446.1;671.9,427.8;647.6,386.6;557.3,351.7;531.5,327.1;569.6,328.5
38#615.7,603.9;635.9,523.5;599.6,490.9;542.4,484.0;575.4,557.0;564.5,630.2;570.4,487.5;599.7,365.0;601.9,356.1;612.3,299.3;650.1,424.3;676.4,412.1;649.1,380.7;557.9,351.4;532.9,326.7;567.2,322.6
39#626.5,592.1;648.2,510.3;606.0,488.2;549.1,483.1;574.7,557.0;564.3,630.2;577.2,485.7;601.0,362.1;602.9,354.3;610.2,296.3;652.0,402.5;680.9,396.4;650.7,374.9;558.5,351.1;534.3,326.3;564.8,316.7
40#637.2,580.4;660.6,497.2;612.3,485.6;555.7,482.2;574.0,557.1;564.0,630.3;584.0,483.9;602.3,359.1;604.0,352.5;608.1,293.4;653.9,380.7;685.5,380.7;652.2,369.1;559.1,350.8;535.7,325.8;562.4,310.8
41#648.0,568.6;672.9,484.0;618.7,482.9;562.4,481.4;573.3,557.1;563.8,630.3;590.8,482.1;603.6,356.2;605.0,350.6;606.1,290.4;655.7,359.0;690.0,365.1;653.8,363.3;559.6,350.4;537.2,325.4;560.0,305.0
42#658.7,556.9;685.3,470.9;625.0,480.3;569.0,480.5;572.6,557.2;563.5,630.4;597.6,480.3;604.9,353.2;606.1,348.8;604.0,287.5;657.6,337.2;694.6,349.4;655.3,357.5;560.2,350.1;538.6,324.9;557.6,299.1
43#669.5,545.1;697.6,457.7;631.4,477.6;575.7,479.6;571.9,557.2;563.3,630.4;604.4,478.5;606.2,350.3;607.1,347.0;601.9,284.5;659.5,315.4;699.1,333.7;656.9,351.7;560.8,349.8;540.0,324.5;555.2,293.2
44#680.2,533.3;710.0,444.6;637.8,474.9;582.3,478.7;571.3,557.3;563.1,630.5;611.2,476.8;607.6,347.4;608.1,345.2;599.8,281.5;661.4,293.6;703.6,318.0;658.4,345.8;561.4,349.5;541.4,324.1;552.8,287.3
45#691.0,521.6;722.3,431.4;644.1,472.3;589.0,477.8;570.6,557.3;562.8,630.5;618.0,475.0;608.9,344.4;609.2,343.3;597.7,278.6;663.2,271.8;708.2,302.3;660.0,340.0;562.0,349.1;542.9,323.6;550.4,281.5
46#701.7,509.8;734.7,418.3;650.5,469.6;595.6,476.9;569.9,557.4;562.6,630.6;624.8,473.2;610.2,341.5;610.2,341.5;595.6,275.6;665.1,250.0;712.7,286.6;661.5,334.2;562.6,348.8;544.3,323.2;548.0,275.6
47#706.2,498.8;732.5,408.7;661.2,472.5;604.8,480.0;574.8,555.1;559.8,626.5;634.9,480.0;612.3,348.6;608.6,341.0;593.6,273.4;670.6,219.0;698.7,281.0;661.2,333.5;563.5,356.1;552.2,337.3;556.0,303.5
48#698.3,479.3;723.9,398.9;665.4,475.7;610.6,486.7;574.0,545.2;557.6,623.8;636.2,486.7;614.2,351.4;614.2,347.7;592.3,278.3;683.7,205.1;687.4,270.9;665.4,333.1;566.7,366.0;552.1,318.5;552.1,322.1
49#705.2,477.0;720.8,391.3;681.8,477.0;615.6,488.7;584.4,543.3;572.7,625.1;642.8,484.8;615.6,344.6;615.6,348.5;592.2,278.3;693.5,212.1;689.6,274.4;662.3,332.9;564.9,352.4;537.6,321.2;545.4,340.7
50#711.3,480.0;718.4,394.8;679.4,476.5;619.0,490.7;590.6,547.5;583.5,625.6;647.4,487.1;615.5,348.6;611.9,348.6;594.2,281.2;698.9,226.1;697.1,281.2;665.2,334.4;569.3,362.8;533.8,330.9;572.9,323.8
51#706.7,486.0;717.8,398.9;681.0,477.4;621.0,491.2;592.7,546.9;586.7,624.9;649.4,487.4;618.6,350.0;615.2,349.2;597.9,281.9;700.4,236.9;701.0,289.0;668.4,336.7;572.3,363.2;535.5,334.2;572.1,325.0
52#702.2,492.0;717.3,403.1;682.6,478.2;623.0,491.8;594.9,546.4;589.8,624.3;651.3,487.6;621.7,351.3;618.5,349.8;601.5,282.6;701.8,247.8;704.9,296.8;671.6,339.0;575.3,363.7;537.2,337.5;571.3,326.2
53#697.6,498.0;716.7,407.2;684.2,479.1;624.9,492.3;597.0,545.8;593.0,623.6;653.3,487.9;624.8,352.7;621.8,350.4;605.2,283.4;703.3,258.6;708.9,304.6;674.7,341.4;578.3,364.1;538.8,340.8;570.5,327.3
54#693.1,504.0;716.2,411.4;685.8,479.9;626.9,492.9;599.2,545.2;596.2,622.9;655.3,488.2;627.9,354.1;625.1,351.0;608.9,284.1;704.7,269.5;712.8,312.4;677.9,343.7;581.3,364.5;540.5,344.1;569.7,328.5
55#688.5,510.0;715.6,415.5;687.4,480.8;628.9,493.4;601.3,544.7;599.3,622.3;657.2,488.5;631.1,355.5;628.5,351.5;612.5,284.8;706.2,280.4;716.7,320.1;681.1,346.0;584.4,364.9;542.2,347.4;568.9,329.7
56#683.9,516.0;715.0,419.7;689.0,481.7;630.9,494.0;603.5,544.1;602.5,621.6;659.2,488.7;634.2,356.8;631.8,352.1;616.2,285.5;707.7,291.2;720.6,327.9;684.3,348.3;587.4,365.4;543.9,350.7;568.1,330.9
57#679.4,522.0;714.5,423.8;690.6,482.5;632.8,494.5;605.6,543.5;605.7,620.9;661.2,489.0;637.3,358.2;635.1,352.7;619.9,286.3;709.1,302.1;724.5,335.7;687.4,350.7;590.4,365.8;545.6,354.0;567.3,332.1
58#674.8,528.0;713.9,428.0;692.2,483.4;634.8,495.1;607.8,543.0;608.8,620.3;663.1,489.3;640.4,359.6;638.4,353.3;623.5,287.0;710.6,312.9;728.4,343.5;690.6,353.0;593.4,366.2;547.3,357.3;566.5,333.3
59#670.3,534.1;713.4,432.1;693.9,484.2;636.8,495.6;609.9,542.4;612.0,619.6;665.1,489.5;643.5,360.9;641.7,353.9;627.2,287.7;712.0,323.8;732.4,351.3;693.8,355.3;596.4,366.7;548.9,360.6;565.7,334.4
60#665.7,540.1;712.8,436.2;695.5,485.1;638.8,496.1;612.0,541.8;615.2,618.9;667.1,489.8;646.6,362.3;645.0,354.5;630.9,288.4;713.5,334.6;736.3,359.1;697.0,357.6;599.4,367.1;550.6,363.9;564.9,335.6
61#661.1,546.1;712.2,440.4;697.1,486.0;640.8,496.7;614.2,541.3;618.3,618.3;669.0,490.1;649.7,363.7;648.3,355.1;634.5,289.1;715.0,345.4;740.2,366.9;700.2,359.9;602.4,367.5;552.3,367.2;564.1,336.8
62#656.6,552.1;711.7,444.5;698.7,486.8;642.7,497.2;616.3,540.7;621.5,617.6;671.0,490.4;652.8,365.1;651.6,355.7;638.2,289.9;716.4,356.3;744.1,374.7;703.3,362.3;605.4,367.9;554.0,370.5;563.3,338.0
63#652.0,558.1;711.1,448.7;700.3,487.7;644.7,497.8;618.5,540.1;624.7,616.9;673.0,490.6;655.9,366.4;654.9,356.3;641.9,290.6;717.9,367.1;748.0,382.5;706.5,364.6;608.4,368.4;555.7,373.8;562.5,339.2
64#647.4,564.1;710.5,452.8;701.9,488.6;646.7,498.3;620.6,539.6;627.8,616.3;674.9,490.9;659.1,367.8;658.3,356.8;645.5,291.3;719.4,378.0;751.9,390.2;709.7,366.9;611.5,368.8;557.4,377.1;561.7,340.4
65#642.9,570.1;710.0,457.0;703.5,489.4;648.7,498.9;622.8,539.0;631.0,615.6;676.9,491.2;662.2,369.2;661.6,357.4;649.2,292.0;720.8,388.9;755.9,398.0;712.9,369.2;614.5,369.2;559.0,380.4;560.9,341.5
66#638.3,576.1;709.4,461.1;705.1,490.3;650.6,499.4;624.9,538.4;634.2,614.9;678.9,491.5;665.3,370.6;664.9,358.0;652.9,292.8;722.3,399.7;759.8,405.8;716.0,371.6;617.5,369.6;560.7,383.7;560.1,342.7
67#633.8,582.1;708.9,465.2;706.7,491.1;652.6,499.9;627.0,537.9;637.3,614.3;680.8,491.7;668.4,371.9;668.2,358.6;656.5,293.5;723.7,410.5;763.7,413.6;719.2,373.9;620.5,370.1;562.4,387.0;559.3,343.9
68#629.2,588.1;708.3,469.4;708.3,492.0;654.6,500.5;629.2,537.3;640.5,613.6;682.8,492.0;671.5,373.3;671.5,359.2;660.2,294.2;725.2,421.4;767.6,421.4;722.4,376.2;623.5,370.5;564.1,390.3;558.5,345.1
69#634.7,581.2;709.2,464.4;704.5,484.0;651.2,491.7;629.1,528.7;638.5,605.2;679.1,484.2;668.6,365.4;668.4,351.8;657.9,286.3;725.8,412.7;764.3,413.4;719.2,368.3;620.7,362.3;562.1,380.1;561.1,335.7
70#640.1,574.4;710.0,459.4;700.7,475.9;647.9,482.8;629.0,520.1;636.6,596.9;675.4,476.3;665.6,357.4;665.2,344.3;655.6,278.4;726.5,404.0;761.0,405.4;716.0,360.4;617.8,354.1;560.1,369.9;563.7,326.3
71#645.6,567.5;710.9,454.5;696.8,467.9;644.5,474.0;628.9,511.5;634.6,588.5;671.8,468.5;662.7,349.5;662.1,336.9;653.3,270.5;727.1,395.3;757.7,397.3;712.8,352.5;615.0,345.9;558.1,359.7;566.3,316.9
72#651.1,560.6;711.7,449.5;693.0,459.8;641.2,465.1;628.8,502.8;632.6,580.2;668.1,460.7;659.8,341.6;658.9,329.4;651.1,262.6;727.7,386.6;754.3,389.3;709.6,344.6;612.1,337.7;556.1,349.6;568.9,307.5
73#656.5,553.7;712.6,444.5;689.2,451.8;637.8,456.3;628.7,494.2;630.6,571.8;664.4,452.9;656.9,333.6;655.8,322.0;648.8,254.7;728.3,377.9;751.0,381.3;706.4,336.7;609.3,329.5;554.1,339.4;571.5,298.1
