1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#NULL
15#NULL
16#NULL
17#NULL
18#NULL
19#NULL
20#NULL
21#NULL
22#NULL
23#NULL
24#NULL
25#NULL
26#NULL
27#NULL
28#NULL
29#NULL
30#NULL
31#356.0,516.3;401.7,432.5;317.9,474.4;260.7,474.4;260.7,581.1;260.7,664.9;291.2,474.4;344.6,341.0;352.2,333.4;405.5,276.3;466.5,463.0;417.0,436.3;390.3,367.7;306.5,318.2;272.2,257.2;354.1,221.0
32#389.4,535.1;422.1,449.8;364.9,467.6;308.4,472.4;304.4,564.5;295.6,645.7;330.4,475.6;373.7,350.0;374.6,337.9;416.6,278.7;470.7,469.5;436.0,435.1;412.0,370.0;341.9,332.9;310.6,296.8;368.0,277.6
33#422.9,553.8;442.6,467.1;411.8,460.9;356.0,470.5;348.0,547.9;330.4,626.5;369.7,476.9;402.8,358.9;397.0,342.3;427.6,281.0;474.9,476.0;455.0,433.9;433.7,372.3;377.4,347.6;349.0,336.3;382.0,334.2
34#456.4,572.6;463.0,484.5;458.8,454.1;403.7,468.5;391.7,531.2;365.3,607.4;408.9,478.1;431.9,367.9;419.4,346.8;438.7,283.4;479.2,482.5;474.0,432.6;455.3,374.6;412.8,362.2;387.4,375.8;395.9,390.8
35#489.8,591.4;483.4,501.8;505.8,447.4;451.4,466.6;435.4,514.6;400.2,588.2;448.2,479.4;461.0,376.9;441.8,351.3;449.8,285.7;483.4,489.0;493.0,431.4;477.0,376.9;448.2,376.9;425.8,415.4;409.8,447.4
36#408.8,610.8;438.2,519.3;408.8,493.2;343.5,499.7;353.3,604.3;350.0,686.0;376.2,496.5;415.4,359.2;418.6,349.4;449.7,289.0;470.9,463.8;510.1,434.4;461.1,372.3;372.9,339.6;350.0,395.2;386.0,395.2
37#416.0,628.5;444.2,547.0;422.3,506.3;359.6,503.2;362.8,594.0;356.5,669.2;394.1,506.3;431.7,359.0;438.0,352.8;439.5,288.6;503.8,415.4;541.3,421.7;481.8,374.7;387.8,346.5;340.8,299.5;428.6,381.0
38#443.0,565.5;433.4,616.7;436.6,517.5;382.1,514.2;366.1,581.5;366.1,645.6;411.0,514.2;436.6,354.1;436.6,350.9;443.0,286.8;548.7,395.7;519.9,389.3;484.6,360.5;388.6,341.3;353.3,315.7;377.3,259.6
39#451.8,578.3;513.4,507.9;463.5,519.7;396.1,516.7;369.7,557.8;381.4,631.1;428.3,519.7;443.0,355.4;445.9,349.5;443.0,285.0;510.5,334.9;545.7,361.3;489.9,364.2;390.2,349.5;381.4,308.4;382.9,271.8
40#457.5,578.0;475.5,599.1;475.5,517.8;409.3,505.8;376.2,511.8;388.2,608.1;442.4,514.8;451.4,352.3;448.4,343.2;439.4,280.0;502.6,277.0;541.7,328.2;499.6,346.3;403.3,352.3;388.2,349.3;373.2,343.2
41#456.1,583.7;483.6,600.9;493.9,501.1;432.0,494.2;390.7,487.3;407.9,590.6;459.5,494.2;456.1,349.7;452.6,342.8;445.7,277.4;518.0,239.5;542.1,304.9;504.3,342.8;407.9,353.1;387.2,360.0;390.7,322.1
42#481.2,648.7;484.8,586.9;510.3,499.6;441.2,481.4;408.4,474.1;437.5,565.0;470.3,492.3;466.6,350.5;463.0,343.2;452.1,274.1;535.7,223.2;539.4,292.3;510.3,343.2;415.7,354.1;397.5,394.1;397.5,339.6
43#483.8,668.1;509.7,572.1;502.3,494.5;446.9,479.8;421.1,483.5;454.3,549.9;472.8,490.8;469.1,346.8;469.1,343.1;461.7,276.6;555.9,219.4;539.2,287.7;517.1,335.7;421.1,357.9;406.3,413.3;402.6,376.3
