1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#NULL
15#NULL
16#NULL
17#NULL
18#NULL
19#NULL
20#NULL
21#NULL
22#NULL
23#NULL
24#807.3,591.0;813.8,488.5;720.8,507.7;656.7,514.1;570.2,424.4;576.6,501.3;685.6,514.1;675.9,363.5;675.9,357.1;643.9,289.8;720.8,257.7;740.0,312.2;720.8,353.9;634.3,373.1;659.9,392.3;679.1,392.3
25#786.5,591.6;796.9,491.1;702.9,512.6;638.7,516.2;557.1,428.5;593.2,510.1;668.0,517.7;662.8,374.1;662.8,365.9;637.2,300.7;721.9,275.0;726.0,339.7;707.0,366.4;621.3,381.7;641.8,405.9;663.3,404.8
26#765.7,592.3;779.9,493.7;684.9,517.5;620.7,518.3;544.0,432.5;609.8,518.9;650.4,521.4;649.7,384.6;649.7,374.6;630.5,311.5;723.1,292.3;711.9,367.2;693.2,378.9;608.3,390.4;623.7,419.5;647.5,417.4
27#744.9,592.9;763.0,496.2;667.0,522.5;602.7,520.4;531.0,436.6;626.3,527.6;632.8,525.0;636.7,395.2;636.7,383.4;623.9,322.4;724.2,309.5;697.9,394.8;679.4,391.3;595.3,399.0;605.5,433.0;631.8,429.9
28#724.1,593.6;746.0,498.8;649.0,527.4;584.7,522.5;517.9,440.6;642.9,536.4;615.2,528.7;623.6,405.7;623.6,392.1;617.2,333.2;725.4,326.8;683.8,422.3;665.6,403.8;582.3,407.7;587.4,446.6;616.0,442.5
29#703.3,594.2;729.1,501.4;631.1,532.3;566.7,524.6;504.8,444.7;659.5,545.2;597.6,532.3;610.5,416.3;610.5,400.9;610.5,344.1;726.5,344.1;669.8,449.8;651.8,416.3;569.3,416.3;569.3,460.2;600.2,455.0
30#709.9,602.6;723.4,510.3;612.2,540.2;549.8,537.5;501.0,447.9;514.6,537.5;582.4,537.5;598.7,418.1;598.7,404.5;601.4,342.1;731.6,358.4;655.6,453.4;642.1,423.5;555.2,415.4;552.5,461.5;585.1,450.6
31#709.1,620.4;714.8,524.1;593.1,543.9;545.0,538.3;604.4,518.5;655.4,552.4;570.5,541.1;587.5,413.8;587.5,399.6;593.1,334.5;729.0,368.5;709.1,410.9;632.7,408.1;545.0,410.9;539.3,453.4;564.8,453.4
32#709.4,630.5;703.3,532.5;589.9,544.7;540.9,550.8;617.5,526.3;657.3,587.6;565.4,544.7;577.6,403.7;580.7,391.5;582.2,322.5;730.9,376.2;703.3,416.0;626.7,400.7;525.5,403.7;537.8,446.6;559.2,452.8
33#710.7,639.8;684.7,542.2;577.3,522.6;522.0,519.4;606.6,535.6;538.3,568.2;551.3,522.6;570.8,392.5;574.1,382.7;577.3,311.1;733.5,382.7;694.5,418.5;622.9,395.7;518.8,386.0;522.0,421.8;548.0,421.8
34#712.6,641.0;671.5,545.1;572.2,510.9;517.4,507.4;613.3,579.3;544.8,582.8;544.8,507.4;561.9,380.7;565.4,370.5;568.8,298.6;729.7,391.0;688.6,418.4;616.7,387.6;514.0,370.5;469.5,343.1;524.3,326.0
