1#NULL
2#NULL
3#684.2,622.0;658.8,528.8;756.2,562.7;768.9,579.7;730.8,668.6;747.7,787.2;760.4,566.9;701.1,452.6;705.4,456.8;671.5,380.5;648.2,314.9;684.2,355.1;726.5,431.4;679.9,469.5;603.7,418.7;582.5,363.6
4#678.6,615.3;654.3,521.9;740.6,544.7;746.1,559.7;703.0,636.9;721.4,752.8;741.2,547.8;686.5,433.4;690.3,435.4;659.6,359.9;652.9,313.7;683.5,347.0;714.9,413.2;661.4,448.9;589.7,407.1;576.6,357.1
5#673.0,608.6;649.9,515.1;725.0,526.8;723.3,539.7;675.2,605.2;695.1,718.3;722.1,528.7;671.8,414.2;675.3,414.0;647.8,339.3;657.5,312.4;682.8,339.0;703.4,395.1;642.9,428.4;575.7,395.5;570.6,350.7
6#667.4,601.9;645.4,508.2;709.4,508.8;700.4,519.7;647.5,573.5;668.8,683.9;702.9,509.7;657.2,394.9;660.2,392.6;636.0,318.7;662.2,311.2;682.2,330.9;691.8,376.9;624.5,407.8;561.7,383.8;564.7,344.2
7#661.8,595.2;641.0,501.4;693.8,490.9;677.6,499.7;619.7,541.8;642.5,649.4;683.7,490.6;642.5,375.7;645.1,371.2;624.1,298.1;666.9,309.9;681.5,322.9;680.2,358.8;606.0,387.3;547.7,372.2;558.8,337.8
8#656.2,588.5;636.5,494.5;678.2,472.9;654.8,479.7;591.9,510.1;616.2,615.0;664.5,471.5;627.9,356.5;630.0,349.9;612.2,277.6;671.6,308.7;680.8,314.8;668.6,340.6;587.5,366.7;533.7,360.6;552.9,331.3
9#650.7,581.7;632.1,487.7;662.7,454.9;632.0,459.6;564.1,478.4;589.8,580.5;645.4,452.4;613.3,337.3;615.0,328.5;600.4,257.0;676.2,307.5;680.1,306.7;657.1,322.5;569.0,346.1;519.6,349.0;546.9,324.8
10#645.1,575.0;627.6,480.8;647.1,437.0;609.2,439.6;536.3,446.7;563.5,546.0;626.2,433.3;598.6,318.1;599.9,307.1;588.5,236.4;680.9,306.2;679.4,298.7;645.5,304.4;550.5,325.6;505.6,337.4;541.0,318.4
11#639.5,568.3;623.2,474.0;631.5,419.0;586.3,419.6;508.6,415.0;537.2,511.6;607.0,414.3;584.0,298.8;584.8,285.7;576.7,215.8;685.6,305.0;678.8,290.6;633.9,286.2;532.1,305.0;491.6,325.7;535.1,311.9
12#633.9,561.6;618.8,467.1;615.9,401.1;563.5,399.6;480.8,383.3;510.9,477.2;587.9,395.2;569.3,279.6;569.8,264.3;564.9,195.2;690.2,303.7;678.1,282.6;622.4,268.0;513.6,284.5;477.6,314.1;529.1,305.5
13#628.3,554.9;614.3,460.3;600.3,383.1;540.7,379.6;453.0,351.6;484.6,442.7;568.7,376.1;554.7,260.4;554.7,242.9;553.0,174.6;694.9,302.5;677.4,274.5;610.8,249.9;495.1,263.9;463.6,302.5;523.2,299.0
14#595.6,521.8;595.6,438.2;578.2,358.1;522.4,358.1;445.8,354.6;487.6,445.2;550.3,358.1;536.4,232.7;536.4,218.8;538.1,157.9;682.6,285.0;654.8,239.7;595.6,229.3;484.1,232.7;418.0,267.6;431.9,257.1
15#565.5,481.5;595.0,389.5;552.3,346.9;493.2,343.6;440.7,350.1;476.8,438.8;522.8,343.6;516.2,212.2;519.5,205.7;524.4,135.1;562.2,172.8;611.4,202.4;568.8,215.5;460.4,215.5;384.9,222.1;440.7,149.9
16#534.5,452.5;593.9,370.0;527.9,353.4;461.8,340.2;418.9,346.8;451.9,442.6;491.6,350.1;498.2,208.1;498.2,204.8;518.0,135.5;541.1,198.2;557.6,254.4;557.6,185.0;445.3,211.4;376.0,201.5;382.6,158.6
17#510.6,427.7;580.6,354.8;498.9,378.2;429.0,366.5;388.1,354.8;417.3,445.2;464.0,369.4;478.5,229.5;478.5,217.8;501.9,153.6;484.4,264.4;533.9,267.4;533.9,217.8;426.0,229.5;359.0,223.6;379.4,179.9
18#506.7,415.9;522.7,357.2;472.0,383.9;400.0,381.2;357.3,365.2;381.3,442.6;432.0,383.9;453.3,250.5;453.3,226.4;485.4,173.1;480.0,279.8;522.7,231.8;517.4,215.8;400.0,226.4;346.6,245.1;376.0,197.1
19#488.4,379.7;458.1,384.7;453.1,392.3;382.4,392.3;331.9,367.1;337.0,442.8;415.2,392.3;448.0,220.7;432.9,233.3;463.2,190.4;480.8,304.0;485.9,298.9;498.5,233.3;395.0,208.1;362.2,273.7;352.1,278.7
20#504.8,457.5;478.2,380.5;430.5,396.5;356.1,396.5;292.4,351.3;303.0,436.3;388.0,396.5;409.2,271.7;414.5,253.1;433.1,192.1;488.8,205.3;494.2,258.4;459.6,269.0;356.1,263.7;342.9,292.9;374.7,290.3
21#506.2,487.3;487.9,390.7;412.2,403.8;331.3,395.9;266.1,354.2;287.0,435.1;370.5,401.1;386.1,270.7;388.7,255.0;401.8,192.4;485.3,226.3;480.1,275.9;438.3,270.7;328.7,265.5;323.5,315.0;357.4,296.8
22#502.9,491.2;453.3,389.3;386.4,395.1;316.5,395.1;258.2,374.7;281.5,453.4;351.4,398.0;363.1,269.9;363.1,252.4;376.2,189.8;482.5,249.5;467.9,290.3;415.5,269.9;307.7,261.2;299.0,316.5;328.1,307.8
23#482.4,479.3;433.8,385.0;359.4,390.7;287.9,382.1;239.3,385.0;270.8,473.6;325.1,387.8;342.3,262.0;345.1,244.9;360.8,177.7;473.8,264.9;448.1,302.1;396.6,270.6;287.9,256.3;270.8,313.5;305.1,302.1
24#443.9,456.9;424.1,363.6;336.5,377.7;271.5,377.7;243.2,394.7;274.3,487.9;305.4,377.7;328.0,253.4;336.5,236.4;357.7,172.8;469.3,281.6;426.9,298.6;381.7,267.5;274.3,242.1;260.2,298.6;294.1,290.1
25#408.7,426.2;411.5,333.7;332.5,371.7;278.1,360.9;256.4,415.3;268.6,514.6;302.6,363.6;332.5,249.3;338.0,227.5;355.7,171.8;476.7,295.6;422.3,306.4;384.2,262.9;280.9,230.3;253.6,282.0;291.7,284.7
26#383.2,390.1;402.5,319.5;328.7,345.2;271.0,348.4;264.6,438.2;261.4,528.0;299.8,345.2;338.3,239.3;344.7,226.5;372.0,170.4;473.0,306.7;415.3,316.3;389.6,261.8;290.2,216.9;254.9,274.6;290.2,281.0
27#384.1,364.3;393.9,292.8;332.1,335.1;276.8,338.3;270.3,445.6;267.1,536.7;302.8,335.1;351.6,231.0;361.4,214.8;389.0,170.9;478.4,315.6;419.9,318.8;397.1,257.0;309.3,201.7;267.1,263.5;315.8,276.5
28#387.5,361.4;407.6,307.7;337.1,324.4;283.3,327.8;276.6,438.7;266.5,536.1;310.2,324.4;364.0,223.7;374.0,206.9;409.3,154.8;484.9,321.1;427.8,317.7;411.0,247.2;327.0,196.8;286.7,253.9;384.1,290.9
29#390.5,391.2;422.8,315.9;344.0,315.9;290.2,312.3;283.0,430.6;272.3,530.9;315.3,315.9;376.2,204.8;383.4,197.6;421.0,131.3;487.3,341.0;440.7,312.3;422.8,233.5;336.8,176.1;315.3,244.2;426.4,298.0
30#390.1,408.3;444.0,322.2;357.9,307.9;304.0,304.3;293.3,426.3;289.7,523.2;332.7,307.9;390.1,196.7;393.7,185.9;424.2,115.9;490.6,329.4;461.9,286.4;444.0,225.4;339.9,168.0;314.8,228.9;354.3,246.9
31#395.8,421.2;446.7,335.0;372.3,303.7;317.4,303.7;313.5,413.4;313.5,519.2;344.9,303.7;399.7,190.1;403.6,182.2;427.1,107.8;501.6,303.7;501.6,276.3;458.5,217.5;348.8,154.8;346.8,90.2;315.5,82.3
32#394.2,442.6;446.8,354.8;380.1,302.1;331.0,298.6;327.5,404.0;327.5,505.8;355.5,302.1;408.2,179.2;411.7,175.7;431.0,100.2;503.0,267.0;527.6,253.0;460.9,203.8;359.1,161.7;360.8,107.2;373.1,231.9
33#397.0,465.0;449.1,371.1;400.4,308.5;344.8,305.1;330.9,392.0;341.3,482.4;372.6,308.5;414.4,179.9;414.4,172.9;423.0,98.2;515.2,225.1;536.0,228.6;466.5,197.3;358.7,159.0;341.3,214.7;369.2,225.1
34#399.9,489.0;442.8,399.8;417.8,317.6;364.2,306.9;332.1,367.6;353.5,446.2;389.2,314.1;414.2,174.8;417.8,167.7;419.6,90.9;553.5,203.4;535.6,203.4;474.9,182.0;357.1,167.7;335.7,114.1;376.7,90.9
35#407.9,500.8;431.1,411.8;438.8,315.2;376.9,303.6;334.4,338.4;373.1,411.8;407.9,307.4;415.6,168.2;415.6,164.3;409.8,88.9;512.3,152.7;539.3,179.8;477.5,172.1;357.6,160.5;342.1,133.4;376.9,94.7
36#416.8,503.1;441.7,415.8;445.9,307.6;383.5,299.3;337.7,320.1;383.5,399.1;416.8,307.6;416.8,170.3;416.8,166.1;406.4,85.0;508.3,116.2;537.4,153.7;475.0,162.0;354.4,166.1;341.9,178.6;375.2,137.0
37#426.9,478.5;460.9,395.3;449.6,300.7;389.1,300.7;347.4,319.6;392.8,406.6;419.3,300.7;419.3,168.3;419.3,164.5;417.4,86.9;508.2,86.9;536.6,134.2;476.1,160.7;362.6,172.1;358.8,209.9;389.1,217.5
38#451.1,448.4;481.5,372.4;454.9,311.7;394.1,307.9;360.0,326.9;397.9,421.8;424.5,311.7;428.3,175.0;428.3,167.4;428.3,95.2;532.7,85.8;534.6,125.6;485.3,167.4;367.6,178.8;367.6,220.5;397.9,220.5
39#469.0,417.8;494.2,345.2;453.2,320.0;390.1,320.0;377.5,361.0;393.2,449.4;421.6,320.0;437.4,190.6;440.6,181.1;439.0,113.2;540.0,113.2;538.4,127.4;494.2,177.9;377.5,193.7;364.8,250.5;386.9,244.2
40#476.7,406.8;500.2,329.4;456.5,329.4;392.6,329.4;382.5,383.2;382.5,470.7;426.2,329.4;439.7,208.3;443.0,198.3;451.5,129.3;453.1,238.6;540.6,154.5;493.5,201.6;382.5,208.3;359.0,282.3;379.1,275.6
41#494.2,413.8;513.4,320.8;462.1,336.8;394.7,336.8;391.5,385.0;394.7,474.8;430.0,336.8;452.4,218.1;452.4,211.7;457.3,142.7;540.7,136.3;551.9,192.4;500.6,214.9;397.9,221.3;356.2,295.1;388.3,282.3
42#505.6,452.2;505.6,354.3;462.8,345.2;398.6,348.2;401.7,375.7;417.0,461.3;429.2,348.2;450.6,229.0;453.6,216.8;462.8,149.5;551.5,174.0;554.5,226.0;505.6,226.0;395.6,232.1;352.8,305.4;392.5,302.4
