1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#NULL
15#NULL
16#NULL
17#NULL
18#NULL
19#685.3,478.2;683.4,411.7;614.9,421.4;569.9,427.3;519.0,396.0;526.8,464.5;591.4,423.4;593.4,337.3;599.2,319.7;606.1,273.7;665.8,284.5;636.4,372.5;628.6,341.2;558.1,333.4;560.1,382.3;585.5,382.3
20#690.1,501.3;667.7,434.2;609.5,436.4;551.4,434.2;499.9,393.9;506.6,452.1;580.5,436.4;573.7,337.9;576.0,326.7;587.2,273.0;658.8,302.1;654.3,335.7;609.5,335.7;533.4,337.9;549.1,373.7;571.5,373.7
21#693.0,514.9;642.8,445.6;587.9,438.5;540.1,452.8;626.1,464.8;673.9,507.8;566.4,448.0;561.6,338.2;561.6,326.2;567.6,272.5;657.1,319.0;650.0,345.3;602.2,333.4;518.6,335.8;537.7,374.0;568.8,359.7
22#680.3,513.7;632.2,444.1;574.6,436.9;516.9,441.7;485.7,422.4;502.5,496.9;553.0,446.5;550.6,338.4;553.0,326.4;556.6,274.7;656.3,333.6;639.4,357.6;593.8,336.0;504.9,333.6;516.9,374.4;543.3,374.4
23#651.0,503.7;623.2,427.3;558.4,434.2;505.1,441.2;493.5,455.1;505.1,519.9;532.9,438.8;544.5,334.6;549.1,320.7;557.2,275.5;658.0,348.5;632.5,367.0;588.5,339.2;500.5,325.3;500.5,362.4;525.9,360.1
24#623.8,489.7;616.6,408.8;557.2,430.2;500.1,425.5;502.4,465.9;504.8,532.5;531.0,432.6;545.3,330.3;547.6,320.8;560.7,272.0;657.1,361.2;626.1,375.5;585.7,339.8;504.8,318.4;497.7,358.9;538.1,380.3
25#601.4,470.2;598.8,397.2;557.1,425.9;510.2,425.9;505.0,478.0;505.0,548.3;536.2,425.9;551.9,326.9;554.5,321.7;574.0,268.3;658.7,373.8;619.6,381.6;585.7,337.3;518.0,311.3;505.0,345.1;609.2,394.6
26#591.6,446.8;612.7,395.4;561.4,425.6;516.1,425.6;513.1,486.0;510.1,561.5;540.3,425.6;564.4,326.0;567.4,319.9;594.6,265.6;661.0,386.4;624.8,389.4;597.6,344.1;537.2,307.9;525.2,274.6;618.8,389.4
27#648.6,428.9;590.6,459.4;566.2,413.6;523.5,419.7;517.4,489.9;511.3,566.1;544.9,419.7;578.4,319.0;581.5,312.9;612.0,261.1;666.9,398.3;633.3,392.2;615.0,340.4;551.0,297.7;526.6,258.0;575.4,251.9
28#608.4,450.1;620.8,394.0;580.3,418.9;530.5,418.9;521.1,487.4;514.9,565.3;558.5,418.9;592.8,316.1;595.9,313.0;627.1,256.9;673.8,409.6;642.6,390.9;623.9,334.8;561.6,294.3;536.7,250.7;578.8,233.6
29#609.6,470.8;648.8,398.5;588.5,419.6;540.3,416.6;534.2,482.9;528.2,558.2;564.4,416.6;603.5,314.1;606.6,308.1;633.7,250.8;684.9,428.6;666.8,389.5;639.7,332.2;564.4,290.0;556.8,243.3;562.9,237.3
30#619.6,484.7;658.5,416.5;596.9,426.3;551.4,426.3;544.9,475.0;541.7,556.1;574.1,426.3;613.1,309.4;616.3,306.2;639.1,247.7;700.7,406.8;694.3,384.1;652.1,332.1;577.4,289.9;570.9,231.5;592.0,187.7
31#620.1,504.5;663.8,430.7;603.3,424.0;563.0,424.0;556.3,471.0;559.7,548.2;583.2,424.0;623.5,309.8;623.5,306.5;647.0,249.4;707.4,373.6;710.8,370.2;660.4,326.6;586.5,286.3;583.2,229.2;591.6,190.6
32#622.8,520.7;659.2,447.8;622.8,414.7;573.1,414.7;563.2,464.4;569.8,540.6;599.6,414.7;629.4,305.4;629.4,305.4;646.0,245.8;695.7,355.1;722.2,351.8;669.2,318.7;589.7,292.2;579.7,239.2;594.6,201.1
33#626.3,539.8;659.6,458.1;641.4,418.7;590.0,415.7;568.8,442.9;586.9,524.7;614.2,421.7;629.3,306.7;629.3,300.6;641.4,243.1;723.2,321.8;723.2,337.0;671.7,312.8;590.0,294.6;577.9,249.2;606.6,229.5
34#638.0,553.7;653.6,482.2;653.6,426.3;603.8,417.0;566.5,432.5;600.7,504.0;628.7,423.2;628.7,305.1;631.8,298.9;634.9,239.9;687.7,330.0;721.9,308.2;669.1,308.2;591.4,298.9;579.0,270.9;603.8,239.9
35#649.9,570.1;659.7,495.2;659.7,423.6;610.8,423.6;565.2,423.6;617.3,488.7;636.9,423.6;633.6,306.4;636.9,303.1;636.9,241.3;695.5,257.6;724.8,296.6;675.9,306.4;591.3,306.4;584.8,290.1;607.6,260.8
36#652.8,533.5;672.1,469.2;665.7,421.0;617.5,417.8;575.7,421.0;623.9,491.7;640.0,421.0;640.0,311.7;640.0,305.3;640.0,244.2;705.9,239.4;726.8,282.8;681.8,308.5;598.2,318.1;595.0,314.9;611.0,289.2
37#662.5,505.2;683.3,445.7;671.4,430.9;617.9,430.9;585.2,422.0;623.8,496.3;644.6,430.9;647.6,314.9;647.6,309.0;650.6,249.5;713.0,222.8;727.9,270.4;689.2,312.0;606.0,314.9;603.0,329.8;614.9,306.0
38#681.8,473.8;700.2,415.6;672.7,437.1;620.6,434.0;599.2,427.9;623.7,507.5;645.1,434.0;657.3,320.7;657.3,311.5;660.4,256.4;724.7,225.7;724.7,274.7;697.2,317.6;611.4,326.8;608.3,357.4;632.8,354.4
39#681.2,475.7;701.8,408.0;675.4,434.5;625.3,431.5;610.6,472.7;619.4,531.6;651.8,431.5;660.6,325.5;660.6,319.7;672.4,266.7;728.3,240.2;725.4,290.2;701.8,325.5;616.5,331.4;607.7,372.6;634.2,369.7
40#701.7,475.5;713.3,411.5;681.3,443.5;623.0,446.4;614.3,484.3;620.1,536.7;652.2,443.5;663.8,335.8;663.8,329.9;675.5,274.6;733.7,263.0;739.5,300.8;704.6,332.8;620.1,335.8;602.7,388.2;628.9,379.4
