1#997.7,770.6;968.3,682.3;997.7,583.0;964.6,597.7;964.6,689.7;994.0,774.3;983.0,586.7;938.8,468.9;938.8,476.3;913.1,417.4;914.9,378.8;929.6,386.1;972.0,457.9;902.0,480.0;854.2,450.5;843.2,399.0
2#983.9,765.6;957.7,683.0;980.2,581.7;938.9,589.2;946.4,686.8;980.2,776.9;961.4,581.7;935.1,465.3;935.1,465.3;908.9,409.0;901.4,390.2;929.5,377.1;968.9,454.0;897.6,472.8;845.0,450.3;841.3,405.2
3#948.9,746.0;936.6,663.8;973.6,569.3;928.4,581.6;916.1,663.8;948.9,746.0;948.9,577.5;924.3,454.2;924.3,450.1;903.7,396.7;895.5,351.5;924.3,400.8;957.1,441.9;887.3,462.4;842.1,454.2;842.1,400.8
4#924.0,709.9;909.9,631.9;955.9,561.0;909.9,564.5;881.5,631.9;920.5,720.5;931.1,561.0;909.9,444.0;909.9,436.9;888.6,383.8;938.2,479.5;966.6,479.5;941.8,429.8;874.4,458.2;839.0,447.6;839.0,405.0
5#890.6,628.7;896.9,565.6;934.8,549.8;893.7,549.8;846.4,590.8;884.3,679.2;912.7,549.8;896.9,433.0;893.7,423.6;865.3,366.8;893.7,357.3;934.8,464.6;925.3,417.3;865.3,445.7;833.8,448.8;836.9,401.5
6#883.0,624.2;883.0,550.2;917.1,524.6;871.6,524.6;811.9,550.2;846.0,635.5;894.3,527.5;874.4,413.7;871.6,405.2;843.1,354.0;891.5,436.5;931.3,445.0;902.9,399.5;831.8,425.1;828.9,456.4;828.9,402.4
7#879.6,619.0;879.6,543.7;900.6,504.6;846.5,507.6;786.3,498.6;813.4,582.9;876.6,504.6;843.5,393.2;840.4,390.2;822.4,330.0;879.6,435.4;903.7,414.3;879.6,378.2;807.3,408.3;807.3,450.4;837.4,450.4
8#877.3,617.1;874.4,541.5;877.3,477.4;824.9,477.4;763.8,454.2;787.1,532.7;851.1,480.3;816.2,375.6;819.1,369.8;791.4,315.9;891.8,407.6;894.7,398.9;859.8,352.3;778.3,393.0;766.7,454.2;886.0,395.9
9#881.1,616.0;868.7,541.3;856.2,466.6;806.4,466.6;737.9,413.6;766.0,497.7;831.3,466.6;787.7,357.6;787.7,351.4;761.3,290.7;884.3,407.4;856.2,388.7;834.4,332.7;747.3,373.2;734.8,407.4;762.8,432.3
10#881.6,603.9;855.2,521.5;835.4,445.6;779.4,445.6;720.0,402.7;743.1,475.3;805.8,445.6;762.9,333.4;762.9,333.4;736.5,274.1;822.2,293.8;871.7,307.0;809.1,316.9;713.4,343.3;683.7,359.8;729.9,343.3
11#862.7,590.6;841.5,505.9;816.8,424.6;763.9,428.2;700.3,399.9;735.6,477.6;788.6,428.2;749.7,322.2;753.3,322.2;710.9,258.7;781.5,251.6;831.0,276.3;785.0,301.0;714.4,339.9;707.4,272.8;703.8,272.8
12#828.4,559.5;820.8,476.5;793.3,426.0;737.7,431.4;683.0,410.9;720.6,485.8;764.5,431.4;729.8,319.4;732.5,317.3;698.6,255.1;764.0,244.9;803.9,271.8;766.0,300.7;693.6,332.6;682.8,281.6;687.0,271.2
13#794.1,528.3;800.1,447.1;769.8,427.3;711.4,434.6;665.8,421.8;705.6,494.0;740.4,434.6;709.9,316.6;711.7,312.4;686.4,251.5;746.5,238.3;776.9,267.3;746.9,300.4;672.9,325.4;658.2,290.4;670.3,269.7
14#759.8,497.2;779.4,417.8;746.2,428.7;685.2,437.8;648.5,432.8;690.6,502.1;716.3,437.8;690.0,313.7;690.9,307.5;674.1,248.0;729.1,231.6;749.8,262.8;727.9,300.1;652.1,318.1;633.7,299.3;653.5,268.2
15#725.5,466.0;758.7,388.4;722.7,430.0;659.0,441.0;631.3,443.8;675.6,510.3;692.2,441.0;670.1,310.9;670.1,302.6;661.8,244.4;711.6,225.0;722.7,258.3;708.8,299.8;631.3,310.9;609.1,308.1;636.8,266.6
16#707.1,457.0;738.6,379.3;699.8,427.8;631.8,435.1;607.5,442.4;636.7,512.8;665.8,435.1;648.8,313.7;648.8,308.9;648.8,253.0;707.1,250.6;716.8,291.9;692.5,308.9;607.5,316.2;609.9,359.9;634.2,330.7
