1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#777.0,681.6;743.5,597.9;773.7,507.4;716.7,504.0;606.1,494.0;669.8,587.8;746.8,507.4;706.6,383.4;699.9,369.9;674.8,307.9;740.1,426.9;783.7,430.3;753.5,363.2;659.7,400.1;616.1,440.3;669.8,426.9
9#775.8,675.5;747.4,590.4;747.4,480.5;701.3,487.6;754.5,601.1;779.3,679.1;722.6,480.5;676.5,363.6;673.0,352.9;646.4,287.4;701.3,409.6;743.9,406.1;719.0,345.8;626.9,377.7;584.3,466.4;634.0,537.3
10#763.4,676.9;737.0,578.6;725.6,472.7;672.7,472.7;574.4,419.7;608.4,514.3;699.1,472.7;653.8,344.1;650.0,336.6;629.2,259.0;680.2,370.6;718.0,389.5;699.1,329.0;604.6,355.5;532.8,347.9;547.9,306.3
11#731.6,656.4;709.9,552.2;705.6,461.1;640.5,461.1;558.1,430.8;601.5,517.5;675.2,461.1;631.8,326.7;636.2,326.7;601.5,244.3;631.8,218.2;692.5,252.9;675.2,313.7;584.1,339.7;510.4,309.3;523.4,244.3
12#677.3,633.0;690.9,534.1;676.0,465.2;614.7,465.2;533.6,430.0;568.9,517.2;647.0,464.0;613.7,333.2;617.0,330.3;588.5,251.7;624.5,230.3;676.0,268.4;657.8,321.6;566.5,344.1;498.0,317.5;515.5,259.6
13#623.0,609.6;671.8,515.9;646.5,469.4;588.9,469.4;509.0,429.2;536.3,517.0;618.7,466.9;595.6,339.8;597.7,334.0;575.4,259.0;617.3,242.5;659.4,283.9;640.4,329.5;548.8,348.5;485.5,325.7;507.5,274.9
14#568.7,586.1;652.8,497.8;616.9,473.5;563.2,473.5;484.5,428.3;503.6,516.7;590.5,469.7;577.5,346.3;578.5,337.6;562.4,266.4;610.0,254.6;642.9,299.5;622.9,337.3;531.2,352.8;473.1,333.9;499.6,290.1
15#514.4,562.7;633.8,479.7;587.3,477.6;537.4,477.6;459.9,427.5;471.0,516.4;562.2,472.6;559.4,352.9;559.2,341.2;549.3,273.8;602.7,266.7;626.3,315.0;605.5,345.2;513.6,357.2;460.7,342.1;491.7,305.4
16#460.1,539.3;614.7,461.5;557.8,481.8;511.6,481.8;435.4,426.7;438.4,516.2;534.0,475.5;541.3,359.4;540.0,344.9;536.2,281.1;595.5,278.9;609.8,330.5;588.1,353.1;495.9,361.6;448.2,350.3;483.7,320.7
17#405.8,515.9;595.7,443.4;528.2,485.9;485.8,485.9;410.8,425.9;405.8,515.9;505.7,478.4;523.2,366.0;520.7,348.5;523.2,288.5;588.2,291.0;593.2,346.0;570.7,361.0;478.3,366.0;435.8,358.5;475.8,336.0
18#556.9,545.7;574.4,465.5;514.3,485.6;454.2,485.6;381.6,423.0;376.6,505.6;484.3,485.6;501.8,367.9;499.3,347.8;506.8,290.3;589.4,310.3;589.4,365.4;551.9,365.4;451.7,365.4;414.2,362.9;449.2,347.8
19#551.7,588.1;551.7,487.9;497.7,487.9;423.2,487.9;356.3,428.8;361.5,526.4;461.7,485.3;477.1,367.1;482.3,349.1;493.8,291.2;585.1,336.2;577.4,385.1;526.0,372.2;430.9,364.5;389.7,356.8;364.0,490.4
20#546.1,591.0;535.0,490.8;473.7,488.0;409.7,476.9;337.4,454.6;359.6,552.0;443.1,485.2;462.6,365.6;465.4,346.1;480.7,286.2;585.1,360.0;576.7,396.2;512.7,371.1;412.5,357.2;376.3,348.9;418.1,337.7
21#536.0,586.4;520.9,483.8;463.6,480.8;394.2,477.7;324.8,483.8;358.0,592.4;427.4,480.8;451.5,360.1;454.5,341.9;471.1,274.0;581.3,381.2;560.2,408.3;505.8,369.1;400.2,354.0;364.0,338.9;409.3,332.9
22#514.6,572.6;517.5,474.3;448.1,477.2;384.5,474.3;326.7,500.3;358.5,610.2;416.3,477.2;445.2,355.8;453.9,335.6;475.6,279.2;569.5,399.2;537.7,419.4;500.1,370.3;396.1,338.5;393.2,399.2;425.0,402.1
23#487.7,546.8;513.8,456.9;435.6,474.3;374.7,465.6;334.1,517.8;357.3,627.9;409.5,465.6;453.0,352.6;458.8,332.3;483.4,275.8;568.9,419.2;531.2,427.9;505.1,372.9;406.6,329.4;383.4,381.6;409.5,384.5
24#477.3,510.9;504.6,432.5;429.6,466.6;371.6,466.6;344.3,545.0;354.6,640.5;402.3,466.6;460.3,347.3;467.1,330.2;496.1,273.9;569.4,432.5;531.9,439.3;511.4,371.1;419.4,326.8;381.9,388.2;491.0,429.1
25#475.8,488.6;461.2,455.7;439.3,455.7;380.8,452.0;358.9,558.0;348.0,656.6;410.0,455.7;472.1,342.5;483.1,327.9;506.8,260.3;570.7,444.7;530.6,437.4;519.6,368.0;428.3,320.6;395.4,382.7;442.9,411.9
26#346.6,655.3;365.3,569.0;432.9,452.7;387.8,445.2;369.1,557.7;339.1,659.0;417.9,452.7;485.4,336.4;489.1,321.3;521.0,255.7;575.4,460.2;541.7,426.4;530.4,362.6;440.4,310.1;399.1,377.6;440.4,407.6
27#485.3,511.5;541.6,437.7;453.7,444.7;397.4,437.7;372.8,557.2;358.7,662.7;425.5,441.2;495.9,325.2;499.4,314.6;529.2,239.0;583.7,455.2;580.2,420.1;545.1,349.8;457.2,293.5;444.9,239.0;481.8,402.5
28#473.9,543.0;538.4,464.7;464.7,437.1;404.8,432.5;386.4,547.6;372.6,653.6;437.0,437.1;510.7,317.4;510.7,308.1;538.4,239.1;602.8,400.3;612.0,391.0;556.8,340.4;469.3,294.3;469.3,202.2;492.3,151.6
29#477.1,554.5;544.1,469.6;477.1,438.3;419.0,429.4;401.2,545.5;383.3,648.3;445.8,438.3;517.3,313.3;517.3,304.3;553.0,237.3;651.3,357.9;642.4,357.9;562.0,335.6;472.6,286.5;468.2,210.5;481.6,152.5
30#473.9,580.8;538.5,494.7;504.0,434.4;439.4,430.1;405.0,542.0;396.4,641.1;469.6,434.4;529.8,305.3;529.8,301.0;555.7,232.1;641.8,305.3;663.3,318.2;577.2,326.8;478.2,288.1;452.4,219.2;482.5,163.2
31#473.7,607.3;529.0,516.4;521.1,453.3;454.0,437.5;410.5,532.2;410.5,634.9;485.6,449.3;536.9,299.2;536.9,303.2;552.7,224.2;608.0,247.9;663.3,279.5;592.2,311.1;485.6,295.3;438.2,236.0;475.7,194.6
32#475.9,629.0;525.8,545.9;542.4,446.2;484.2,429.5;413.5,504.3;430.2,612.4;513.3,437.8;538.2,296.5;538.2,296.5;550.7,221.7;617.2,213.4;658.8,246.7;596.4,296.5;488.4,300.7;438.5,255.0;480.0,209.2
33#490.9,635.8;528.7,547.7;566.5,451.1;507.7,430.2;419.6,472.1;453.2,572.9;537.1,438.5;545.5,295.8;545.5,295.8;537.1,220.3;593.8,184.6;642.0,228.7;595.9,291.6;499.3,308.4;444.8,283.2;482.5,232.9
34#512.8,639.5;552.4,545.3;577.2,456.2;522.7,441.3;438.5,441.3;473.2,540.4;552.4,446.3;547.5,297.7;547.5,297.7;532.6,223.4;616.8,149.1;631.7,223.4;597.0,282.8;497.9,307.6;448.4,297.7;483.1,253.1
35#534.9,631.0;578.4,553.8;602.5,452.3;534.9,437.8;457.6,423.3;496.3,515.1;568.7,447.5;549.4,302.6;549.4,297.8;530.1,225.3;631.5,152.9;626.7,220.5;597.7,283.3;496.3,317.1;457.6,317.1;481.8,283.3
36#564.6,598.6;606.2,529.2;610.9,445.9;546.1,441.3;472.0,413.5;513.7,501.4;573.8,445.9;555.3,307.0;555.3,297.8;532.2,228.3;643.3,158.9;629.4,228.3;606.2,288.5;499.8,320.9;481.3,316.3;476.6,302.4
37#591.2,559.7;623.3,491.3;615.3,447.1;547.0,447.1;490.7,419.0;538.9,507.4;579.1,447.1;563.0,306.4;563.0,302.4;543.0,234.1;643.4,173.8;635.4,226.0;615.3,294.4;506.8,322.5;478.6,362.7;474.6,338.6
38#616.0,533.6;643.2,441.9;622.8,448.7;551.5,448.7;510.8,445.3;568.5,530.2;585.5,448.7;571.9,309.5;568.5,306.1;551.5,238.1;650.0,194.0;643.2,238.1;626.2,299.3;514.1,326.4;493.8,380.8;490.4,360.4
39#635.3,512.9;638.8,422.4;635.3,450.2;569.2,453.7;530.9,467.6;572.7,561.6;604.0,450.2;572.7,321.5;572.7,314.5;562.2,244.9;652.7,210.1;663.2,258.8;631.8,307.5;520.5,335.4;492.6,394.5;485.7,370.2
40#646.5,510.7;630.1,428.7;639.9,454.9;574.3,458.2;541.5,471.3;574.3,579.6;600.5,454.9;577.6,327.0;577.6,323.8;564.5,254.9;651.4,236.9;669.4,291.0;633.3,313.9;525.1,340.2;495.6,415.6;479.2,402.5
41#661.0,515.2;641.9,559.9;645.1,460.9;578.0,464.1;552.5,476.9;590.8,582.2;610.0,460.9;584.4,339.5;578.0,326.8;565.2,259.7;657.9,266.1;677.0,310.8;638.7,326.8;523.7,349.1;507.8,384.3;495.0,429.0
