1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#774.0,740.9;750.1,658.8;722.7,576.6;667.9,566.3;640.5,542.3;613.1,607.4;698.7,569.7;657.6,436.2;654.2,425.9;621.7,359.2;780.9,477.3;774.0,467.0;709.0,422.5;602.8,449.9;609.7,491.0;640.5,515.0
14#767.8,726.1;726.1,642.6;718.5,547.7;657.7,555.3;555.2,486.9;600.8,555.3;691.9,551.5;642.5,414.8;638.7,407.2;606.5,333.2;729.9,411.0;752.6,426.2;695.7,399.6;593.2,422.4;540.0,441.4;566.6,430.0
15#754.7,714.1;716.1,630.3;708.7,536.4;648.4,542.9;553.5,482.0;596.2,548.6;682.4,540.0;636.7,402.3;633.2,393.8;603.4,320.6;722.9,406.9;744.5,418.2;689.8,388.8;587.1,408.5;536.6,430.8;563.2,412.1
16#741.5,702.1;706.0,618.0;698.9,525.2;639.2,530.6;551.8,477.1;591.6,541.8;672.8,528.5;631.0,389.7;627.6,380.4;600.3,308.0;715.9,402.8;736.4,410.2;684.0,378.0;581.0,394.7;533.2,420.1;559.9,394.2
17#728.4,690.0;696.0,605.7;689.1,513.9;629.9,518.2;550.1,472.3;587.0,535.1;663.3,517.0;625.2,377.2;622.1,367.0;597.2,295.3;708.9,398.7;728.2,402.1;678.1,367.2;574.9,380.8;529.7,409.5;556.5,376.4
18#715.3,678.0;686.0,593.4;679.3,502.6;620.7,505.8;548.4,467.4;582.4,528.4;653.8,505.5;619.4,364.6;616.5,353.6;594.1,282.7;701.9,394.6;720.1,394.1;672.3,356.4;568.8,367.0;526.3,398.8;553.2,358.5
19#702.1,666.0;676.0,581.1;669.5,491.3;611.4,493.5;546.6,462.5;577.7,521.6;644.2,494.0;613.7,352.1;611.0,340.2;591.0,270.1;694.9,390.5;712.0,386.1;666.4,345.7;562.6,353.1;522.9,388.2;549.8,340.6
20#689.0,654.0;665.9,568.8;659.7,480.1;602.1,481.1;544.9,457.6;573.1,514.9;634.7,482.5;607.9,339.5;605.5,326.8;587.9,257.5;687.9,386.4;703.9,378.1;660.5,334.9;556.5,339.2;519.5,377.5;546.4,322.7
21#675.9,642.0;655.9,556.5;649.9,468.8;592.9,468.7;543.2,452.8;568.5,508.2;625.2,471.0;602.1,327.0;599.9,313.4;584.8,244.9;680.9,382.3;695.7,370.0;654.7,324.1;550.4,325.4;516.1,366.9;543.1,304.8
22#662.7,630.0;645.9,544.2;640.1,457.5;583.6,456.4;541.5,447.9;563.9,501.4;615.6,459.5;596.4,314.4;594.4,300.0;581.7,232.3;673.9,378.2;687.6,362.0;648.8,313.3;544.3,311.5;512.7,356.2;539.7,286.9
23#649.6,617.9;635.8,531.8;630.3,446.3;574.4,444.0;539.8,443.0;559.3,494.7;606.1,448.1;590.6,301.9;588.8,286.6;578.5,219.6;666.8,374.2;679.5,354.0;643.0,302.5;538.2,297.7;509.2,345.6;536.4,269.1
24#636.4,605.9;625.8,519.5;620.5,435.0;565.1,431.6;538.1,438.1;554.7,487.9;596.5,436.6;584.9,289.3;583.3,273.2;575.4,207.0;659.8,370.1;671.4,346.0;637.1,291.7;532.1,283.8;505.8,334.9;533.0,251.2
25#623.3,593.9;615.8,507.2;610.7,423.7;555.9,419.3;536.4,433.3;550.1,481.2;587.0,425.1;579.1,276.8;577.7,259.8;572.3,194.4;652.8,366.0;663.2,337.9;631.3,280.9;526.0,270.0;502.4,324.3;529.7,233.3
26#610.2,581.9;605.8,494.9;600.9,412.4;546.6,406.9;534.7,428.4;545.5,474.5;577.5,413.6;573.3,264.2;572.2,246.4;569.2,181.8;645.8,361.9;655.1,329.9;625.4,270.1;519.9,256.1;499.0,313.6;526.3,215.4
27#597.0,569.9;595.7,482.6;591.1,401.2;537.3,394.6;532.9,423.5;540.8,467.7;567.9,402.1;567.6,251.7;566.7,233.0;566.1,169.2;638.8,357.8;647.0,321.9;619.5,259.4;513.7,242.2;495.6,303.0;522.9,197.5
28#583.9,557.8;585.7,470.3;581.3,389.9;528.1,382.2;531.2,418.6;536.2,461.0;558.4,390.6;561.8,239.1;561.1,219.6;563.0,156.5;631.8,353.7;638.9,313.9;613.7,248.6;507.6,228.4;492.1,292.3;519.6,179.7
