1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#701.2,810.9;679.8,753.0;685.9,710.3;640.2,713.4;646.3,783.5;615.8,762.2;664.6,710.3;643.2,576.2;643.2,567.0;634.1,500.0;661.5,637.2;692.0,618.9;689.0,567.0;597.5,588.4;615.8,640.2;631.0,676.8
10#697.4,804.6;674.4,729.2;667.9,676.8;612.1,680.1;585.9,667.0;579.4,706.3;641.6,680.1;625.3,552.3;625.3,545.7;607.2,472.0;671.1,585.0;700.6,578.5;671.1,535.9;576.1,568.7;599.0,614.5;648.2,601.4
11#697.5,800.1;667.6,720.3;651.0,650.6;591.1,653.9;654.3,730.3;674.2,736.9;621.0,653.9;607.8,527.6;604.4,521.0;582.8,452.9;707.4,567.5;700.8,557.5;654.3,514.4;561.2,537.6;541.3,590.8;571.2,604.1
12#685.4,781.2;648.0,699.7;637.9,625.0;580.1,628.4;651.4,716.7;685.4,767.6;610.7,628.4;586.9,506.2;583.5,492.6;575.1,446.8;705.7,580.9;695.6,523.2;637.9,496.0;536.0,506.2;498.7,523.2;553.0,591.1
13#664.5,773.5;624.0,689.0;630.7,591.1;580.0,594.5;630.7,692.4;661.1,773.5;603.7,591.1;573.3,483.0;573.3,476.3;554.7,413.8;630.7,445.9;671.2,479.7;617.2,472.9;536.1,496.5;482.1,472.9;536.1,429.0
14#643.7,749.1;610.7,666.2;613.1,589.3;561.8,592.7;591.0,675.0;630.6,751.7;586.6,590.1;561.2,475.5;562.0,468.7;553.4,406.8;607.8,460.9;644.3,489.8;604.7,469.6;524.4,484.7;479.5,452.0;526.2,411.1
15#623.0,724.6;597.4,643.5;595.5,587.5;543.5,590.9;551.2,657.5;600.0,730.0;569.6,589.2;549.0,467.9;550.8,461.1;552.1,399.7;584.8,475.9;617.5,499.9;592.2,466.4;512.8,472.9;476.9,431.0;516.3,393.1
16#602.2,700.2;584.1,620.8;577.8,585.6;525.3,589.1;511.5,640.1;569.5,708.2;552.5,588.2;536.9,460.4;539.5,453.4;550.8,392.7;561.9,490.9;590.6,510.0;579.7,463.1;501.1,461.1;474.3,410.1;506.4,375.2
17#581.4,675.8;570.8,598.0;560.2,583.8;507.1,587.3;471.7,622.7;538.9,686.4;535.4,587.3;524.8,452.9;528.3,445.8;549.5,385.6;538.9,505.9;563.7,520.1;567.2,459.9;489.4,449.3;471.7,389.2;496.5,357.3
18#562.8,652.7;559.5,589.7;539.6,583.1;489.8,586.4;473.2,639.5;532.9,709.1;513.0,586.4;519.7,460.4;523.0,453.7;549.5,394.0;542.9,453.7;569.4,457.1;559.5,467.0;483.2,447.1;469.9,394.0;509.7,377.5
19#499.4,697.9;522.3,619.2;522.3,593.0;473.1,593.0;473.1,655.3;519.0,730.7;499.4,593.0;519.0,465.1;522.3,465.1;548.5,402.8;509.2,514.3;542.0,517.6;558.4,474.9;483.0,458.5;469.8,422.5;514.1,391.3
20#466.4,669.1;452.0,663.3;509.6,608.6;449.1,602.8;434.7,646.0;501.0,735.3;477.9,611.4;512.5,473.2;515.4,473.2;545.6,422.8;521.1,579.8;535.5,536.5;552.8,487.6;472.2,450.1;443.3,513.5;434.7,585.5
21#471.3,716.7;439.4,652.9;497.9,607.7;439.4,599.8;412.8,637.0;471.3,719.4;468.7,607.7;503.2,488.1;508.5,480.2;533.8,436.3;516.5,591.8;521.8,549.3;545.8,498.8;458.0,474.8;442.1,525.3;423.5,591.8
22#471.7,712.2;457.4,643.5;488.6,612.4;430.3,601.9;406.5,611.9;445.5,685.2;458.6,610.7;496.5,495.1;500.9,485.5;525.2,438.3;515.0,584.4;525.5,554.3;539.7,506.6;451.5,481.9;435.6,531.3;432.0,579.1
23#472.2,707.8;475.5,634.0;479.2,617.2;421.3,604.1;400.2,586.7;419.7,650.9;448.6,613.7;489.7,502.2;493.3,490.7;516.6,440.3;513.4,576.9;529.2,559.2;533.7,514.5;445.0,488.9;429.2,537.3;440.5,566.4
