1#791.3,610.6;809.1,536.0;887.3,553.7;858.9,560.9;851.8,649.7;883.8,727.9;869.5,557.3;834.0,461.3;837.6,461.3;826.9,411.6;809.1,376.0;841.1,415.1;862.4,454.2;805.6,464.9;752.2,461.3;734.5,425.8
2#791.3,610.7;809.1,536.0;887.4,553.8;858.9,560.9;851.8,649.8;883.8,728.0;869.6,557.3;834.0,461.3;837.6,461.3;826.9,411.5;809.1,375.9;841.1,415.0;862.5,454.2;805.6,464.8;752.2,461.3;734.4,425.7
3#788.1,607.6;802.2,530.0;865.7,551.2;844.5,558.2;848.0,646.4;879.8,724.0;851.6,554.7;826.9,455.9;826.9,455.9;826.9,399.5;809.2,374.8;844.5,410.1;858.6,452.4;795.1,459.5;749.3,459.5;731.6,427.7
4#868.8,716.4;840.1,633.9;858.0,551.4;825.7,555.0;832.9,641.1;868.8,716.4;840.1,555.0;818.6,443.8;822.1,447.4;818.6,393.6;811.4,375.7;843.7,404.4;854.4,433.1;789.9,451.0;739.7,461.8;728.9,425.9
5#851.3,697.9;821.8,617.0;841.9,538.9;807.9,542.8;803.6,619.2;842.9,692.3;823.7,542.4;801.1,432.4;803.5,435.4;799.0,381.4;800.7,367.7;835.6,397.7;837.0,422.1;770.1,440.2;720.3,453.9;717.4,425.4
6#833.9,679.4;803.5,600.1;825.7,526.4;790.1,530.6;774.3,597.4;817.0,668.2;807.2,529.7;783.5,420.9;784.9,423.3;779.3,369.2;790.0,359.6;827.4,390.9;819.6,411.0;750.4,429.5;701.0,446.0;705.9,424.9
7#816.4,661.0;785.2,583.2;809.6,513.8;772.4,518.5;745.1,575.5;791.1,644.1;790.8,517.0;766.0,409.5;766.4,411.3;759.7,357.0;779.2,351.6;819.3,384.2;802.1,400.0;730.6,418.7;681.6,438.2;694.5,424.5
8#798.9,642.5;766.9,566.3;793.5,501.3;754.6,506.3;715.8,553.7;765.2,620.0;774.4,504.4;748.5,398.1;747.8,399.3;740.1,344.8;768.5,343.6;811.2,377.5;784.7,388.9;710.8,407.9;662.2,430.3;683.0,424.0
9#781.5,624.0;748.6,549.4;777.3,488.8;736.8,494.1;686.5,531.9;739.3,595.9;757.9,491.8;730.9,386.6;729.2,387.2;720.4,332.6;757.8,335.5;803.0,370.7;767.3,377.9;691.1,397.2;642.9,422.4;671.5,423.5
10#764.0,605.5;730.3,532.5;761.2,476.3;719.0,481.9;657.2,510.0;713.4,571.8;741.5,479.1;713.4,375.2;710.6,375.2;700.8,320.4;747.1,327.5;794.9,364.0;749.9,366.8;671.3,386.4;623.5,414.5;660.0,423.0
11#738.9,597.0;715.9,525.1;738.6,475.4;695.7,479.3;638.8,502.7;687.9,563.5;718.3,477.2;694.8,374.2;692.3,373.2;683.7,319.6;733.0,327.7;775.3,364.1;731.4,366.3;652.8,383.6;611.2,412.7;646.5,419.8
12#713.8,588.4;701.5,517.8;716.0,474.5;672.3,476.7;620.4,495.5;662.3,555.3;695.0,475.4;676.2,373.3;674.0,371.1;666.6,318.7;718.9,327.9;755.7,364.2;712.9,365.9;634.4,380.7;598.9,410.8;633.0,416.6
13#688.8,579.9;687.1,510.4;693.4,473.6;649.0,474.1;601.9,488.2;636.8,547.0;671.8,473.5;657.6,372.3;655.8,369.1;649.6,317.9;704.8,328.2;736.1,364.2;694.3,365.4;615.9,377.9;586.6,409.0;619.4,413.3
14#663.7,571.4;672.7,503.0;670.8,472.7;625.7,471.5;583.5,481.0;611.3,538.8;648.6,471.6;639.0,371.4;637.5,367.1;632.5,317.1;690.7,328.4;716.5,364.3;675.8,365.0;597.4,375.0;574.3,407.1;605.9,410.1
15#638.6,562.8;658.4,495.7;648.2,471.8;602.3,468.8;565.1,473.7;585.7,530.5;625.3,469.8;620.5,370.4;619.2,365.0;615.4,316.2;676.7,328.6;696.8,364.4;657.3,364.5;579.0,372.2;562.1,405.3;592.4,406.9
16#613.5,554.3;644.0,488.3;625.6,470.9;579.0,466.2;546.7,466.5;560.2,522.3;602.1,467.9;601.9,369.5;600.9,363.0;598.3,315.4;662.6,328.8;677.2,364.5;638.8,364.1;560.5,369.3;549.8,403.4;578.9,403.7
17#588.5,545.8;629.6,480.9;603.0,470.0;555.7,463.6;528.2,459.2;534.7,514.0;578.9,466.0;583.3,368.5;582.7,361.0;581.3,314.6;648.5,329.1;657.6,364.5;620.2,363.6;542.0,366.5;537.5,401.6;565.3,400.4
