1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#NULL
15#NULL
16#NULL
17#NULL
18#526.0,658.5;507.7,578.1;383.5,468.5;449.3,479.5;303.2,432.0;310.5,519.7;423.7,464.9;416.4,311.5;409.1,300.5;396.3,229.3;358.0,300.5;328.7,366.3;361.6,304.2;463.9,311.5;463.9,307.8;442.0,253.0
19#300.7,506.2;280.5,415.4;361.2,445.7;421.8,462.5;478.9,523.1;455.4,623.9;391.5,455.8;405.0,301.1;405.0,317.9;294.0,341.4;334.3,445.7;324.2,381.8;354.5,287.6;337.7,422.2;462.1,324.6;438.6,257.4
20#310.9,532.4;324.5,441.9;353.1,460.1;370.3,464.6;420.0,488.5;392.7,583.8;362.7,463.0;383.3,321.1;384.3,328.5;309.8,322.3;370.1,401.1;362.4,375.9;364.2,311.2;324.9,401.9;404.9,350.4;404.7,300.7
21#321.0,558.6;368.5,468.3;345.1,474.6;318.8,466.6;361.1,453.9;330.0,543.6;333.9,470.2;361.6,341.2;363.5,339.0;325.6,303.3;405.8,356.4;400.5,370.0;373.8,334.7;312.1,381.5;347.8,376.1;370.9,344.0
22#331.2,584.8;412.5,494.8;337.0,489.0;267.3,468.7;302.2,419.3;267.3,503.5;305.1,477.4;339.9,361.2;342.8,349.6;341.4,284.2;441.6,311.8;438.7,364.1;383.5,358.3;299.3,361.2;290.6,401.9;337.0,387.3
23#323.2,607.9;382.8,504.3;332.6,473.0;276.2,444.7;301.2,413.4;276.2,504.3;298.1,463.6;326.3,360.1;326.3,350.6;334.2,286.3;442.4,335.0;426.7,378.9;367.1,360.1;285.6,353.8;301.2,378.9;326.3,378.9
24#329.4,632.6;355.4,525.0;322.9,495.7;267.4,476.1;274.0,404.4;254.4,521.7;287.0,482.6;313.1,358.8;316.3,352.2;318.0,285.4;443.5,349.0;414.1,394.6;365.2,362.0;267.4,352.2;251.1,329.4;252.8,285.4
25#329.4,643.5;354.2,544.3;322.3,491.2;247.9,473.5;244.4,477.0;258.6,555.0;290.5,487.6;308.2,363.6;308.2,353.0;313.5,287.5;446.3,367.2;410.9,406.1;361.3,367.2;255.0,353.0;256.8,294.5;283.4,402.6
26#321.4,639.2;356.3,527.5;310.9,475.2;248.1,471.7;234.1,492.6;258.5,572.9;279.5,471.7;300.4,363.5;303.9,356.5;309.1,288.4;450.5,387.9;408.6,419.3;356.3,370.5;251.5,353.0;258.5,394.9;405.1,405.4
27#312.8,622.7;363.7,517.0;308.9,481.8;242.4,481.8;238.4,493.5;261.9,599.2;273.7,481.8;301.1,364.3;301.1,356.5;308.9,286.1;457.6,407.4;406.8,427.0;355.9,376.1;250.2,348.7;207.1,301.7;218.9,235.2
28#342.9,594.9;376.1,506.4;309.7,469.6;243.4,465.9;247.1,513.8;269.2,617.0;280.2,469.6;309.7,366.4;309.7,359.0;320.8,289.0;460.8,432.7;409.2,436.4;361.3,377.4;261.8,351.6;225.0,307.4;225.0,241.1
