1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#NULL
15#NULL
16#350.3,498.5;341.9,410.2;535.4,406.0;468.1,427.0;569.0,544.8;615.3,641.5;493.3,414.4;430.2,178.9;426.0,157.9;386.1,143.2;367.2,195.7;363.0,271.4;384.0,195.7;480.7,174.7;522.7,267.2;436.5,151.6
17#586.2,633.2;540.5,529.3;499.0,421.2;432.5,412.9;311.9,383.8;320.2,479.4;465.7,412.9;411.7,230.0;399.2,225.9;372.2,173.9;486.5,358.9;499.0,296.5;457.4,209.2;349.3,263.3;345.2,279.9;366.0,213.4
18#544.7,617.2;518.8,524.4;470.5,420.5;392.6,424.2;292.4,372.2;299.8,476.2;426.0,416.8;411.1,253.5;411.1,238.7;405.6,170.0;457.5,177.4;477.9,257.2;463.1,260.9;359.2,249.8;477.9,260.9;452.0,183.0
19#474.3,581.8;484.5,466.4;433.6,418.9;362.3,425.7;267.3,368.0;287.7,466.4;399.7,422.3;389.5,303.6;338.6,290.0;335.2,222.2;455.6,196.7;464.1,266.3;426.8,279.8;442.1,196.7;470.9,262.9;335.2,398.6
20#411.6,557.2;470.4,452.7;398.6,397.2;320.2,423.3;248.3,364.5;274.5,462.5;352.8,410.2;372.4,299.2;297.3,299.2;297.3,227.4;454.1,217.6;460.6,279.6;401.8,289.4;330.0,322.1;267.9,367.8;303.9,397.2
21#361.5,532.5;452.7,438.4;382.1,403.1;326.2,403.1;367.4,429.5;270.3,461.9;308.6,429.5;349.8,306.0;346.8,291.3;338.0,226.6;458.6,238.3;452.7,291.3;393.9,300.1;305.6,314.8;255.6,347.2;370.4,332.5
22#327.1,525.0;426.6,439.0;354.0,412.1;273.3,425.5;340.5,428.2;308.2,449.7;321.7,414.8;329.8,307.2;327.1,293.7;320.3,235.9;453.5,256.1;440.0,307.2;378.2,301.8;284.0,309.9;294.8,352.9;327.1,342.1
23#315.8,544.5;392.2,444.7;309.9,438.8;215.9,421.2;330.5,418.2;260.0,462.3;251.2,427.0;309.9,303.7;309.9,297.8;317.2,237.6;450.9,271.3;430.3,321.3;359.8,309.5;262.9,300.7;236.5,277.2;252.6,237.6
24#311.3,569.2;356.6,455.9;311.3,423.6;217.5,417.1;321.0,439.8;240.1,475.4;236.9,423.6;308.1,310.3;308.1,297.4;309.7,240.7;447.2,290.9;418.1,339.4;356.6,307.1;266.0,300.6;272.5,336.2;314.5,336.2
25#313.7,585.4;338.3,469.3;299.7,437.7;246.9,427.1;218.8,427.1;236.4,497.5;275.1,434.2;299.7,304.1;299.7,297.1;304.9,225.0;447.3,307.6;415.7,349.8;352.4,311.1;254.0,300.6;246.9,353.3;275.1,328.7
26#330.9,592.4;341.3,484.4;310.0,442.6;240.3,439.1;212.4,435.6;250.7,519.2;282.1,442.6;296.0,306.7;299.5,292.7;308.2,231.8;456.3,331.1;411.0,362.4;355.3,313.6;243.8,296.2;243.8,334.5;306.5,345.0
27#333.6,584.2;354.7,470.2;312.4,423.7;236.4,419.5;223.7,440.6;253.3,542.0;274.4,419.5;295.5,305.4;295.5,296.9;308.2,216.7;460.3,343.4;409.6,368.8;354.7,313.8;240.6,288.5;168.8,237.8;206.8,182.9
28#324.0,559.8;364.0,455.8;308.0,411.7;248.0,407.7;236.0,451.8;264.0,567.8;280.0,411.7;304.0,303.7;304.0,291.7;316.0,219.7;468.1,367.7;412.0,371.7;360.0,311.7;252.0,287.7;199.9,255.7;203.9,187.6
29#359.0,525.6;385.6,432.5;315.7,412.5;245.9,399.2;245.9,485.7;272.5,588.8;285.8,412.5;322.4,306.1;322.4,289.5;332.4,219.6;475.4,385.9;418.9,379.3;375.6,312.7;265.9,282.8;222.6,246.2;214.3,201.3
30#341.6,496.5;401.7,415.2;345.1,411.6;260.2,415.2;263.8,503.6;274.4,613.1;309.7,415.2;341.6,298.5;345.1,284.4;361.0,211.9;486.5,401.0;429.9,386.9;398.1,316.2;285.0,280.8;217.8,270.2;233.7,219.0
31#396.6,471.7;415.4,400.4;381.6,411.7;299.1,411.7;287.9,524.2;272.9,632.9;336.6,415.4;366.6,302.9;370.4,287.9;383.5,214.8;494.1,411.7;449.1,385.4;426.6,314.2;291.6,291.7;246.6,276.7;248.5,222.3
32#420.2,483.9;420.2,406.1;383.3,430.6;301.5,422.5;309.6,533.0;276.9,631.2;342.4,426.5;391.5,299.6;391.5,287.4;401.8,211.6;452.9,385.6;489.8,389.7;448.8,307.8;330.1,287.4;260.5,291.5;252.3,266.9
33#436.8,517.4;448.7,409.8;428.8,401.8;345.1,409.8;329.2,521.4;293.3,625.0;389.0,405.8;400.9,298.2;400.9,286.3;410.9,208.6;480.6,362.0;508.5,370.0;464.7,302.2;337.2,290.3;305.3,346.1;301.3,405.8
34#444.1,545.3;463.4,456.5;444.1,406.2;370.7,410.1;347.5,502.8;305.0,607.1;409.3,410.1;417.1,294.2;420.9,282.6;419.0,211.1;494.3,344.4;533.0,348.3;475.0,298.1;370.7,286.5;332.1,340.6;347.5,375.3
35#445.6,570.0;467.3,475.7;452.8,403.1;383.9,403.1;347.6,490.2;311.4,584.5;420.2,403.1;420.2,258.1;414.7,220.0;364.0,212.7;489.1,247.2;550.8,316.1;485.5,287.1;362.2,247.2;347.6,323.4;286.0,334.2
36#450.1,603.1;472.4,499.3;468.7,417.7;401.9,406.5;342.5,465.9;320.3,569.7;435.3,410.2;435.3,284.1;435.3,276.7;418.6,208.1;507.6,215.5;561.4,276.7;490.9,287.9;383.3,284.1;327.7,306.4;290.6,354.6
37#452.3,630.6;470.9,528.2;466.3,430.5;405.7,425.8;335.9,453.7;345.2,542.2;438.3,425.8;433.7,295.5;429.0,290.8;401.1,221.0;517.5,179.1;545.4,244.3;484.9,281.5;382.5,304.8;345.2,360.6;294.0,393.2
38#458.8,654.6;468.5,552.7;473.4,436.3;415.2,426.6;323.0,426.6;327.8,518.8;444.3,431.4;429.7,295.6;424.9,290.7;371.5,227.7;531.6,159.7;521.9,227.7;483.1,276.2;376.4,310.1;342.4,368.4;308.4,416.9
39#474.2,670.0;474.2,553.0;474.2,436.0;418.2,436.0;443.6,553.0;469.1,659.9;443.6,436.0;428.4,298.6;418.2,293.5;357.1,237.6;555.6,166.3;514.9,232.5;479.2,273.2;377.5,313.9;341.9,380.0;347.0,436.0
40#483.8,673.5;475.1,556.7;466.5,457.1;410.2,457.1;453.5,565.3;479.4,673.5;440.5,457.1;414.5,310.0;410.2,310.0;364.8,234.2;563.8,234.2;535.7,253.7;470.8,292.7;366.9,323.0;332.3,383.6;289.0,448.5
41#487.5,678.7;472.9,563.9;461.3,465.1;403.1,465.1;402.4,526.9;430.0,635.9;433.6,465.1;413.3,318.4;410.4,318.4;372.1,242.0;564.5,256.0;539.8,283.8;470.0,306.8;363.9,328.5;334.9,388.1;297.2,403.3
42#491.3,683.8;470.7,571.2;456.0,473.1;395.9,473.1;351.4,488.5;380.7,598.3;426.7,473.1;412.1,326.7;410.7,326.7;379.3,249.9;565.1,277.9;544.0,313.9;469.3,321.0;360.9,334.0;337.6,392.5;305.4,358.2
43#495.0,689.0;468.5,578.4;450.8,481.1;388.8,481.1;300.3,450.1;331.3,560.7;419.8,481.1;410.9,335.1;410.9,335.1;386.6,257.7;565.8,299.7;548.1,344.0;468.5,335.1;357.9,339.5;340.2,397.0;313.6,313.0
44#492.7,691.0;458.5,584.2;458.5,486.0;390.1,481.7;296.2,477.4;326.1,584.2;424.3,481.7;424.3,340.7;424.3,340.7;417.9,257.4;569.6,332.2;548.2,370.6;475.6,345.0;368.8,340.7;283.4,332.2;343.2,276.7
45#476.4,690.5;445.2,583.7;463.0,485.8;396.3,481.4;302.8,503.6;334.0,619.3;431.9,485.8;431.9,347.9;431.9,343.4;427.4,263.3;569.8,361.2;547.6,396.8;485.3,356.8;382.9,339.0;351.8,294.5;371.8,243.3
46#467.0,669.2;417.9,566.8;471.1,493.0;405.6,484.8;311.3,525.8;335.9,656.9;438.4,488.9;446.6,353.7;446.6,345.5;442.5,271.8;569.5,390.6;549.0,419.3;499.8,361.9;401.5,349.6;381.0,288.1;383.0,249.2
47#454.1,649.4;426.5,562.5;473.9,491.4;410.7,479.5;339.5,550.6;335.6,677.1;442.3,483.5;462.0,357.0;466.0,345.2;462.0,278.0;576.6,420.2;545.0,436.1;513.4,368.9;414.6,349.1;398.8,293.8;416.6,248.4
48#449.5,607.1;416.4,551.9;478.9,493.1;409.0,482.0;357.5,566.6;335.4,688.0;442.1,485.7;471.5,364.3;478.9,353.3;486.2,283.4;578.2,452.6;552.4,456.3;530.4,379.0;420.0,345.9;390.6,316.5;407.2,274.2
49#460.5,582.6;438.5,513.0;497.2,498.3;434.9,487.3;354.3,556.9;350.6,685.2;464.2,491.0;486.2,373.7;489.8,362.8;499.0,295.0;585.1,472.7;563.1,476.3;544.8,388.4;427.5,362.8;409.2,425.0;442.2,421.4
50#574.6,495.0;466.4,563.5;502.4,509.4;441.1,502.2;343.7,549.1;387.0,668.2;470.0,505.8;495.2,390.4;498.8,379.6;500.6,312.8;581.8,513.0;571.0,491.4;553.0,401.2;441.1,379.6;430.3,433.7;462.8,437.3
51#574.8,544.5;578.1,538.0;522.5,524.9;457.0,521.6;345.7,547.8;414.4,652.5;493.0,524.9;499.6,400.5;502.8,380.8;494.6,336.6;578.1,528.1;574.8,482.3;558.5,410.3;443.9,390.7;430.8,459.4;479.9,459.4
52#524.6,575.0;542.1,508.7;538.6,519.2;468.8,526.1;367.7,547.1;437.4,662.2;507.2,519.2;503.7,407.5;503.7,390.1;495.0,332.5;577.0,540.1;583.9,487.8;563.0,411.0;447.9,404.0;427.0,480.8;472.3,456.4
53#573.5,588.9;501.9,535.2;541.3,517.3;469.7,520.9;412.5,578.2;441.1,696.2;501.9,520.9;509.1,406.4;509.1,392.1;500.2,329.5;559.2,506.6;595.0,478.0;566.4,406.4;444.7,417.1;430.4,463.7;408.9,535.2
54#524.5,624.4;527.5,542.9;542.6,506.7;485.2,509.7;452.0,600.3;447.5,698.4;512.4,509.7;518.5,401.0;515.4,382.9;507.9,317.9;560.7,455.3;603.0,467.4;572.8,401.0;470.1,401.0;458.1,455.3;485.2,443.3
55#522.2,650.2;531.5,548.9;540.7,508.9;491.5,505.8;454.7,598.0;442.4,702.5;516.1,508.9;519.2,392.2;516.1,379.9;508.4,320.0;580.6,432.1;611.3,441.3;571.4,392.2;470.0,395.2;454.7,459.8;451.6,499.7
56#521.5,673.5;532.9,571.0;539.0,515.9;484.2,509.9;448.1,583.0;438.6,683.8;512.3,513.3;513.1,392.8;511.0,383.3;503.9,320.7;577.9,395.4;608.1,415.2;563.4,388.9;464.7,399.9;450.6,465.0;451.2,521.4
57#520.9,696.8;534.3,593.1;537.4,522.8;477.0,514.1;441.4,568.1;434.7,665.0;508.4,517.7;506.9,393.3;505.9,386.6;499.4,321.4;575.3,358.8;604.9,389.0;555.4,385.6;459.5,404.7;446.6,470.3;450.7,543.1
