1#NULL
2#NULL
3#NULL
4#NULL
5#861.4,786.2;835.7,757.6;870.0,697.6;812.9,703.3;770.0,754.7;832.8,800.4;838.6,700.5;810.0,572.0;804.3,563.4;791.4,504.9;835.7,512.0;864.3,537.7;858.5,557.7;761.5,580.6;781.5,583.4;810.0,560.6
6#860.9,766.4;857.7,750.6;857.7,684.4;804.1,684.4;737.9,703.3;807.3,760.1;829.3,687.5;797.8,548.8;791.5,539.4;774.2,474.8;860.9,523.6;892.4,545.7;845.1,536.2;747.4,561.5;769.4,574.1;819.9,561.5
7#857.0,765.2;844.2,716.9;841.0,659.1;786.3,662.3;705.9,643.0;773.5,710.5;815.3,659.1;783.1,530.5;776.7,517.6;752.6,454.9;882.8,540.1;886.0,543.3;831.3,517.6;731.7,540.1;760.6,565.9;786.3,549.8
8#857.1,767.7;839.5,693.9;825.4,630.6;772.7,630.6;695.4,599.0;741.1,665.8;797.3,630.6;765.7,511.1;765.7,507.6;742.8,439.0;874.6,535.7;871.1,525.1;814.9,500.5;716.4,521.6;712.9,556.8;744.6,539.2
9#856.8,770.3;825.5,683.3;804.6,613.8;745.5,617.2;755.9,596.4;714.2,599.8;773.3,617.2;749.0,499.0;749.0,485.0;733.3,438.1;839.4,512.9;860.3,492.0;804.6,485.0;693.3,509.4;693.3,572.0;721.1,596.4
10#849.8,762.0;819.8,679.6;782.4,600.9;729.9,600.9;714.9,574.7;692.5,608.4;756.1,600.9;741.2,477.3;737.4,477.3;714.9,406.1;801.1,417.4;838.6,454.8;797.3,466.1;688.7,488.5;681.2,537.2;700.0,567.2
11#829.3,743.5;802.3,661.8;765.7,595.8;712.7,596.4;705.0,583.9;695.6,623.0;739.1,596.4;728.4,468.9;725.4,470.1;707.4,401.0;782.7,406.7;813.0,438.7;783.7,459.9;677.3,476.6;668.9,505.9;690.9,525.3
12#808.8,725.0;784.7,643.9;748.9,590.6;695.5,591.8;695.0,593.1;698.6,637.7;722.2,591.8;715.7,460.5;713.4,462.9;699.9,395.9;764.4,396.0;787.5,422.7;770.0,453.8;665.9,464.8;656.6,474.5;681.8,483.4
13#788.3,706.4;767.2,626.1;732.2,585.5;678.3,587.3;685.1,602.4;701.7,652.3;705.2,587.3;702.9,452.1;701.4,455.8;692.4,390.7;746.0,385.2;761.9,406.6;756.4,447.6;654.6,452.9;644.2,443.2;672.8,441.5
14#767.8,687.9;749.6,608.2;715.4,580.3;661.1,582.7;675.1,611.6;704.7,667.0;688.3,582.7;690.2,443.7;689.4,448.6;684.9,385.6;727.7,374.5;736.4,390.6;742.7,441.5;643.2,441.1;631.9,411.8;663.7,399.6
15#747.3,669.4;732.1,590.4;698.7,575.2;643.9,578.2;665.2,620.8;707.8,681.6;671.3,578.2;677.4,435.3;677.4,441.4;677.4,380.5;709.3,363.8;710.8,374.5;729.1,435.3;631.8,429.2;619.6,380.5;654.6,357.7
