1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#626.2,598.7;575.3,527.5;605.8,456.2;561.7,463.0;490.5,524.1;558.3,612.3;585.4,463.0;544.7,344.3;544.7,337.5;526.1,267.9;592.2,388.4;622.8,381.6;585.4,334.1;504.0,354.4;473.5,388.4;504.0,381.6
8#609.4,587.3;562.5,513.1;586.6,444.7;541.3,450.9;470.2,503.4;533.5,591.3;565.3,450.9;528.3,334.1;528.0,326.8;511.1,257.7;572.9,378.4;603.8,372.4;569.5,324.5;486.9,343.6;459.4,379.5;489.9,372.4
9#592.5,575.9;549.8,498.8;567.5,433.2;520.8,438.8;449.8,482.7;508.6,570.4;545.2,438.8;511.9,323.9;511.4,316.1;496.2,247.5;553.6,368.3;584.7,363.3;553.6,315.0;469.8,332.7;445.4,370.5;475.9,363.3
10#575.7,564.5;537.0,484.4;548.3,421.7;500.4,426.7;429.5,461.9;483.8,549.4;525.2,426.7;495.6,313.7;494.7,305.4;481.2,237.3;534.3,358.3;565.7,354.1;537.6,305.4;452.6,321.9;431.3,361.6;461.8,354.1
11#558.8,553.1;524.2,470.0;529.2,410.2;480.0,414.6;409.2,441.2;459.0,528.5;505.1,414.6;479.2,303.5;478.1,294.7;466.2,227.1;515.0,348.2;546.7,345.0;521.7,295.9;435.5,311.0;417.2,352.7;447.7,345.0
12#542.0,541.7;511.4,455.7;510.0,398.7;459.6,402.5;388.8,420.5;434.1,507.5;485.0,402.5;462.8,293.3;461.4,284.0;451.3,216.9;495.7,338.2;527.6,335.8;505.8,286.3;418.4,300.2;403.1,343.7;433.7,335.8
13#525.1,530.4;498.7,441.3;490.9,387.3;439.1,390.3;368.5,399.8;409.3,486.6;464.9,390.3;446.4,283.1;444.8,273.4;436.3,206.7;476.3,328.1;508.6,326.7;489.9,276.8;401.3,289.3;389.1,334.8;419.6,326.7
14#508.3,519.0;485.9,427.0;471.7,375.8;418.7,378.2;348.1,379.1;384.4,465.6;444.8,378.2;430.0,272.9;428.1,262.7;421.4,196.5;457.0,318.1;489.5,317.5;474.0,267.2;384.2,278.5;375.0,325.8;405.6,317.5
15#491.4,507.6;473.1,412.6;452.6,364.3;398.3,366.1;327.8,358.4;359.6,444.7;424.7,366.1;413.6,262.7;411.5,252.0;406.4,186.3;437.7,308.0;470.5,308.4;458.1,257.7;367.1,267.6;360.9,316.9;391.5,308.4
16#474.6,496.2;460.3,398.2;433.4,352.8;377.9,354.0;307.5,337.6;334.8,423.7;404.7,354.0;397.3,252.5;394.8,241.3;391.4,176.1;418.4,298.0;451.5,299.2;442.1,248.1;349.9,256.8;346.8,308.0;377.4,299.2
17#457.8,484.8;447.6,383.9;414.2,341.3;357.4,341.9;287.1,316.9;309.9,402.8;384.6,341.9;380.9,242.3;378.2,230.6;376.5,165.9;399.1,287.9;432.4,290.1;426.2,238.6;332.8,245.9;332.8,299.0;363.4,290.1
18#440.9,473.4;434.8,369.5;395.1,329.8;337.0,329.8;266.8,296.2;285.1,381.8;364.5,329.8;364.5,232.1;361.5,219.9;361.5,155.7;379.8,277.9;413.4,280.9;410.3,229.0;315.7,235.1;318.7,290.1;349.3,280.9
19#449.5,493.5;416.5,391.5;374.5,328.5;314.5,328.5;299.5,364.5;212.5,382.5;344.5,328.5;350.5,229.5;350.5,217.5;352.0,150.0;353.5,271.5;404.5,262.5;392.5,223.5;299.5,232.5;305.5,280.5;335.5,274.5
20#435.9,495.3;400.2,401.3;364.6,349.5;293.3,349.5;231.7,310.6;238.2,401.3;325.7,349.5;338.7,226.4;338.7,216.7;343.5,147.0;458.5,200.5;445.6,242.6;387.3,223.1;290.1,229.6;290.1,284.7;328.9,275.0
21#409.7,487.1;387.3,387.8;345.6,339.8;284.8,343.0;230.3,336.6;249.5,429.5;316.8,343.0;329.6,224.5;336.0,211.7;340.8,146.0;457.7,224.5;451.3,259.7;384.1,221.3;281.6,227.7;281.6,278.9;313.6,259.7
22#379.9,467.5;376.7,366.2;335.6,331.4;281.8,328.2;231.1,350.4;253.3,451.7;307.1,328.2;329.3,220.6;332.4,207.9;340.3,143.0;452.7,239.6;440.1,268.1;379.9,217.4;278.6,223.8;272.3,271.2;297.6,255.4
23#360.5,429.9;375.6,339.6;336.5,330.6;273.3,330.6;228.2,360.7;255.2,465.9;309.4,333.6;333.4,213.3;336.5,195.2;347.0,139.6;450.8,252.4;429.7,270.4;384.6,216.3;282.3,210.3;267.3,261.4;300.4,252.4
24#353.9,384.8;383.1,303.9;328.0,323.3;273.0,316.8;234.2,388.0;253.6,481.9;302.1,323.3;341.0,206.8;347.5,190.6;365.3,130.7;451.0,271.5;425.1,274.7;396.0,216.5;289.2,197.1;269.8,245.6;302.1,242.4
25#359.0,361.3;365.7,300.5;338.7,310.6;288.0,310.6;244.1,401.8;257.7,496.3;315.1,310.6;359.0,199.2;362.3,178.9;397.8,119.8;369.1,344.4;409.6,283.6;409.6,212.7;308.3,178.9;264.4,216.1;298.2,219.4
26#383.9,334.7;406.3,267.7;350.4,297.5;294.5,297.5;268.4,405.5;257.3,502.4;320.6,297.5;376.5,185.8;380.2,174.6;419.3,105.7;473.3,293.8;432.3,282.6;424.9,208.1;335.5,163.4;290.8,215.6;324.3,226.7
27#404.6,344.4;408.1,256.0;362.2,291.4;309.1,287.8;284.4,404.5;256.1,507.0;333.9,291.4;379.8,174.7;390.4,157.0;427.6,119.9;471.8,312.6;443.5,266.6;425.8,185.3;326.8,160.6;302.1,206.5;309.1,252.5
28#411.9,366.7;437.9,273.6;374.6,277.3;322.4,277.3;296.3,389.1;281.4,497.2;348.5,277.3;393.2,154.3;400.7,139.4;436.1,89.1;478.9,299.7;471.5,240.0;437.9,169.2;348.5,135.7;318.7,195.3;329.9,228.9
29#416.9,375.8;445.5,275.8;384.8,268.6;334.8,268.6;313.3,383.0;302.6,483.0;359.8,268.6;402.6,143.6;406.2,132.9;440.2,66.8;509.8,225.8;506.2,218.6;445.5,157.9;363.4,125.8;334.8,186.5;356.2,172.2
30#421.4,389.2;449.0,289.2;411.0,261.6;355.9,261.6;328.3,365.0;324.9,461.6;383.5,261.6;411.0,137.5;417.9,123.7;436.9,66.8;528.2,203.0;542.0,196.1;455.9,147.9;359.3,134.1;352.4,189.2;390.4,158.2
31#418.0,419.9;453.4,320.9;421.6,253.7;368.5,257.2;333.2,345.6;350.9,430.5;396.8,257.2;432.2,122.9;432.2,119.4;441.0,46.9;541.8,144.1;563.0,168.9;481.7,140.6;386.2,98.2;347.3,66.3;396.8,165.3
32#425.9,430.5;453.2,341.0;449.3,259.3;390.9,255.4;332.6,309.8;375.4,399.3;418.1,259.3;437.6,111.4;437.6,107.5;443.4,31.7;534.9,130.9;573.8,138.7;492.1,123.1;383.1,99.7;320.9,64.7;357.8,23.9
33#436.9,441.9;452.8,350.7;464.7,255.6;413.2,247.7;341.8,283.3;393.4,374.5;436.9,255.6;440.9,105.0;436.9,101.0;431.0,27.7;528.1,65.4;575.6,105.0;496.4,105.0;389.4,101.0;333.9,89.2;369.6,33.7
34#451.7,439.7;463.5,349.1;479.2,254.5;424.1,246.6;349.2,262.4;408.3,349.1;451.7,250.6;443.8,108.8;443.8,100.9;430.0,28.0;508.8,28.0;558.0,81.2;495.0,108.8;396.5,108.8;349.2,116.6;365.0,73.3
35#465.0,423.4;480.4,335.0;491.9,258.1;434.2,258.1;368.9,250.4;426.5,338.8;465.0,258.1;449.6,115.8;449.6,108.1;430.4,38.9;476.5,158.1;503.5,169.6;499.6,111.9;399.6,115.8;361.2,146.5;372.7,104.2
36#484.3,393.7;500.8,314.5;497.5,261.7;438.0,261.7;395.1,255.1;438.0,334.3;467.8,261.7;457.9,116.5;454.6,113.2;436.4,52.1;481.0,149.5;535.4,58.7;504.1,113.2;411.6,116.5;365.4,109.9;355.5,142.9
37#503.5,364.2;520.9,288.6;503.5,253.8;442.5,259.6;413.4,268.3;442.5,346.8;474.4,256.7;454.1,131.7;454.1,120.1;446.8,66.3;491.9,175.3;520.9,178.2;509.3,125.9;404.7,134.6;378.5,186.9;364.0,160.8
38#520.4,351.8;534.2,283.0;514.9,255.5;459.9,261.0;429.6,283.0;443.4,368.3;487.4,258.3;462.6,148.2;459.9,131.7;453.0,78.0;492.9,184.0;523.2,189.5;514.9,139.9;410.4,150.9;377.3,208.7;366.3,178.5
39#529.2,353.7;529.2,277.7;517.5,286.5;470.8,295.3;438.6,309.9;447.4,400.5;491.2,292.4;467.8,166.7;464.9,152.1;454.7,89.3;494.1,207.6;523.4,216.4;520.4,163.8;415.2,175.5;374.3,233.9;362.6,216.4
40#532.9,360.1;526.5,257.8;526.5,302.5;465.8,308.9;443.4,337.7;449.8,427.2;491.4,305.7;469.0,193.8;465.8,177.9;459.4,110.7;501.0,232.2;526.5,238.6;520.1,184.2;417.8,200.2;376.3,267.4;360.3,267.4
41#535.5,377.4;508.2,316.8;538.5,332.0;474.8,332.0;444.5,347.1;456.6,444.1;499.1,328.9;471.8,210.7;468.8,195.5;459.7,131.9;496.0,250.1;535.5,259.2;520.3,201.6;423.3,219.8;383.9,274.4;368.7,301.6
42#544.5,430.5;550.5,346.5;535.5,340.5;478.5,340.5;442.5,358.5;466.5,451.5;505.5,337.5;472.5,229.5;472.5,217.5;460.5,151.5;502.5,268.5;541.5,274.5;520.5,214.5;424.5,241.5;382.5,307.5;382.5,340.5
43#549.7,461.8;549.7,368.3;535.1,339.1;476.7,347.8;444.5,362.4;476.7,450.1;503.0,347.8;476.7,242.6;473.8,230.9;463.5,162.3;500.1,280.6;543.9,289.4;523.4,230.9;424.1,257.2;386.1,327.4;380.3,368.3
44#551.9,480.3;546.4,377.5;526.9,363.6;471.4,374.7;443.6,363.6;468.6,424.7;496.4,371.9;474.2,258.1;474.2,238.6;461.7,176.1;501.9,288.6;529.7,296.9;524.2,241.4;424.2,272.0;377.0,341.4;379.7,369.2
45#558.6,499.4;540.3,411.3;525.1,371.8;464.4,380.9;455.3,377.9;470.5,423.4;491.7,377.9;476.6,262.5;476.6,247.3;472.0,185.0;513.0,292.8;546.4,302.0;528.2,250.3;424.9,274.6;382.4,335.4;376.3,374.8
46#564.9,514.6;538.6,422.6;515.6,383.2;459.8,386.4;426.9,383.2;354.7,432.4;489.3,383.2;479.5,264.9;479.5,251.8;479.5,179.5;512.3,291.2;545.2,304.3;532.1,255.0;423.6,274.7;374.4,330.6;374.4,366.7
47#566.8,532.3;543.1,444.6;522.9,387.2;462.2,380.5;418.3,400.7;364.4,451.3;492.6,383.8;482.4,262.4;482.4,248.9;487.5,179.8;516.2,299.5;549.9,313.0;536.4,259.0;428.5,269.2;367.7,313.0;364.4,346.7
48#566.1,548.9;535.4,460.2;518.4,378.3;450.1,378.3;416.0,422.6;364.8,473.8;487.7,378.3;484.2,255.4;484.2,248.6;485.9,178.7;511.5,313.4;549.1,327.1;535.4,258.8;433.1,258.8;351.2,296.4;361.4,289.5
49#555.6,553.6;530.9,465.4;523.9,377.2;456.9,370.2;414.5,341.9;407.5,437.2;488.6,373.7;481.6,253.8;485.1,243.2;490.4,174.4;513.3,299.6;548.6,327.8;534.5,257.3;428.7,246.7;347.5,271.4;340.5,239.7
50#542.8,560.2;524.8,463.2;517.6,366.2;460.2,359.1;406.3,355.5;406.3,463.2;488.9,362.6;481.7,247.7;481.7,240.5;487.1,166.9;510.4,308.8;550.0,333.9;532.0,254.9;427.8,244.1;348.8,247.7;327.3,201.0
51#527.1,546.0;512.9,450.1;520.0,361.2;459.6,357.6;406.2,379.0;406.2,485.6;488.0,357.6;480.9,251.0;484.4,240.3;491.5,172.8;505.8,307.9;552.0,343.4;530.6,258.1;431.1,243.9;363.6,240.3;335.1,201.2
52#516.6,523.8;499.1,436.5;520.1,363.1;460.7,356.1;408.3,394.6;404.8,502.8;488.7,359.6;488.7,251.4;488.7,240.9;499.1,174.5;516.6,359.6;555.0,345.7;537.5,261.8;439.8,240.9;352.5,247.9;342.0,216.4
53#505.3,488.7;491.6,423.7;515.6,368.9;457.4,362.0;406.0,430.5;406.0,519.5;484.8,362.0;495.1,252.5;495.1,238.8;503.6,172.0;529.3,372.3;567.0,344.9;543.0,262.7;447.1,238.8;385.5,266.2;344.4,235.4
54#495.1,459.0;495.1,433.5;513.3,371.7;458.7,368.0;407.8,448.1;404.2,539.0;487.8,371.7;495.1,251.6;495.1,240.7;504.2,173.3;527.9,357.1;578.8,328.0;546.1,255.2;444.2,240.7;371.4,277.0;345.9,244.3
55#494.9,466.2;491.1,394.5;521.3,371.9;457.2,371.9;408.2,466.2;404.4,560.5;491.1,371.9;498.7,251.2;498.7,239.9;511.9,170.1;536.4,296.5;589.2,304.0;551.5,255.0;449.7,243.7;370.5,285.2;344.1,266.3
56#491.7,480.0;487.6,403.0;520.0,366.5;463.3,366.5;418.7,471.9;402.5,561.0;491.7,366.5;499.8,249.0;499.8,236.8;505.8,161.9;516.0,293.6;548.4,293.6;552.5,253.0;447.1,244.9;382.2,293.6;341.7,277.4
57#502.6,491.4;502.6,446.2;516.5,366.1;467.8,362.7;422.6,456.6;408.6,550.5;492.1,366.1;502.6,244.4;502.6,230.5;500.8,173.1;526.9,289.6;551.3,293.1;554.7,240.9;450.4,244.4;384.3,296.6;342.6,293.1
58#510.8,477.4;496.2,401.2;518.0,368.5;467.2,357.7;416.4,441.1;416.4,531.8;492.6,361.3;496.2,241.5;496.2,230.6;498.1,159.9;518.0,285.1;547.1,296.0;550.7,241.5;441.8,245.2;383.8,303.2;343.8,310.5
59#508.4,497.2;497.7,411.4;515.5,364.9;461.9,361.4;415.5,397.1;426.2,497.2;486.9,364.9;483.4,243.4;483.4,232.7;483.4,164.8;512.0,282.7;540.5,293.5;537.0,239.8;433.3,247.0;383.3,307.8;344.0,332.8
60#504.8,521.0;493.3,429.2;504.8,368.0;455.0,364.2;409.1,383.3;428.3,463.6;478.0,364.2;470.3,245.6;466.5,234.1;458.9,165.2;501.0,280.0;531.6,295.3;520.1,241.7;416.8,253.2;378.5,318.3;344.1,364.2
61#505.8,542.7;489.4,444.4;493.5,366.5;432.0,362.5;411.6,362.5;419.8,436.2;460.7,366.5;448.4,247.8;448.4,239.6;436.1,165.9;481.2,292.8;509.9,292.8;501.7,239.6;395.2,260.1;362.4,333.8;333.8,374.7
62#502.7,562.6;494.8,468.2;479.1,366.0;416.2,362.0;365.1,385.6;376.9,448.5;443.7,362.0;428.0,248.0;424.0,236.2;410.3,159.6;510.5,232.3;502.7,259.8;475.1,232.3;376.9,259.8;337.5,334.5;329.7,393.5
63#499.6,564.7;485.6,471.4;462.3,373.5;401.7,373.5;369.0,434.1;378.4,485.4;434.3,373.5;406.3,243.0;401.7,233.7;399.4,156.8;527.6,233.7;518.2,266.3;462.3,229.0;350.4,257.0;322.4,326.9;327.1,387.5
64#491.9,557.0;479.8,463.9;443.3,354.5;390.7,354.5;362.3,435.5;370.4,484.1;419.0,354.5;386.6,233.1;386.6,225.0;376.5,150.1;512.1,225.0;508.1,257.4;443.3,220.9;338.0,245.2;301.6,318.1;321.9,366.7
65#488.5,537.6;477.6,443.1;423.1,341.4;375.9,348.7;394.1,385.0;368.7,479.4;397.7,345.0;375.9,225.1;375.9,217.9;370.5,143.4;510.3,276.0;474.0,254.2;423.1,217.9;325.1,236.0;277.8,297.8;332.3,301.4
66#486.8,503.2;479.7,408.1;409.3,344.7;356.5,344.7;395.2,394.0;367.0,478.5;384.6,344.7;370.5,221.5;370.5,207.4;368.8,138.7;514.9,295.4;476.2,274.3;419.8,217.9;317.7,228.5;261.4,263.7;300.1,246.1
67#482.9,468.3;489.4,384.3;402.2,329.4;347.2,342.4;389.2,410.2;366.6,494.2;376.3,335.9;366.6,219.6;363.4,197.0;368.2,163.1;463.5,261.6;473.2,281.0;418.3,219.6;311.7,222.8;318.2,271.3;344.0,258.4
68#476.4,432.8;498.0,350.2;390.3,321.5;343.6,332.3;375.9,422.0;365.1,511.8;368.7,325.1;357.9,210.2;361.5,199.5;366.9,143.8;447.7,249.7;472.8,274.8;411.8,213.8;307.7,206.6;311.3,260.5;340.0,249.7
69#462.9,391.9;490.5,312.9;391.8,309.0;340.5,324.8;368.1,431.3;364.2,530.0;368.1,316.9;356.3,198.5;356.3,194.5;356.3,119.5;478.7,297.1;470.8,265.6;403.7,202.4;301.0,194.5;253.7,147.1;275.4,105.7
70#453.8,361.0;491.4,281.5;403.6,302.4;345.0,310.8;357.5,440.4;361.7,536.7;374.3,310.8;353.4,189.4;353.4,176.9;353.4,105.8;449.6,268.9;470.5,248.0;403.6,189.4;299.0,185.2;257.1,118.3;267.6,74.4
71#451.4,336.1;478.8,263.1;405.8,290.5;346.5,304.1;351.1,436.4;355.6,532.2;369.3,295.0;351.1,171.9;351.1,171.9;351.1,89.8;424.1,249.4;469.7,217.5;401.2,171.9;300.9,171.9;255.3,108.0;262.2,60.2
72#453.8,340.1;469.4,246.5;399.2,285.5;344.7,297.2;348.6,414.2;352.5,515.5;371.9,289.4;356.4,160.8;356.4,156.9;354.4,96.4;379.7,223.1;473.3,176.4;403.1,160.8;305.7,156.9;243.3,117.9;325.2,223.1
73#463.1,365.3;455.5,271.1;391.5,267.3;335.0,286.1;346.3,402.9;346.3,489.6;365.1,278.6;350.0,154.3;350.0,150.5;351.9,80.8;368.9,192.0;399.0,207.0;399.0,154.3;301.1,150.5;237.0,143.0;269.0,88.3
74#477.1,398.2;448.1,307.5;382.8,260.4;332.1,274.9;332.1,387.3;350.2,459.9;357.5,267.7;342.9,148.0;342.9,140.7;344.8,70.0;357.5,184.2;393.7,184.2;390.1,144.3;295.8,148.0;241.4,166.1;270.4,115.3
75#473.8,419.6;443.7,333.1;383.5,261.7;323.4,273.0;297.0,359.4;349.7,419.6;353.4,265.4;330.9,141.4;330.9,133.8;327.1,66.2;329.0,49.2;383.5,201.5;379.8,141.4;282.0,145.1;240.6,182.7;263.2,137.6
76#475.7,433.9;437.6,342.3;380.3,262.1;319.3,266.0;269.7,334.6;338.4,388.1;349.8,266.0;319.3,140.0;315.5,128.6;307.8,63.7;342.2,166.7;372.7,185.8;365.1,132.4;269.7,147.6;246.8,201.1;254.4,159.1
77#469.9,442.1;423.5,349.4;370.0,245.9;316.5,253.1;241.6,306.6;320.1,360.1;341.5,249.5;298.7,131.8;295.1,121.1;286.2,55.1;323.7,174.6;362.9,181.7;345.0,124.7;252.3,142.5;245.2,206.7;245.2,167.5
78#462.3,443.0;413.5,349.1;353.4,240.1;293.3,247.7;214.4,281.5;300.8,341.5;323.4,243.9;282.1,127.5;278.3,120.0;261.4,50.5;308.3,176.3;342.1,176.3;327.1,123.7;233.2,142.5;229.5,210.1;240.7,180.0
79#451.7,443.1;407.6,347.4;337.6,244.3;282.4,251.7;201.4,259.0;275.0,332.7;311.8,248.0;264.0,133.9;264.0,122.8;245.6,56.5;297.1,170.7;330.2,178.0;311.8,122.8;219.8,144.9;194.0,218.5;234.5,207.5
80#427.2,428.6;401.2,341.0;316.8,259.8;258.4,269.6;196.7,272.8;242.2,337.7;290.9,269.6;248.7,149.4;248.7,139.7;232.4,71.5;281.1,191.6;313.6,191.6;300.6,136.5;206.5,159.2;154.5,211.1;190.2,175.4
81#391.6,411.4;397.8,323.4;303.6,273.1;237.6,285.7;190.4,276.3;206.1,348.6;272.1,282.6;240.7,169.4;237.6,160.0;220.3,89.3;316.1,122.3;289.4,89.3;291.0,163.1;193.6,175.7;130.7,200.9;174.7,197.7
82#360.8,396.4;391.2,313.4;297.1,318.9;227.9,316.2;186.4,291.2;175.4,366.0;261.2,316.2;230.7,188.8;227.9,177.8;222.4,116.9;308.2,133.5;286.1,222.1;280.5,188.8;183.7,188.8;122.8,197.1;142.1,194.4
83#329.6,388.5;378.3,301.7;280.8,334.3;215.7,331.6;180.4,318.0;161.5,393.9;242.8,331.6;223.8,209.6;221.1,196.0;221.1,136.4;242.8,250.2;272.6,261.1;267.2,212.3;177.7,209.6;128.9,196.0;137.1,155.3
84#306.9,388.1;304.1,330.1;251.7,327.4;204.7,346.7;168.9,343.9;149.5,426.7;235.1,343.9;218.5,228.0;218.5,214.2;224.1,153.5;226.8,263.9;259.9,274.9;262.7,228.0;174.4,219.7;168.9,261.1;199.2,261.1
85#216.5,419.5;290.7,345.3;246.2,354.2;192.7,357.1;157.1,374.9;142.3,464.0;219.5,360.1;213.5,244.3;213.5,229.5;219.5,167.1;305.5,235.4;258.0,285.9;258.0,247.3;166.0,238.4;163.0,279.9;186.8,277.0
86#258.4,438.0;286.5,359.8;239.6,378.6;180.1,375.5;152.0,416.1;142.6,500.6;208.3,378.6;211.4,256.6;211.4,244.1;225.5,183.0;224.0,294.1;255.2,309.8;258.4,259.7;164.5,250.3;139.5,291.0;164.5,281.6
87#253.1,470.8;293.2,380.6;233.0,380.6;176.3,380.6;149.6,450.8;136.2,534.3;203.0,380.6;213.0,267.1;216.3,253.7;221.4,188.6;263.1,333.9;279.8,333.9;263.1,267.1;166.3,263.7;139.5,313.8;172.9,303.8
88#249.8,506.6;284.1,407.1;232.6,379.6;181.1,383.0;153.7,472.3;136.5,554.6;208.6,379.6;215.4,269.8;215.4,259.5;220.6,192.6;297.8,376.2;284.1,338.4;263.5,273.2;164.0,269.8;102.2,317.8;146.8,314.4
89#254.6,530.7;275.3,458.1;247.7,389.1;189.0,389.1;168.3,475.4;137.2,554.8;220.1,385.6;216.6,275.1;216.6,261.3;221.8,197.4;265.0,333.8;306.4,316.6;261.5,275.1;168.3,278.6;113.0,340.7;151.0,347.6
90#263.3,557.4;270.4,483.0;256.2,394.4;199.5,394.4;178.2,472.4;157.0,546.8;227.9,394.4;224.3,284.5;224.3,266.8;211.9,215.4;288.1,319.9;334.2,312.8;277.5,284.5;171.1,284.5;135.7,351.8;118.0,373.1
91#262.4,584.6;276.2,502.0;262.4,398.9;207.4,398.9;186.8,460.8;183.3,519.2;231.5,398.9;224.6,288.8;224.6,275.0;216.0,218.3;252.1,337.0;276.2,340.4;276.2,281.9;173.0,292.2;131.7,361.0;124.9,398.9
92#265.9,603.4;276.9,515.4;262.2,409.0;199.8,405.3;181.5,412.7;203.5,475.0;232.8,409.0;225.5,291.6;225.5,284.3;223.7,216.4;247.5,343.0;276.9,350.3;280.5,291.6;174.2,298.9;130.1,368.6;122.8,409.0
93#266.5,617.9;277.6,522.5;259.2,416.0;200.4,408.6;240.8,445.3;292.2,496.8;229.8,412.3;222.5,294.8;222.5,280.1;217.0,223.2;251.9,346.2;277.6,353.6;270.2,287.5;171.1,298.5;116.0,353.6;123.3,393.9
94#276.8,620.6;269.0,531.6;265.2,415.5;207.1,411.6;269.0,520.0;296.1,520.0;238.1,415.5;222.6,291.6;222.6,283.9;216.8,220.0;249.7,345.8;276.8,349.7;272.9,287.7;168.4,295.5;98.7,341.9;114.2,341.9
95#277.3,613.6;281.0,523.1;255.6,410.9;194.1,407.3;266.5,508.7;277.3,566.6;226.7,407.3;215.8,287.9;215.8,273.4;221.2,228.2;233.9,345.8;266.5,345.8;262.9,287.9;168.8,291.5;92.8,316.8;118.1,306.0
96#279.8,589.7;297.0,510.4;252.2,410.3;197.0,406.8;241.8,451.7;286.7,548.3;224.6,406.8;214.2,289.5;214.2,279.1;219.4,225.6;341.9,292.9;331.6,324.0;262.5,286.0;162.4,286.0;93.4,289.5;145.2,275.7
97#290.0,572.2;307.4,474.8;244.8,401.7;196.1,412.1;244.8,460.9;269.1,558.3;216.9,405.2;213.5,290.3;213.5,286.8;222.2,219.0;317.9,342.5;276.1,335.6;255.2,290.3;168.2,290.3;175.2,335.6;203.0,332.1
98#295.9,531.6;306.2,446.8;247.2,395.6;197.3,408.7;237.2,478.4;263.4,570.6;219.9,400.4;218.9,289.1;218.9,285.5;231.5,219.9;323.1,354.9;285.4,335.4;261.5,290.3;172.5,287.9;174.7,340.4;177.2,314.5
