1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#NULL
15#NULL
16#NULL
17#NULL
18#NULL
19#NULL
20#NULL
21#NULL
22#493.7,474.9;550.1,466.3;517.6,412.1;476.4,403.4;459.0,464.1;482.9,472.8;500.2,409.9;537.1,329.7;545.8,316.7;565.3,273.3;606.5,308.0;615.1,357.9;580.5,342.7;502.4,318.9;476.4,351.4;506.7,370.9
23#500.0,472.5;533.9,449.2;514.8,411.1;472.5,396.3;430.2,457.6;478.9,472.5;495.8,404.8;538.1,330.7;544.4,313.8;559.2,267.3;605.8,337.1;599.4,373.0;580.4,337.1;497.9,315.9;468.3,356.1;500.0,381.5
24#542.2,530.6;577.7,435.1;506.7,454.2;435.7,424.1;468.5,377.7;471.2,459.6;479.4,437.8;534.0,325.8;539.5,312.2;557.2,256.2;602.3,345.0;610.5,380.5;585.9,336.8;490.3,312.2;465.8,361.3;501.3,369.5
25#545.8,544.3;576.2,444.0;503.3,447.0;442.5,416.6;488.1,374.1;466.8,440.9;479.0,428.8;536.7,322.4;539.8,307.2;556.5,244.9;609.7,361.9;606.6,398.4;591.4,331.5;485.1,301.1;433.4,331.5;418.2,377.1
26#540.4,557.4;570.0,455.4;500.9,435.6;445.0,415.9;481.2,359.9;464.7,429.0;474.6,422.5;537.1,310.6;540.4,294.1;565.1,226.6;579.9,376.4;609.5,399.4;586.5,327.0;487.7,290.8;471.3,340.2;497.6,350.1
27#537.8,573.7;558.3,464.3;510.5,419.9;445.5,402.8;534.4,440.4;531.0,563.4;479.7,413.0;534.4,293.4;544.6,276.3;566.9,216.5;572.0,372.0;613.0,389.1;589.1,317.3;483.1,272.9;455.8,331.0;496.8,344.7
28#527.4,585.0;548.9,484.6;523.8,420.0;462.8,391.3;523.8,423.6;495.1,409.2;495.1,405.6;538.1,280.1;548.9,258.5;579.4,202.9;577.6,366.2;620.7,384.1;592.0,305.2;484.3,258.5;477.2,323.1;513.0,333.9
29#530.4,593.4;534.1,495.8;526.6,420.7;481.6,390.7;534.1,360.6;492.8,409.4;500.4,405.7;545.4,270.5;552.9,248.0;596.1,193.6;598.0,394.4;624.2,375.6;598.0,289.3;496.6,248.0;485.3,300.6;530.4,326.8
30#528.0,598.1;528.0,489.4;519.9,392.8;487.7,388.8;447.5,364.6;528.0,594.1;519.9,392.8;552.1,256.0;556.2,239.9;592.4,163.4;608.5,408.9;628.6,360.6;596.4,280.1;507.9,223.8;463.6,171.4;538.1,157.3
31#516.3,590.7;525.7,482.6;521.0,383.9;459.9,369.8;535.0,473.2;492.8,482.6;497.5,369.8;553.8,243.0;553.8,233.6;586.7,158.4;624.3,407.4;633.7,351.0;600.8,271.2;502.2,210.1;455.2,149.0;518.6,113.7
32#503.4,577.3;537.7,474.4;532.8,381.4;474.0,361.8;518.1,420.6;488.7,494.0;498.5,376.5;552.3,234.4;552.3,229.5;581.7,151.1;640.5,376.5;650.3,337.3;606.2,258.9;498.5,205.0;464.2,131.6;486.2,89.9
33#505.3,553.4;558.4,447.2;519.8,374.8;466.7,360.3;524.6,423.0;490.8,509.9;490.8,365.1;553.6,225.2;553.6,220.3;592.2,148.0;664.6,316.9;659.8,312.0;601.8,249.3;505.3,196.2;457.1,114.2;469.1,53.8
34#519.7,531.4;581.1,436.9;529.2,375.5;472.5,361.4;533.9,422.7;482.0,526.6;496.1,370.8;557.5,224.4;557.5,219.7;590.6,144.1;656.7,285.8;699.2,295.2;614.2,248.0;505.6,196.1;444.2,148.8;467.8,82.7
35#522.3,503.0;600.4,417.2;534.0,374.3;479.4,362.6;522.3,452.3;479.4,553.7;506.7,370.4;565.3,226.1;565.3,218.3;598.4,146.1;666.7,222.2;709.6,265.1;623.8,245.6;510.6,206.6;436.5,175.4;465.8,138.3
36#540.9,464.2;619.6,389.6;553.4,373.0;487.1,364.7;495.4,472.5;474.6,571.9;520.2,368.9;565.8,223.9;565.8,219.8;590.6,145.2;665.2,186.6;710.8,232.2;623.8,240.5;511.9,207.3;437.4,199.0;470.5,145.2
37#562.1,432.6;632.8,352.9;562.1,370.6;504.5,366.2;478.0,476.8;478.0,574.1;535.5,366.2;566.5,224.7;566.5,220.2;588.6,140.6;659.4,149.5;694.8,198.1;624.0,233.5;504.5,211.4;442.6,224.7;482.4,171.6
