1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#NULL
15#NULL
16#NULL
17#NULL
18#NULL
19#NULL
20#305.3,606.3;293.6,537.9;246.7,567.2;192.1,567.2;139.3,530.1;151.0,590.7;217.4,569.2;213.5,467.6;213.5,457.9;216.5,413.9;307.3,440.3;295.6,461.8;250.6,463.7;176.4,469.6;170.6,467.6;211.6,483.2
21#307.2,624.1;287.7,555.7;231.1,569.4;182.2,569.4;135.4,546.0;152.9,608.5;205.7,569.4;203.7,467.9;203.7,456.1;202.8,420.0;305.3,462.0;293.6,475.7;244.7,463.9;162.7,467.9;178.3,503.0;197.9,493.2
22#304.3,630.0;279.4,559.8;229.6,562.1;170.7,566.6;130.0,553.0;152.6,625.5;200.2,566.6;197.9,467.0;197.9,455.7;201.3,407.0;306.6,471.6;281.7,489.7;240.9,467.0;154.9,464.8;173.0,487.4;202.4,485.1
23#295.2,626.0;273.6,556.4;220.8,563.6;163.2,568.4;136.8,573.2;156.0,645.3;187.2,568.4;196.8,465.2;199.2,455.6;207.6,401.6;304.8,489.2;273.6,498.8;240.0,467.6;158.4,458.0;132.0,453.2;153.6,465.2
24#274.1,616.8;268.6,542.3;216.1,564.4;160.9,572.7;141.6,589.3;158.2,663.8;185.8,569.9;199.6,462.3;202.3,454.0;218.9,401.6;307.2,503.7;271.3,503.7;238.2,470.6;163.7,451.3;136.1,426.4;174.7,434.7
25#251.9,601.6;272.1,532.4;220.2,564.1;165.4,572.8;153.9,607.4;159.6,679.5;194.2,572.8;205.8,463.2;211.6,451.6;231.8,399.7;309.6,518.0;272.1,512.2;246.2,471.8;174.1,451.6;162.5,411.2;130.8,385.3
26#243.7,585.9;267.3,521.9;220.2,558.9;176.4,565.7;166.3,619.6;159.5,693.7;196.6,562.3;220.2,454.5;223.5,447.7;253.9,400.6;314.5,535.3;284.2,515.1;257.2,474.7;189.8,434.3;173.0,393.8;223.5,377.0
27#248.0,585.1;273.6,515.7;229.7,563.2;182.2,566.9;167.6,621.7;156.6,713.0;204.1,563.2;237.0,453.6;240.7,446.3;273.6,402.4;321.1,555.9;299.1,523.0;269.9,475.5;204.1,431.6;189.5,387.8;226.1,362.2
28#251.9,606.0;280.2,535.9;235.1,558.1;188.2,559.9;176.3,613.5;175.4,702.2;210.0,559.6;246.4,452.4;249.8,445.7;280.2,399.1;316.2,546.7;311.4,517.9;281.4,472.6;214.6,432.2;204.2,385.7;235.7,364.3
29#255.9,626.8;286.7,556.0;240.5,552.9;194.3,552.9;185.1,605.2;194.3,691.5;215.9,556.0;255.9,451.2;259.0,445.1;286.7,395.8;311.4,537.5;323.7,512.8;292.9,469.7;225.1,432.8;219.0,383.5;245.2,366.5
30#257.4,646.6;285.8,577.1;251.1,551.8;203.7,548.7;194.3,602.4;210.0,684.5;229.0,551.8;263.7,450.8;266.9,444.5;285.8,393.9;314.3,491.8;345.9,498.1;298.5,463.4;232.2,435.0;229.0,368.7;246.4,348.1
31#261.5,664.8;285.4,596.2;270.5,560.3;213.8,557.4;198.9,587.2;222.7,667.8;240.6,560.3;267.5,449.9;267.5,444.0;282.4,390.2;324.2,479.8;357.0,476.8;300.3,461.9;237.6,435.0;228.7,381.3;248.1,355.9
32#260.5,681.7;287.7,606.1;278.7,560.8;230.3,554.7;197.0,575.9;236.3,645.4;254.5,557.7;269.6,442.8;269.6,439.8;272.6,385.4;354.2,464.0;360.3,445.9;302.8,448.9;236.3,436.8;218.2,397.5;253.0,368.8
33#273.5,690.0;288.6,617.8;288.6,554.6;240.4,551.6;195.3,560.6;240.4,623.8;264.5,554.6;270.5,443.2;270.5,437.2;266.0,378.5;330.7,398.1;357.8,428.2;306.6,443.2;234.4,440.2;216.3,413.1;249.4,386.0
34#286.8,707.3;305.1,609.7;299.0,554.7;247.1,545.5;198.3,548.6;244.1,606.6;274.6,551.7;271.5,444.8;268.5,435.7;257.8,379.2;337.2,379.2;354.0,414.3;308.2,438.7;234.9,444.8;256.3,463.1;277.6,460.1
35#301.8,655.7;317.1,591.1;304.8,563.4;252.5,554.2;206.4,535.7;249.5,603.4;277.2,563.4;274.1,443.4;271.0,437.3;261.8,381.9;352.5,355.8;351.0,406.5;311.0,440.3;237.2,446.5;234.1,437.3;246.4,431.1
36#316.3,618.0;322.2,558.8;307.4,561.7;257.0,555.8;221.4,546.9;257.0,615.0;280.7,555.8;277.7,443.2;274.8,437.3;265.9,383.9;351.8,357.3;351.8,398.8;316.3,437.3;239.2,449.1;248.1,463.9;251.1,443.2
37#326.2,599.4;329.1,534.3;312.1,565.4;258.3,565.4;235.7,559.8;261.1,633.4;286.6,565.4;283.8,446.6;283.8,440.9;272.5,387.1;363.0,361.7;354.5,398.5;323.4,440.9;247.0,452.2;247.0,486.2;266.8,474.9
38#337.6,581.7;323.0,540.9;320.1,552.5;264.7,552.5;244.3,575.9;255.9,645.9;291.0,555.5;288.0,450.4;288.0,444.6;285.1,392.1;375.6,365.8;361.0,403.7;328.9,444.6;247.2,456.2;241.3,497.1;264.7,494.2
39#353.3,578.8;347.5,515.9;324.7,558.8;270.5,558.8;239.0,573.1;253.3,650.2;299.0,558.8;293.3,453.1;293.3,447.4;293.3,396.0;376.1,376.0;370.4,413.2;336.1,447.4;250.5,461.7;247.6,510.2;267.6,504.5
40#358.2,598.4;351.5,531.5;325.9,565.0;273.8,559.4;239.7,563.4;258.2,637.7;301.2,561.5;296.0,456.4;296.0,448.4;296.3,400.6;376.8,396.0;373.7,429.8;337.0,449.8;252.9,464.2;245.4,511.1;269.8,507.3
41#363.0,618.0;355.6,547.1;327.2,571.1;277.2,560.1;240.3,553.7;263.1,625.2;303.3,564.2;298.6,459.6;298.6,449.4;299.4,405.3;377.6,415.9;377.1,446.3;337.9,452.2;255.2,466.6;243.2,511.9;272.1,510.0
42#367.9,637.6;359.6,562.7;328.4,577.3;280.5,560.7;241.0,544.0;268.0,612.7;305.5,566.9;301.3,462.9;301.3,450.4;302.4,409.9;378.3,435.9;380.4,462.9;338.8,454.6;257.6,469.1;241.0,512.8;274.3,512.8
43#370.3,658.1;360.3,580.5;327.8,565.5;277.7,565.5;265.2,548.0;272.7,595.5;300.2,565.5;300.2,465.3;302.7,455.3;302.7,402.7;387.9,455.3;380.4,475.4;342.8,460.3;257.7,467.8;230.1,502.9;267.7,507.9
44#372.0,671.8;358.7,607.8;329.3,567.8;281.3,565.1;297.3,591.8;276.0,599.8;305.3,567.8;302.7,461.2;302.7,455.8;301.3,401.2;385.3,471.8;374.7,493.2;342.7,463.8;260.0,463.8;220.0,487.8;244.0,482.5
45#379.3,678.3;357.6,610.6;333.2,567.2;287.1,567.2;303.4,602.4;279.0,616.0;308.8,567.2;303.4,461.4;303.4,453.3;299.3,397.7;387.4,488.6;371.2,496.7;346.8,464.2;262.7,461.4;219.3,469.6;246.4,480.4
46#377.0,683.6;362.4,607.7;339.0,563.8;295.2,560.9;306.9,610.6;289.3,636.9;315.6,560.9;306.9,461.6;303.9,452.8;298.1,400.2;391.6,499.5;374.1,505.4;347.8,464.5;265.9,458.6;228.0,452.8;257.2,420.7
47#367.6,672.0;370.5,595.5;335.2,554.2;291.0,557.2;311.6,589.6;294.0,645.5;314.6,557.2;308.7,463.0;308.7,454.2;299.9,401.2;391.1,518.9;376.4,513.0;349.9,465.9;267.5,457.1;235.1,445.3;249.8,407.1
48#365.6,650.1;370.8,586.9;344.5,550.0;302.3,552.6;323.4,592.2;315.5,639.6;323.4,552.6;315.5,460.4;312.9,452.5;310.2,399.8;402.5,536.8;384.0,513.1;355.0,465.7;278.6,457.8;244.4,447.3;257.5,413.0
49#364.8,628.6;382.9,566.7;354.5,553.8;308.1,553.8;321.0,587.3;321.0,659.6;333.9,553.8;326.1,463.5;326.1,453.2;319.7,397.7;403.5,543.5;398.4,512.5;367.4,468.6;290.0,455.7;256.5,468.6;269.4,429.9
