1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#726.2,729.3;713.2,664.5;689.9,615.2;645.8,615.2;612.0,607.4;619.8,646.3;669.1,615.2;651.0,508.9;651.0,495.9;641.9,447.9;718.4,501.1;734.0,532.2;695.0,506.3;606.9,511.5;627.6,545.2;656.1,545.2
11#726.3,722.0;705.6,654.8;682.4,592.8;643.6,592.8;576.4,533.4;718.6,698.7;664.3,592.8;638.5,486.9;638.5,471.4;626.8,436.5;710.8,492.0;728.9,510.1;682.4,481.7;589.4,489.4;599.7,538.5;617.8,554.0
12#715.0,710.6;697.8,643.3;672.8,587.9;633.5,586.9;575.5,531.2;703.9,686.5;654.6,587.3;634.0,482.2;634.5,466.7;625.2,431.5;704.7,487.1;721.6,506.9;677.7,478.4;585.4,483.0;594.4,531.5;613.1,545.2
13#703.7,699.1;690.0,631.8;663.2,583.0;623.4,581.1;574.5,529.0;689.1,674.2;644.9,581.7;629.5,477.5;630.5,462.0;623.5,426.6;698.6,482.1;714.3,503.7;673.0,475.1;581.5,476.7;589.1,524.4;608.4,536.4
14#692.4,687.7;682.2,620.2;653.6,578.1;613.3,575.2;573.6,526.7;674.4,662.0;635.1,576.2;625.1,472.8;626.5,457.3;621.9,421.6;692.5,477.1;707.0,500.5;668.2,471.9;577.5,470.3;583.8,517.4;603.7,527.5
15#681.1,676.3;674.4,608.7;644.0,573.2;603.2,569.3;572.7,524.5;659.7,649.7;625.4,570.6;620.6,468.1;622.5,452.6;620.3,416.6;686.4,472.2;699.7,497.3;663.5,468.6;573.5,463.9;578.5,510.4;599.0,518.7
16#669.8,664.9;666.6,597.2;634.4,568.3;593.1,563.5;571.8,522.3;644.9,637.5;615.7,565.1;616.1,463.4;618.5,447.9;618.6,411.7;680.3,467.2;692.4,494.1;658.8,465.3;569.6,457.6;573.2,503.3;594.3,509.9
17#658.5,653.5;658.8,585.7;624.8,563.4;583.0,557.6;570.9,520.1;630.2,625.2;606.0,559.5;611.6,458.7;614.5,443.2;617.0,406.7;674.2,462.3;685.1,490.9;654.1,462.0;565.6,451.2;567.9,496.3;589.6,501.1
18#647.1,642.0;651.1,574.2;615.2,558.6;572.8,551.7;569.9,517.9;615.5,613.0;596.3,554.0;607.2,454.1;610.6,438.5;615.4,401.7;668.0,457.4;677.9,487.6;649.4,458.7;561.6,444.8;562.5,489.3;584.9,492.3
19#635.8,630.6;643.3,562.7;605.6,553.7;562.7,545.9;569.0,515.7;600.7,600.7;586.6,548.5;602.7,449.4;606.6,433.8;613.7,396.8;661.9,452.4;670.6,484.4;644.7,455.4;557.7,438.5;557.2,482.2;580.2,483.5
20#624.5,619.2;635.5,551.1;596.0,548.8;552.6,540.0;568.1,513.4;586.0,588.5;576.8,542.9;598.2,444.7;602.6,429.1;612.1,391.8;655.8,447.4;663.3,481.2;639.9,452.2;553.7,432.1;551.9,475.2;575.5,474.6
21#613.2,607.8;627.7,539.6;586.4,543.9;542.5,534.1;567.1,511.2;571.3,576.2;567.1,537.4;593.8,440.0;598.6,424.4;610.5,386.8;649.7,442.5;656.0,478.0;635.2,448.9;549.7,425.7;546.6,468.2;570.8,465.8
22#601.9,596.3;619.9,528.1;576.8,539.0;532.4,528.3;566.2,509.0;556.5,564.0;557.4,531.8;589.3,435.3;594.6,419.7;608.8,381.9;643.6,437.6;648.7,474.8;630.5,445.6;545.8,419.4;541.3,461.1;566.1,457.0
23#590.6,584.9;612.1,516.6;567.2,534.1;522.3,522.4;565.3,506.8;541.8,551.7;547.7,526.3;584.8,430.6;590.6,415.0;607.2,376.9;637.5,432.6;641.4,471.6;625.8,442.3;541.8,413.0;536.0,454.1;561.4,448.2
24#592.7,596.6;618.0,518.7;567.4,520.8;529.5,512.3;506.3,461.8;516.8,510.2;546.3,512.3;588.5,425.9;594.8,413.3;612.7,374.3;647.5,461.8;641.2,480.7;634.8,438.6;548.4,411.2;533.7,453.3;559.0,461.8
25#596.4,609.0;620.0,534.0;568.5,514.7;529.9,504.0;519.2,461.1;527.7,506.1;549.2,508.3;594.2,422.5;602.8,403.2;618.9,374.2;650.0,471.8;641.4,491.1;639.3,435.3;553.5,403.2;514.9,446.1;510.6,489.0
26#595.5,619.1;616.1,557.5;598.1,521.6;539.1,501.0;593.0,511.3;536.5,511.3;567.3,511.3;595.5,416.3;603.2,400.9;630.2,353.5;659.7,477.9;646.9,488.2;639.2,431.7;554.5,395.8;528.8,447.1;516.0,480.5
27#599.0,628.4;615.5,565.4;599.0,516.2;544.3,502.5;596.3,516.2;560.7,505.2;569.0,502.5;601.8,406.7;610.0,393.0;638.7,347.9;651.0,461.4;656.5,488.8;645.6,425.9;555.3,387.6;538.9,439.6;525.2,472.4
28#621.2,634.9;621.2,569.7;609.3,513.4;550.0,495.6;609.3,537.1;553.0,489.6;576.7,498.5;606.3,400.7;609.3,385.9;640.4,331.0;665.6,501.5;665.6,489.6;647.8,418.5;561.9,377.0;526.3,353.3;544.1,463.0
29#626.5,631.4;632.7,553.8;604.8,491.7;555.1,488.6;617.2,528.9;604.8,560.0;579.9,488.6;607.9,392.3;614.1,379.9;640.5,319.3;673.1,504.1;670.0,457.5;651.3,410.9;567.5,370.6;533.3,330.2;553.5,313.1
30#632.9,621.5;648.7,542.7;604.6,489.2;557.3,489.2;614.0,508.1;604.6,574.2;582.5,489.2;610.9,385.2;614.0,375.8;639.2,315.9;673.9,495.5;677.0,448.2;658.1,404.1;569.9,363.2;551.0,315.9;571.5,298.6
31#644.0,599.1;664.7,519.5;611.6,487.1;567.3,484.1;611.6,498.9;608.6,587.3;590.9,484.1;614.5,380.9;617.5,372.1;638.1,313.1;685.3,448.7;694.2,436.9;658.8,392.7;573.2,366.2;568.8,299.8;562.9,293.9
32#659.3,577.6;675.4,503.5;623.8,490.6;572.3,497.0;614.2,519.6;607.7,606.6;594.8,490.6;623.8,374.6;623.8,368.1;639.9,310.1;694.7,416.5;714.1,416.5;662.5,387.5;585.2,361.7;569.0,300.4;580.3,279.5
33#670.5,557.5;688.5,482.5;628.5,488.5;580.5,494.5;613.5,533.5;607.5,629.4;604.5,491.5;628.5,374.6;628.5,368.6;639.0,304.1;721.4,389.6;724.4,404.6;673.5,380.6;586.5,359.6;559.6,317.6;585.0,298.1
34#676.9,532.2;698.1,459.4;634.4,480.6;589.0,483.7;601.1,547.3;604.1,632.2;610.2,480.6;625.3,368.5;628.4,362.4;642.0,300.3;698.1,377.6;728.4,380.6;667.8,377.6;585.9,359.4;558.6,335.1;587.4,306.3
35#679.4,519.6;698.2,461.2;643.1,477.9;593.5,481.0;597.4,542.0;598.9,624.1;617.6,477.9;628.1,368.7;630.5,361.9;639.2,299.8;702.0,351.9;726.1,366.0;670.3,373.3;587.5,361.1;564.1,351.8;584.2,329.4
36#681.9,506.9;698.4,463.1;651.8,475.2;598.0,478.2;593.8,536.6;593.8,616.1;624.9,475.2;631.0,368.9;632.5,361.4;636.4,299.3;705.8,326.1;723.9,351.3;672.9,369.0;589.1,362.8;569.6,368.5;581.0,352.6
37#684.4,494.3;698.6,464.9;660.5,472.5;602.6,475.5;590.1,531.3;588.6,608.0;632.2,472.5;633.8,369.1;634.6,360.9;633.5,298.8;709.6,300.4;721.6,336.7;675.4,364.7;590.7,364.6;575.0,385.1;577.8,375.7
38#686.9,481.6;698.7,466.8;669.2,469.8;607.1,472.8;586.4,526.0;583.4,599.9;639.6,469.8;636.7,369.3;636.7,360.4;630.7,298.3;713.5,274.6;719.4,322.0;678.0,360.4;592.3,366.3;580.5,401.8;574.6,398.8
39#695.7,494.6;710.5,420.8;669.2,470.9;619.0,473.9;592.5,506.4;601.3,591.9;642.6,470.9;636.7,373.6;636.7,361.8;636.7,299.8;720.8,274.7;716.4,320.4;681.0,364.7;589.5,376.5;586.5,417.8;574.7,411.9
40#702.7,519.7;713.2,440.7;671.1,469.7;618.5,469.7;592.1,498.7;618.5,580.3;644.8,469.7;634.3,372.3;634.3,361.8;639.5,303.8;717.2,292.0;718.5,332.8;679.0,369.7;586.9,382.8;581.6,430.2;607.9,419.7
41#703.8,538.1;715.1,459.4;667.9,477.4;618.4,484.1;595.9,488.6;629.7,560.5;640.9,477.4;631.9,385.2;631.9,362.7;633.0,309.9;724.1,317.8;721.8,358.2;674.6,371.7;586.9,387.4;582.4,450.4;602.7,443.6
42#705.1,557.9;713.9,474.6;663.5,472.5;617.5,481.2;610.9,465.9;630.6,536.0;639.4,476.8;632.8,382.6;632.8,362.9;631.7,313.6;724.8,336.6;722.6,371.7;683.2,369.5;584.6,391.4;573.6,435.2;606.5,422.1
43#709.6,575.2;717.1,494.7;676.9,474.6;614.0,477.1;619.1,464.6;631.6,514.8;646.7,477.1;631.6,379.1;631.6,366.5;627.9,307.5;724.6,354.0;722.1,384.1;679.4,366.5;581.4,386.6;563.8,424.3;606.5,416.8
44#711.4,592.2;711.4,520.1;676.6,477.9;621.9,480.3;639.3,462.9;604.5,505.2;646.8,475.4;629.4,378.4;626.9,363.5;623.2,320.0;728.8,373.4;716.4,398.3;676.6,368.5;577.2,383.4;549.8,408.2;592.1,413.2
45#715.2,597.5;705.2,530.0;680.2,480.0;627.8,480.0;637.8,505.0;612.8,517.5;652.8,472.5;627.8,372.5;625.2,357.5;614.0,321.2;730.2,392.5;710.2,402.5;677.8,367.5;580.2,380.0;542.8,392.5;590.2,412.5
46#711.7,595.9;706.8,527.2;679.8,470.7;628.2,468.3;638.0,502.6;613.5,539.5;650.3,468.3;630.7,370.1;628.2,352.9;614.7,319.7;731.3,409.3;714.1,411.8;677.3,365.1;586.5,370.1;547.2,367.6;581.6,352.9
47#701.4,582.5;704.0,511.5;677.7,461.5;630.4,461.5;648.8,537.8;646.2,535.2;654.1,461.5;635.6,366.8;633.0,356.3;622.5,301.0;733.0,427.3;717.2,414.2;680.4,366.8;588.3,366.8;556.7,351.0;577.8,314.2
48#698.0,561.4;703.1,497.4;682.6,456.5;636.6,464.2;639.1,487.2;649.4,548.6;659.6,459.0;644.3,364.4;641.7,351.6;631.5,297.9;738.9,446.3;723.6,423.2;690.3,364.4;598.2,364.4;567.5,346.5;582.8,308.1
49#698.2,535.9;700.7,475.9;685.7,453.4;643.3,455.9;635.8,493.4;650.8,563.3;665.8,455.9;648.3,358.5;648.3,348.5;642.0,297.3;740.7,445.9;733.2,416.0;693.2,358.5;603.3,358.5;578.3,361.0;590.8,323.5
50#734.4,486.9;652.7,498.1;697.8,453.1;652.7,458.7;638.6,509.4;652.7,579.8;675.2,455.9;661.1,360.1;658.3,346.0;654.1,302.4;742.8,430.5;748.5,408.0;709.0,360.1;616.1,360.1;587.9,377.0;596.4,340.4
51#728.9,497.2;677.4,479.5;705.5,448.6;657.1,456.2;641.9,509.3;655.2,580.3;681.7,453.3;668.5,357.6;666.6,344.3;661.4,295.5;742.3,391.0;758.6,381.8;715.9,355.7;624.0,359.5;594.6,385.3;598.3,357.0
52#723.5,507.4;702.0,461.0;713.2,444.0;661.5,453.6;645.2,509.1;657.6,580.9;688.3,450.8;675.8,355.1;674.9,342.7;668.7,288.6;741.7,351.6;768.7,355.7;722.7,351.2;631.9,359.0;601.2,393.6;600.2,373.7
53#718.0,517.7;726.7,442.4;720.9,439.5;665.9,451.1;648.5,509.0;660.1,581.4;694.8,448.2;683.2,352.6;683.2,341.0;676.0,281.7;741.2,312.1;778.8,329.5;729.6,346.8;639.8,358.4;607.9,401.9;602.1,390.3
54#722.8,537.0;716.9,471.9;719.8,439.4;669.6,445.4;646.0,492.6;666.7,557.6;696.2,442.4;684.4,350.8;684.4,341.9;678.5,282.8;758.3,285.8;764.2,312.4;728.7,339.0;643.0,359.7;616.4,415.8;643.0,433.5
55#722.7,548.5;722.7,485.0;722.7,445.7;668.3,445.7;650.2,472.9;671.3,530.4;692.5,445.7;686.4,349.0;683.4,346.0;677.4,282.5;759.0,267.3;759.0,303.6;725.7,333.9;641.1,364.1;616.9,421.5;613.9,427.6
56#727.3,569.6;730.4,502.7;717.7,445.3;666.7,445.3;638.1,438.9;669.9,499.5;692.2,445.3;679.5,346.6;679.5,343.4;669.9,282.9;755.9,279.7;765.5,314.7;720.9,330.6;638.1,365.7;612.6,432.6;619.0,448.5
