1#NULL
2#NULL
3#NULL
4#NULL
5#NULL
6#NULL
7#NULL
8#NULL
9#NULL
10#NULL
11#NULL
12#NULL
13#NULL
14#NULL
15#NULL
16#NULL
17#NULL
18#NULL
19#NULL
20#NULL
21#NULL
22#NULL
23#NULL
24#NULL
25#NULL
26#650.5,605.8;679.7,535.0;631.8,535.0;592.2,520.5;625.5,501.7;619.3,518.4;615.1,528.8;660.9,449.7;667.2,433.0;687.0,400.7;681.8,487.1;696.3,497.6;696.3,466.3;623.5,428.8;577.7,460.1;569.3,503.8
27#650.2,616.6;679.2,546.3;633.7,521.4;596.5,513.2;652.3,529.7;604.7,540.1;613.0,513.2;666.8,440.8;673.0,426.3;688.5,402.5;685.4,496.6;689.5,517.3;706.1,459.4;629.6,420.1;586.1,453.2;573.7,496.6
28#656.5,622.9;677.7,553.9;645.5,523.4;601.4,509.6;653.3,532.6;627.1,570.0;621.6,512.4;669.5,432.7;676.4,419.4;697.8,386.9;692.9,502.3;698.4,510.5;708.6,452.5;632.7,411.6;591.7,423.5;591.7,457.0
29#662.9,629.1;676.3,561.4;657.4,525.4;606.2,506.1;654.4,535.6;649.6,600.0;630.2,511.6;672.1,424.7;679.7,412.5;707.0,371.3;700.5,507.9;707.4,503.8;711.0,445.7;635.7,403.0;597.2,393.7;609.7,417.5
30#669.2,635.4;674.8,569.0;669.2,527.4;611.1,502.5;655.4,538.5;672.0,629.9;638.8,510.8;674.8,416.6;683.1,405.6;716.3,355.7;708.0,513.6;716.3,497.0;713.5,438.8;638.8,394.5;602.8,364.0;627.7,377.9
31#672.3,632.3;681.1,564.4;660.5,508.3;613.3,496.5;669.3,511.3;657.5,564.4;636.9,499.5;678.2,410.9;687.0,399.1;716.5,346.0;716.5,523.1;725.4,487.7;719.5,431.6;639.8,387.3;616.2,346.0;641.3,329.8
32#669.0,618.6;689.0,548.6;659.0,495.3;619.0,488.6;662.3,511.9;659.0,575.3;642.3,491.9;685.7,401.9;689.0,388.6;722.3,341.9;725.7,511.9;732.3,468.6;722.3,421.9;645.7,378.6;622.3,335.2;649.0,298.6
33#673.7,599.8;704.6,527.7;663.4,490.0;622.2,486.5;670.3,517.4;656.6,586.0;639.4,486.5;690.9,393.9;694.3,383.6;728.6,335.5;735.5,496.8;742.3,455.6;732.1,411.0;653.1,369.8;636.0,325.2;639.4,280.6
34#685.1,582.9;714.3,514.8;672.1,495.4;630.0,492.1;665.7,524.6;659.2,592.6;655.9,495.4;694.8,385.2;698.1,382.0;733.7,330.1;740.2,469.5;756.4,446.8;736.9,404.7;655.9,365.8;633.3,323.7;639.7,281.5
35#700.6,564.4;731.2,494.2;685.4,485.0;639.5,485.0;660.9,543.0;660.9,613.3;660.9,488.0;700.6,381.1;703.7,378.1;737.3,326.1;755.6,405.6;777.0,430.0;740.3,396.4;660.9,362.8;630.4,329.2;650.2,294.1
36#720.7,541.7;747.1,472.5;691.1,479.1;648.2,482.4;654.8,548.3;658.1,620.7;671.3,479.1;704.2,376.9;707.5,373.6;733.9,317.6;773.4,400.0;783.3,413.2;747.1,390.1;661.4,363.7;628.5,344.0;648.2,311.0
37#647.2,623.4;650.2,551.0;677.4,481.6;707.6,478.5;752.8,454.4;734.7,517.8;683.4,478.5;707.6,375.9;707.6,372.9;727.2,314.1;650.2,327.7;792.1,391.0;755.8,382.0;662.3,363.9;632.1,357.8;650.2,333.7
38#745.8,501.7;754.9,435.3;718.6,474.5;673.4,480.6;649.2,547.0;637.2,610.3;697.5,477.6;703.6,378.0;706.6,371.9;723.2,310.1;754.9,344.8;791.1,365.9;742.8,387.0;667.4,371.9;637.2,368.9;655.3,338.8
39#746.9,492.8;697.3,481.1;735.2,475.3;682.7,478.2;650.6,533.6;639.0,600.7;709.0,475.3;706.0,376.1;709.0,370.3;713.3,307.6;755.6,317.8;784.8,347.0;743.9,373.2;665.2,376.1;641.9,382.0;656.5,352.8
40#756.7,450.3;676.7,477.0;736.7,470.3;690.0,470.3;653.3,507.0;646.6,587.1;713.3,470.3;710.0,376.9;710.0,370.2;710.0,310.2;753.4,283.5;776.7,336.9;746.7,366.9;673.3,376.9;653.3,396.9;643.3,370.2
41#721.2,461.1;679.7,484.9;742.0,461.1;691.5,467.1;658.9,496.8;664.8,573.9;718.3,461.1;709.4,372.1;709.4,369.1;703.4,309.7;759.8,286.0;777.6,327.5;750.9,363.2;667.8,375.0;655.9,401.8;638.1,392.8
42#742.7,464.3;768.1,413.4;748.3,464.3;700.2,461.4;669.1,495.4;677.6,568.9;725.7,464.3;708.7,370.9;708.7,362.5;700.2,305.9;762.5,283.3;770.9,320.0;748.3,359.6;669.1,376.6;660.6,413.4;638.0,407.7
43#750.5,501.1;764.6,425.1;753.3,456.0;699.8,458.9;671.6,492.7;680.1,568.7;725.1,458.9;705.4,368.7;705.4,360.3;699.8,304.0;764.6,292.7;773.0,326.5;744.8,357.5;666.0,380.0;654.7,416.6;637.8,419.4
44#748.7,513.7;769.1,442.2;748.7,457.5;700.2,460.1;667.0,485.6;687.4,554.5;723.1,460.1;702.7,368.2;700.2,360.5;695.1,304.4;764.0,306.9;774.2,345.2;741.0,358.0;661.9,381.0;651.7,424.4;633.8,434.6
