1#NULL
2#844.4,684.1;853.8,624.3;838.1,630.6;781.4,633.8;756.2,728.2;778.2,806.9;812.9,633.8;800.3,514.1;797.1,514.1;797.1,454.3;834.9,608.6;850.7,567.6;844.4,507.8;756.2,514.1;753.1,558.2;768.8,614.9
3#841.6,693.3;828.8,655.0;822.5,623.1;774.7,623.1;739.6,699.6;774.7,769.8;800.2,623.1;793.8,508.4;793.8,508.4;797.0,444.6;828.8,600.8;844.8,562.6;844.8,502.0;749.2,511.6;749.2,559.4;761.9,607.2
4#836.5,695.0;819.8,630.9;814.2,611.4;764.1,611.4;725.1,656.0;766.9,734.0;789.2,611.4;789.2,505.6;789.2,494.5;790.6,440.1;811.5,586.4;831.0,552.9;836.5,500.0;741.8,500.0;741.8,547.4;753.0,591.9
5#834.4,695.4;816.3,628.2;811.2,597.2;759.4,597.2;707.7,623.0;754.3,690.2;785.3,597.2;782.7,486.0;782.7,475.6;778.8,430.4;818.9,452.3;824.1,540.3;831.8,480.8;731.0,486.0;733.6,527.3;743.9,571.3
6#833.9,700.0;811.7,627.9;800.6,586.3;750.6,583.5;689.6,586.3;739.5,650.1;775.6,586.3;764.5,472.5;761.7,464.1;765.9,401.7;817.2,458.6;845.0,491.9;808.9,472.5;720.1,475.2;714.6,475.2;734.0,516.9
7#830.8,701.4;811.4,633.4;785.6,578.5;740.3,572.0;695.0,542.9;711.2,604.3;762.9,575.2;750.0,455.6;750.0,449.1;738.7,376.3;821.1,458.8;840.5,481.4;798.5,452.3;704.7,462.0;714.4,500.8;753.2,491.1
8#814.3,681.0;799.5,611.4;771.3,566.0;725.7,561.1;688.3,544.2;707.0,605.8;748.9,563.5;739.8,444.6;740.2,437.8;733.5,367.9;803.1,457.9;821.2,475.8;787.9,442.8;694.6,448.7;700.8,490.5;734.4,487.7
9#797.7,660.7;787.7,589.4;757.1,553.5;711.1,550.1;681.6,545.6;702.8,607.4;734.8,551.8;729.6,433.6;730.4,426.5;728.3,359.4;785.2,457.0;802.0,470.2;777.2,433.4;684.4,435.4;687.2,480.2;715.5,484.2
10#781.2,640.4;775.8,567.4;742.8,541.0;696.5,539.2;674.9,546.9;698.6,608.9;720.8,540.1;719.4,422.6;720.6,415.1;723.1,351.0;767.2,456.1;782.8,464.6;766.6,423.9;674.2,422.1;673.6,469.9;696.7,480.8
11#764.7,620.0;764.0,545.5;728.5,528.5;681.9,528.2;668.2,548.3;694.3,610.5;706.7,528.3;709.2,411.5;710.8,403.8;717.8,342.6;749.3,455.1;763.5,459.0;756.0,414.4;664.1,408.8;660.0,459.6;677.8,477.3
12#748.1,599.6;752.1,523.5;714.3,516.0;667.3,517.3;661.6,549.6;690.1,612.0;692.6,516.6;699.1,400.5;700.9,392.5;712.6,334.2;731.4,454.2;744.2,453.3;745.4,404.9;654.0,395.4;646.3,449.4;659.0,473.9
13#731.6,579.3;740.2,501.5;700.0,503.5;652.7,506.4;654.9,550.9;685.9,613.5;678.6,504.9;688.9,389.5;691.1,381.2;707.4,325.8;713.4,453.3;725.0,447.7;734.8,395.5;643.8,382.1;632.7,439.1;640.2,470.4
14#715.0,558.9;728.4,479.5;685.8,491.0;638.1,495.4;648.2,552.3;681.7,615.1;664.5,493.2;678.7,378.5;681.3,369.8;702.2,317.3;695.5,452.4;705.8,442.1;724.1,386.0;633.7,368.8;619.1,428.8;621.3,467.0
15#698.5,538.6;716.5,457.5;671.5,478.5;623.5,484.5;641.5,553.6;677.5,616.6;650.5,481.5;668.5,367.5;671.5,358.5;697.0,308.9;677.5,451.5;686.5,436.5;713.5,376.5;623.5,355.5;605.5,418.5;602.5,463.5
16#670.9,517.4;704.5,447.1;661.8,483.8;612.8,483.8;612.8,541.9;652.6,609.1;637.3,483.8;661.8,364.6;664.8,358.5;696.9,298.9;683.2,462.4;683.2,431.8;710.7,376.8;612.8,352.3;597.6,419.6;594.5,462.4
17#661.0,509.1;689.7,437.6;656.3,475.7;603.8,463.8;582.3,502.0;625.3,583.1;627.7,471.0;653.9,366.0;658.7,349.3;688.5,326.7;704.0,366.0;696.8,406.6;699.2,373.2;611.0,349.3;591.9,399.4;584.7,459.0
18#657.4,522.6;686.4,451.2;641.8,464.6;595.0,453.5;566.0,480.2;603.9,551.6;617.3,455.7;650.7,364.3;655.2,346.4;678.6,307.4;670.8,408.9;695.3,417.8;695.3,375.4;603.9,348.6;586.0,399.9;574.9,446.8
19#649.9,544.7;680.7,465.4;630.1,465.4;586.1,452.2;559.7,478.6;592.7,513.8;610.3,461.0;645.5,364.2;652.1,344.3;673.0,308.0;691.7,403.8;693.9,425.8;693.9,377.4;599.3,346.6;581.7,406.0;614.7,408.2
20#646.7,556.2;678.2,476.3;629.8,466.6;588.7,454.5;627.4,452.1;605.6,486.0;610.4,464.2;641.9,365.0;649.1,345.6;669.7,305.7;697.5,415.8;687.9,427.9;687.9,379.5;598.3,348.1;579.0,396.5;605.6,406.1
21#647.8,569.9;677.4,481.1;623.6,465.0;583.2,451.6;629.0,456.9;650.5,543.0;599.4,456.9;642.4,362.8;647.8,349.4;676.0,296.9;693.5,427.3;682.8,443.5;688.1,381.6;596.7,346.7;569.8,400.5;615.5,405.8
22#646.2,582.3;665.2,500.9;619.1,457.5;570.2,449.3;632.6,471.1;654.3,579.6;592.0,452.1;640.8,359.8;648.9,340.8;677.4,304.2;678.8,419.5;689.6,446.6;686.9,378.8;597.4,340.8;570.2,392.4;559.4,424.9
23#649.0,592.6;657.8,508.1;625.7,455.6;579.1,449.8;643.2,473.1;646.1,566.3;602.4,455.6;643.2,353.6;649.0,342.0;679.6,293.9;689.8,470.2;692.7,446.9;686.9,376.9;602.4,333.2;570.3,385.7;558.7,420.6
24#662.6,596.6;653.8,511.4;618.5,449.7;574.5,443.8;612.7,473.2;630.3,517.3;595.0,446.8;639.1,352.8;647.9,338.1;684.6,292.6;692.0,467.3;694.9,432.1;686.1,373.3;598.0,335.2;571.5,388.0;556.8,420.3
25#667.7,594.2;658.4,514.3;624.6,446.6;578.5,443.6;636.9,483.5;630.8,529.6;600.0,443.6;640.0,345.2;649.2,336.0;686.1,280.6;695.3,471.2;698.4,425.1;686.1,369.8;600.0,323.7;566.2,296.0;603.1,311.4
26#663.9,584.3;667.2,493.8;628.4,438.8;583.1,435.6;628.4,477.6;628.4,539.0;602.5,435.6;644.5,341.8;647.8,332.1;680.1,274.0;699.5,467.9;706.0,419.4;686.6,364.5;605.8,322.4;563.7,277.2;609.0,267.5
27#666.2,570.2;672.6,484.2;628.0,436.5;577.1,436.5;634.4,462.0;624.9,551.1;602.6,436.5;644.0,331.4;644.0,328.2;675.8,267.8;698.1,452.4;710.8,404.7;688.5,353.7;599.4,312.3;570.7,270.9;604.2,247.1
28#667.9,555.4;681.8,472.4;629.9,437.8;578.0,434.4;636.8,486.2;626.4,565.7;605.7,437.8;640.3,323.7;643.7,320.3;671.4,261.5;706.0,403.3;723.2,389.4;688.7,344.5;595.3,309.9;571.1,261.5;585.0,237.3
29#670.8,532.6;694.3,455.4;623.8,428.6;580.3,435.3;630.6,495.7;623.8,579.5;600.4,432.0;644.0,314.6;644.0,314.6;667.4,250.9;731.2,354.8;734.5,368.2;690.9,331.4;600.4,304.5;563.5,267.6;602.1,239.1
30#678.3,509.7;706.3,436.1;639.7,425.6;580.2,432.6;615.2,506.2;618.7,590.3;608.2,429.1;643.2,306.5;643.2,306.5;666.0,241.7;737.8,348.5;741.3,341.5;688.8,320.5;594.2,292.5;555.6,282.0;590.7,257.4
