1#NULL
2#NULL
3#NULL
4#665.5,730.7;665.5,671.8;644.7,692.6;596.2,699.5;589.2,806.9;594.4,881.4;620.4,699.5;603.1,585.2;603.1,592.1;592.7,526.3;644.7,491.6;651.6,533.2;641.2,578.3;568.4,595.6;565.0,574.8;620.4,505.5
5#659.0,726.8;660.2,665.4;636.8,678.4;587.9,685.0;589.1,788.2;592.4,862.9;612.2,685.0;594.2,571.0;593.9,576.7;582.9,511.7;638.7,481.7;648.4,522.3;632.2,564.1;559.3,581.3;553.4,559.5;603.7,496.5
6#652.6,722.8;654.8,659.0;628.8,664.2;579.6,670.4;589.0,769.5;590.5,844.5;603.9,670.4;585.3,556.7;584.7,561.2;573.1,497.0;632.8,471.7;645.1,511.4;623.2,550.0;550.2,566.9;541.8,544.3;587.1,487.6
7#646.1,718.9;649.5,652.5;620.9,650.0;571.3,655.9;589.0,750.8;588.5,826.0;595.7,655.9;576.3,542.5;575.5,545.8;563.3,482.4;626.8,461.8;641.9,500.5;614.1,535.8;541.0,552.6;530.1,529.0;570.4,478.6
8#639.6,715.0;644.2,646.1;613.0,635.8;563.0,641.4;588.9,732.1;586.6,807.5;587.4,641.4;567.4,528.3;566.3,530.4;553.5,467.8;620.8,451.9;638.7,489.6;605.1,521.6;531.9,538.2;518.5,513.8;553.8,469.7
9#633.2,711.1;638.8,639.7;605.0,621.6;554.7,626.8;588.8,713.4;584.6,789.0;579.2,626.8;558.5,514.0;557.1,515.0;543.7,453.2;614.8,442.0;635.4,478.7;596.1,507.4;522.8,523.9;506.9,498.5;537.1,460.7
10#626.7,707.1;633.5,633.3;597.1,607.5;546.5,612.3;588.7,694.7;582.7,770.6;570.9,612.3;549.6,499.8;548.0,499.5;534.0,438.5;608.9,432.0;632.2,467.7;587.1,493.3;513.7,509.5;495.3,483.3;520.5,451.8
11#620.3,703.2;628.1,626.9;589.1,593.3;538.2,597.7;588.6,676.0;580.7,752.1;562.7,597.7;540.7,485.5;538.8,484.1;524.2,423.9;602.9,422.1;628.9,456.8;578.1,479.1;504.6,495.2;483.7,468.0;503.8,442.8
12#613.8,699.3;622.8,620.5;581.2,579.1;529.9,583.2;588.5,657.3;578.8,733.6;554.4,583.2;531.8,471.3;529.6,468.7;514.4,409.3;596.9,412.2;625.7,445.9;569.1,464.9;495.5,480.8;472.1,452.8;487.2,433.9
13#607.3,695.4;617.5,614.0;573.3,564.9;521.6,568.7;588.5,638.6;576.8,715.1;546.2,568.7;522.8,457.1;520.4,453.3;504.6,394.7;590.9,402.3;622.5,435.0;560.0,450.7;486.3,466.5;460.4,437.5;470.5,424.9
14#600.9,691.4;612.1,607.6;565.3,550.7;513.3,554.1;588.4,619.9;574.9,696.7;538.0,554.1;513.9,442.8;511.2,437.8;494.8,380.0;585.0,392.3;619.2,424.1;551.0,436.6;477.2,452.1;448.8,422.2;453.8,415.9
15#594.4,687.5;606.8,601.2;557.4,536.5;505.0,539.6;588.3,601.2;572.9,678.2;529.7,539.6;505.0,428.6;502.0,422.4;485.0,365.4;579.0,382.4;616.0,413.2;542.0,422.4;468.1,437.8;437.2,407.0;437.2,407.0
16#576.2,683.8;579.1,599.0;545.4,535.2;485.8,538.2;564.7,599.0;557.8,676.1;516.8,537.8;498.2,425.4;497.2,420.2;489.2,364.1;571.3,384.9;603.1,415.1;536.5,421.7;461.5,431.1;429.8,415.9;428.8,426.8
17#558.0,680.1;551.4,596.8;533.3,533.8;466.6,536.9;541.0,596.8;542.7,673.9;503.9,535.9;491.4,422.2;492.4,418.1;493.5,362.7;563.6,387.4;590.3,416.9;531.0,421.1;454.9,424.4;422.4,424.7;420.5,446.5
18#539.8,676.5;523.6,594.6;521.3,532.5;447.5,535.6;517.4,594.6;527.5,671.8;491.1,534.1;484.7,419.0;487.7,415.9;497.8,361.4;555.9,390.0;577.4,418.8;525.5,420.4;448.4,417.6;415.1,433.6;412.1,466.2
